0.000	0.000
0.010	0.063
0.020	0.125
0.030	0.187
0.040	0.249
0.051	0.315
0.061	0.374
0.071	0.432
0.081	0.488
0.091	0.542
0.101	0.593
0.111	0.643
0.121	0.690
0.131	0.734
0.141	0.775
0.152	0.816
0.162	0.851
0.172	0.882
0.182	0.910
0.192	0.934
0.202	0.955
0.212	0.972
0.222	0.985
0.232	0.994
0.242	0.999
0.253	0.999
0.263	0.996
0.273	0.989
0.283	0.978
0.293	0.963
0.303	0.944
0.313	0.922
0.323	0.896
0.333	0.866
0.343	0.833
0.354	0.792
0.364	0.752
0.374	0.709
0.384	0.663
0.394	0.615
0.404	0.564
0.414	0.511
0.424	0.456
0.434	0.400
0.444	0.342
0.455	0.277
0.465	0.216
0.475	0.155
0.485	0.093
0.495	0.031
0.505	-0.031
0.515	-0.093
0.525	-0.155
0.535	-0.216
0.545	-0.277
0.556	-0.342
0.566	-0.400
0.576	-0.456
0.586	-0.511
0.596	-0.564
0.606	-0.615
0.616	-0.663
0.626	-0.709
0.636	-0.752
0.646	-0.792
0.657	-0.833
0.667	-0.866
0.677	-0.896
0.687	-0.922
0.697	-0.944
0.707	-0.963
0.717	-0.978
0.727	-0.989
0.737	-0.996
0.747	-0.999
0.758	-0.999
0.768	-0.994
0.778	-0.985
0.788	-0.972
0.798	-0.955
0.808	-0.934
0.818	-0.910
0.828	-0.882
0.838	-0.851
0.848	-0.816
0.859	-0.775
0.869	-0.734
0.879	-0.690
0.889	-0.643
0.899	-0.593
0.909	-0.542
0.919	-0.488
0.929	-0.432
0.939	-0.374
0.949	-0.315
0.960	-0.249
0.970	-0.187
0.980	-0.125
0.990	-0.063
1.000	-0.000
