0.000	0.000
0.010	0.058
0.020	0.116
0.030	0.174
0.040	0.232
0.051	0.295
0.061	0.353
0.071	0.411
0.081	0.469
0.091	0.527
0.101	0.585
0.111	0.643
0.121	0.674
0.131	0.704
0.141	0.735
0.152	0.769
0.162	0.800
0.172	0.831
0.182	0.862
0.192	0.892
0.202	0.923
0.212	0.954
0.222	0.985
0.232	0.974
0.242	0.963
0.253	0.952
0.263	0.941
0.273	0.930
0.283	0.920
0.293	0.909
0.303	0.898
0.313	0.887
0.323	0.877
0.333	0.866
0.343	0.819
0.354	0.767
0.364	0.720
0.374	0.672
0.384	0.625
0.394	0.578
0.404	0.531
0.414	0.484
0.424	0.436
0.434	0.389
0.444	0.342
0.455	0.275
0.465	0.214
0.475	0.153
0.485	0.092
0.495	0.031
0.505	-0.031
0.515	-0.092
0.525	-0.153
0.535	-0.214
0.545	-0.275
0.556	-0.342
0.566	-0.389
0.576	-0.436
0.586	-0.484
0.596	-0.531
0.606	-0.578
0.616	-0.625
0.626	-0.672
0.636	-0.720
0.646	-0.767
0.657	-0.819
0.667	-0.866
0.677	-0.877
0.687	-0.887
0.697	-0.898
0.707	-0.909
0.717	-0.920
0.727	-0.930
0.737	-0.941
0.747	-0.952
0.758	-0.963
0.768	-0.974
0.778	-0.985
0.788	-0.954
0.798	-0.923
0.808	-0.892
0.818	-0.862
0.828	-0.831
0.838	-0.800
0.848	-0.769
0.859	-0.735
0.869	-0.704
0.879	-0.674
0.889	-0.643
0.899	-0.585
0.909	-0.527
0.919	-0.469
0.929	-0.411
0.939	-0.353
0.949	-0.295
0.960	-0.232
0.970	-0.174
0.980	-0.116
0.990	-0.058
1.000	-0.000
