===========================================================================

Validation data set for Square v1.0

===========================================================================

Encryption of the null data block with every key where a single bit is set:

00000000000000000000000000000000 plaintext

80000000000000000000000000000000 key
05f8aafdefb4f5f9c751e5b36c8a37d8 ciphertext


40000000000000000000000000000000 key
60affc9b2312b1397177251cc9296391 ciphertext


20000000000000000000000000000000 key
d67b7e07c38f311446e16ddd9ea96ebe ciphertext


10000000000000000000000000000000 key
39207579067031706fab8c3a5c6e5524 ciphertext


08000000000000000000000000000000 key
fc4f2602a3f6ac34f56906c2eeee40c5 ciphertext


04000000000000000000000000000000 key
6f2431469f4a0866632216c59c18ff11 ciphertext


02000000000000000000000000000000 key
c745f6f339d1bb9524e1b2d2b0dde843 ciphertext


01000000000000000000000000000000 key
241e113a1bb5c32cc45d95d7734165aa ciphertext


00800000000000000000000000000000 key
5e16777211c67ae4609f6a47bf5df2c4 ciphertext


00400000000000000000000000000000 key
272330139236c300cd161f0266b62494 ciphertext


00200000000000000000000000000000 key
15115b9e29524325e7c992ead262ade8 ciphertext


00100000000000000000000000000000 key
acdcce277b801ed53dfe0fc12f4c957b ciphertext


00080000000000000000000000000000 key
9cadb290cedd6f7ca6c10d42fe4c1a70 ciphertext


00040000000000000000000000000000 key
d70d4c24ffbf3de6e6bd54ec03b8492a ciphertext


00020000000000000000000000000000 key
602455a418a99a942fed27123b9f73e6 ciphertext


00010000000000000000000000000000 key
f239c4efd3729d43081544104378f0ea ciphertext


00008000000000000000000000000000 key
70259a9572990099ac563114074db3d2 ciphertext


00004000000000000000000000000000 key
932d3644863b6377100c64f243445e7e ciphertext


00002000000000000000000000000000 key
47100bf12f2e1f718e9430f4127535be ciphertext


00001000000000000000000000000000 key
2ed60ffa71c162a53c3a8bba2b0b042b ciphertext


00000800000000000000000000000000 key
e2992d6bdc7c65b70b62685c0d84425c ciphertext


00000400000000000000000000000000 key
c552ca3d805e456f5239dd7956cacd71 ciphertext


00000200000000000000000000000000 key
95b577c2ed3c2d9d96c2106e091b1f72 ciphertext


00000100000000000000000000000000 key
3d550ae470bfb0306c3099c8d5a471d8 ciphertext


00000080000000000000000000000000 key
fc13974afe73a92598aa95edcb2102e9 ciphertext


00000040000000000000000000000000 key
ab0cf3a0cfef3aa3d10738523e624a1d ciphertext


00000020000000000000000000000000 key
72fea53144f673e283547f08da30bdda ciphertext


00000010000000000000000000000000 key
389fef99fa1a3dbf664673aa39d848d1 ciphertext


00000008000000000000000000000000 key
041152bca8440e8de572dce9dcc88cdc ciphertext


00000004000000000000000000000000 key
845b37c1338a0ba0f295be273841b940 ciphertext


00000002000000000000000000000000 key
e2e3a1c7998040ee6bd8714e65ebd8af ciphertext


00000001000000000000000000000000 key
0b2b34c480648dc91f938dd368464780 ciphertext


00000000800000000000000000000000 key
96bad4a54376917044b1076727a91e2b ciphertext


00000000400000000000000000000000 key
dd8c3dff69c3fda2802dffcdef1b1631 ciphertext


00000000200000000000000000000000 key
da45872e48af2f0ec7fc395d03ff9451 ciphertext


00000000100000000000000000000000 key
b25194c0f1953f35bc4c0871cd2d4a40 ciphertext


00000000080000000000000000000000 key
3e09af82736971f2847834082d6ec6f3 ciphertext


00000000040000000000000000000000 key
fa75a64f778b914dc4b926626bc8b4c0 ciphertext


00000000020000000000000000000000 key
d21542857f03f6a92cacd2e783e33e3e ciphertext


00000000010000000000000000000000 key
1ec0a5b9781c5e90b1e15731e0625c36 ciphertext


00000000008000000000000000000000 key
e1c58917e586b6c46c46982fa303f14c ciphertext


00000000004000000000000000000000 key
72ecc0d267b445482924c9969de97a15 ciphertext


00000000002000000000000000000000 key
a52af631193375dd59555e2753acde65 ciphertext


00000000001000000000000000000000 key
033b8482c4010eb20a3edd4ba35a3db7 ciphertext


00000000000800000000000000000000 key
56534a944796abdf51ad247b8c9ee9bb ciphertext


00000000000400000000000000000000 key
9eda6fd2cd4eabf8218b98a165e82b9e ciphertext


00000000000200000000000000000000 key
60043a7e110e1321bc41e4ac47d1f45e ciphertext


00000000000100000000000000000000 key
90e685c8f990cedeacc8a2bfc8e46ca2 ciphertext


00000000000080000000000000000000 key
b9e77e32f721c0a7a02b50925311e834 ciphertext


00000000000040000000000000000000 key
001d2fe95bb39ef0c3548307ea7580f3 ciphertext


00000000000020000000000000000000 key
a5dd651290a063f4e7c5e714c9c398b4 ciphertext


00000000000010000000000000000000 key
aa7b3b9f459ba0367ff2a332ef725da1 ciphertext


00000000000008000000000000000000 key
a424f80b0048756879ed6343768bbe08 ciphertext


00000000000004000000000000000000 key
ea4590786de7f8a68439b4616bf7e4b9 ciphertext


00000000000002000000000000000000 key
7d15058fe884dcf0976105a816cf6366 ciphertext


00000000000001000000000000000000 key
a07d1b74ae6a3f26a8a25e1e778a0d4a ciphertext


00000000000000800000000000000000 key
61f13db32828961c3e35d9b7ab77b57d ciphertext


00000000000000400000000000000000 key
0e2979112efb29754605011a358093fc ciphertext


00000000000000200000000000000000 key
a878c8a8a5230917c56f7eb74fdada25 ciphertext


00000000000000100000000000000000 key
34343f73232790e6fa44d8f606a24de9 ciphertext


00000000000000080000000000000000 key
d569b991761c26dde723cca0c262f195 ciphertext


00000000000000040000000000000000 key
f1a0f35ada018c5df56ffe0dc95636bf ciphertext


00000000000000020000000000000000 key
b26af455039312e1206290a921459e1a ciphertext


00000000000000010000000000000000 key
594049c7e3a34e1b9bccefaf5e75b373 ciphertext


00000000000000008000000000000000 key
4e4e037f07ff26e8e9065f26afedaf2d ciphertext


00000000000000004000000000000000 key
ddedc3ca10ec011ea24dd4566d21409c ciphertext


00000000000000002000000000000000 key
3660f51bb790f275a55aa435db6da193 ciphertext


00000000000000001000000000000000 key
a9a7cfe07ea640498e832ae25e2906ed ciphertext


00000000000000000800000000000000 key
3863d1c222a36338ea6d402073341f42 ciphertext


00000000000000000400000000000000 key
ced5dfdf8b5d1d60e9ad51830a7965a9 ciphertext


00000000000000000200000000000000 key
4ffae5d7a5689a5584330cb0a5cc9cd2 ciphertext


00000000000000000100000000000000 key
1dd688d47541463915f658bb656420b4 ciphertext


00000000000000000080000000000000 key
ef3a1c1800dd3cda748fbdf17086ba4f ciphertext


00000000000000000040000000000000 key
f9aa9b3e76543ef12f7f8b87ce393328 ciphertext


00000000000000000020000000000000 key
1813935bb67dc40dc37c68cc2999758a ciphertext


00000000000000000010000000000000 key
8c4916d59fce8eb913b128f2d7b3d464 ciphertext


00000000000000000008000000000000 key
bb88da704c5ce031c61954efcae6ed2d ciphertext


00000000000000000004000000000000 key
4e463bceb0f52c3f722e2926c2bd04a3 ciphertext


00000000000000000002000000000000 key
4a6181492a454604293396bbd21c4956 ciphertext


