GENERAL TRACE INFORMATION
Filename,t/sample_input/sample.tsh,Unknown
Duration,0.937457
Records,1000
Interfaces,2


IP STATISTICS (PACKETS)
,,Fragmentation,,Explicit Congestion Notification,,Differentiated Services,,,,IP Options
,Total,DF,MF,ECT,CE,Normal,Class Selector,AF PHB,EF PHB,No IP Options,IP Options
IP,1000,895,0,0,0,1000,0,0,0,1000,0
ICMP,22,6,0,0,0,22,0,0,0,22,0
TCP,842,829,0,0,0,842,0,0,0,842,0
UDP,133,60,0,0,0,133,0,0,0,133,0
Unknown,3,0,0,0,0,3,0,0,0,3,0

IP STATISTICS (BYTES)
,,Fragmentation,,Explicit Congestion Notification,,Differentiated Services,,,,IP Options
,Total,DF,MF,ECT,CE,Normal,Class Selector,AF PHB,EF PHB,No IP Options,IP Options
IP,356422,340088,0,0,0,356422,0,0,0,356422,0
ICMP,1700,336,0,0,0,1700,0,0,0,1700,0
TCP,326308,325656,0,0,0,326308,0,0,0,326308,0
UDP,28198,14096,0,0,0,28198,0,0,0,28198,0
Unknown,216,0,0,0,0,216,0,0,0,216,0

TCP ACKNOWLEDGEMENTS
Total ACKs,576
Cumulative ACKs,506
Pure ACKs,151
Options ACKs,70

RECEIVER ADVERTISED WINDOW
Size (Bytes),Soft Count,Hard Count
5840,4,0
8192,2,0
8760,42,0
10767,1,0
16384,85,0
17019,1,0
24616,3,0
24820,5,0
25200,2,0
32000,1,0
34932,1,0
44620,1,0
46080,1,0
46424,0,1
49640,1,0
60015,1,0
60352,2,0
64170,1,0
64240,42,0
64512,24,0
64800,1,0
65280,5,0
65535,46,0

TCP OPTIONS NEGOTIATION
TCP Header Length (Bytes),SYN,SYN/ACK
20,0,1
24,2,0
28,252,1
32,2,4
40,3,0
44,5,3
SYN/Payload,0

TCP OPTIONS ACK USAGE
TCP Header Length (Bytes),Count
28,1
32,63
40,1
44,5

PACKET SIZE DISTRIBUTION
Bytes,IP,ICMP,TCP,UDP,Unknown
38,1,0,0,1,0
39,1,0,0,1,0
40,160,0,153,7,0
41,4,0,4,0,0
43,2,0,0,2,0
44,3,0,3,0,0
45,3,0,0,3,0
46,3,0,2,1,0
48,305,0,305,0,0
52,48,0,48,0,0
53,3,0,0,3,0
56,14,9,4,1,0
57,1,0,1,0,0
58,1,0,1,0,0
60,5,0,4,1,0
63,3,0,1,2,0
64,11,0,10,1,0
65,2,0,1,1,0
66,2,0,1,1,0
68,1,0,1,0,0
70,2,0,0,2,0
71,2,0,0,2,0
72,7,0,0,4,3
74,9,0,0,9,0
75,6,0,0,6,0
76,1,0,1,0,0
78,1,0,0,1,0
79,1,0,1,0,0
80,1,0,1,0,0
82,2,0,0,2,0
84,4,0,3,1,0
86,1,0,1,0,0
88,12,0,12,0,0
90,1,0,1,0,0
92,13,13,0,0,0
95,1,0,0,1,0
96,2,0,2,0,0
97,1,0,1,0,0
98,1,0,1,0,0
99,1,0,1,0,0
101,1,0,1,0,0
102,3,0,1,2,0
108,2,0,1,1,0
110,1,0,1,0,0
112,1,0,1,0,0
113,1,0,1,0,0
114,1,0,0,1,0
115,1,0,0,1,0
120,4,0,0,4,0
130,1,0,0,1,0
138,2,0,0,2,0
139,1,0,1,0,0
141,1,0,0,1,0
145,1,0,1,0,0
146,1,0,0,1,0
147,1,0,0,1,0
149,1,0,0,1,0
151,2,0,0,2,0
164,2,0,0,2,0
168,1,0,1,0,0
178,1,0,0,1,0
181,1,0,0,1,0
182,4,0,1,3,0
183,1,0,0,1,0
184,1,0,0,1,0
186,1,0,1,0,0
188,1,0,0,1,0
195,1,0,0,1,0
199,3,0,0,3,0
211,3,0,0,3,0
217,1,0,0,1,0
228,1,0,1,0,0
234,2,0,0,2,0
249,1,0,0,1,0
254,1,0,0,1,0
263,1,0,0,1,0
265,1,0,0,1,0
266,1,0,0,1,0
267,1,0,1,0,0
325,1,0,0,1,0
330,2,0,2,0,0
333,2,0,0,2,0
339,1,0,0,1,0
341,1,0,0,1,0
343,1,0,0,1,0
345,2,0,0,2,0
354,1,0,0,1,0
377,1,0,1,0,0
404,12,0,0,12,0
445,1,0,0,1,0
472,1,0,1,0,0
476,1,0,1,0,0
488,1,0,1,0,0
500,1,0,1,0,0
504,1,0,1,0,0
506,1,0,0,1,0
512,1,0,0,1,0
518,1,0,1,0,0
521,1,0,0,1,0
538,2,0,0,2,0
632,1,0,1,0,0
638,8,0,0,8,0
647,2,0,0,2,0
660,28,0,28,0,0
680,1,0,1,0,0
684,1,0,1,0,0
706,21,0,21,0,0
708,25,0,25,0,0
712,1,0,1,0,0
728,19,0,19,0,0
920,1,0,1,0,0
952,1,0,1,0,0
999,1,0,1,0,0
1000,1,0,1,0,0
1020,1,0,1,0,0
1039,2,0,2,0,0
1048,1,0,1,0,0
1168,1,0,1,0,0
1273,2,0,2,0,0
1400,18,0,18,0,0
1420,66,0,66,0,0
1427,1,0,1,0,0
1454,21,0,21,0,0
1480,6,0,6,0,0
1492,2,0,2,0,0
1500,34,0,34,0,0
