
Trying combination 
kanu --> kanu
kenu --> kenu
kinu --> kinu
konu --> konu
kynu --> kynu
kuny --> kuny
diru --> diru
sudy --> sudy
pabadu --> pabadu
pocsu --> pocsu
kulsy --> kulsy
es'u --> es'u
pansyru --> pansyru
mimu --> mimu
cih'cu --> cih'cu

Trying combination perfective
kanu --> kuna
kenu --> kune
kinu --> kuni
konu --> kuno
kynu --> kuny
kuny --> kynu
diru --> duri
sudy --> sydu
pabadu --> pabuda
pocsu --> pucso
kulsy --> kylsu
es'u --> us'e
pansyru --> pansury
mimu --> mumi
cih'cu --> cuh'ci

Trying combination volitional
kanu --> agenu
kenu --> egenu
kinu --> igenu
konu --> ogenu
kynu --> ygenu
kuny --> ugenu
diru --> ideru
sudy --> uzedu
pabadu --> abebadu
pocsu --> obecsu
kulsy --> ugelsu
es'u --> eves'u
pansyru --> abensyru
mimu --> imemu
cih'cu --> iceh'cu

Trying combination volitional perfective
kanu --> agune
kenu --> egune
kinu --> igune
konu --> ogune
kynu --> ygune
kuny --> ugune
diru --> idure
sudy --> uzude
pabadu --> abebuda
pocsu --> obucse
kulsy --> ugulse
es'u --> evus'e
pansyru --> abensury
mimu --> imume
cih'cu --> icuh'ce

Trying combination make_polite polite
kanu --> karynu
kenu --> kerynu
kinu --> kirynu
konu --> korynu
kynu --> kyrynu
kuny --> kuriny
diru --> diryru
sudy --> suridy
pabadu --> pabarydu
pocsu --> pocrysu
kulsy --> kulrisy
es'u --> natu
pansyru --> pansyryru
mimu --> mirymu
cih'cu --> cih'rycu

Trying combination make_polite perfective polite
kanu --> kurina
kenu --> kurine
kinu --> kurini
konu --> kurino
kynu --> kuriny
kuny --> kyrynu
diru --> duriri
sudy --> syrydu
pabadu --> paburida
pocsu --> pucriso
kulsy --> kylrysu
es'u --> nuta
pansyru --> pansuriry
mimu --> murimi
cih'cu --> cuh'rici

Trying combination make_polite volitional polite
kanu --> agerynu
kenu --> egerynu
kinu --> igerynu
konu --> ogerynu
kynu --> ygerynu
kuny --> ugerynu
diru --> ideryru
sudy --> uzerydu
pabadu --> abebarydu
pocsu --> obecrysu
kulsy --> ugelrysu
es'u --> anetu
pansyru --> abensyryru
mimu --> imerymu
cih'cu --> iceh'rycu

Trying combination make_polite volitional perfective polite
kanu --> agurine
kenu --> egurine
kinu --> igurine
konu --> ogurine
kynu --> ygurine
kuny --> ugurine
diru --> idurire
sudy --> uzuride
pabadu --> abeburida
pocsu --> obucrise
kulsy --> ugulrise
es'u --> anute
pansyru --> abensuriry
mimu --> imurime
cih'cu --> icuh'rice

Trying combination benefactive
kanu --> keni
kenu --> keni
kinu --> keni
konu --> keni
kynu --> kini
kuny --> kyni
diru --> deri
sudy --> sydi
pabadu --> pabedi
pocsu --> pecsi
kulsy --> kylsi
es'u --> es'i
pansyru --> pansiri
mimu --> memi
cih'cu --> ceh'ci

Trying combination benefactive perfective
kanu --> kine
kenu --> kine
kinu --> kine
konu --> kine
kynu --> kini
kuny --> kiny
diru --> dire
sudy --> sidy
pabadu --> pabide
pocsu --> picse
kulsy --> kilsy
es'u --> is'e
pansyru --> pansiri
mimu --> mime
cih'cu --> cih'ce

Trying combination benefactive volitional
kanu --> egeni
kenu --> egeni
kinu --> egeni
konu --> egeni
kynu --> igeni
kuny --> ygeni
diru --> ederi
sudy --> yzedi
pabadu --> abebedi
pocsu --> ebecsi
kulsy --> ygelsi
es'u --> ehes'i
pansyru --> abensiri
mimu --> ememi
cih'cu --> eceh'ci

Trying combination benefactive volitional perfective
kanu --> egine
kenu --> egine
kinu --> egine
konu --> egine
kynu --> igine
kuny --> ygine
diru --> edire
sudy --> yzide
pabadu --> abebide
pocsu --> ebicse
kulsy --> ygilse
es'u --> ehis'e
pansyru --> abensiri
mimu --> emime
cih'cu --> ecih'ce

Trying combination make_polite benefactive polite
kanu --> kerini
kenu --> kerini
kinu --> kerini
konu --> kerini
kynu --> kirini
kuny --> kyrini
diru --> deriri
sudy --> syridi
pabadu --> paberidi
pocsu --> pecrisi
kulsy --> kylrisi
es'u --> neti
pansyru --> pansiriri
mimu --> merimi
cih'cu --> ceh'rici

Trying combination make_polite benefactive perfective polite
kanu --> kirine
kenu --> kirine
kinu --> kirine
konu --> kirine
kynu --> kirini
kuny --> kiriny
diru --> dirire
sudy --> siridy
pabadu --> pabiride
pocsu --> picrise
kulsy --> kilrisy
es'u --> nite
pansyru --> pansiriri
mimu --> mirime
cih'cu --> cih'rice

Trying combination make_polite benefactive volitional polite
kanu --> egerini
kenu --> egerini
kinu --> egerini
konu --> egerini
kynu --> igerini
kuny --> ygerini
diru --> ederiri
sudy --> yzeridi
pabadu --> abeberidi
pocsu --> ebecrisi
kulsy --> ygelrisi
es'u --> eneti
pansyru --> abensiriri
mimu --> emerimi
cih'cu --> eceh'rici

Trying combination make_polite benefactive volitional perfective polite
kanu --> egirine
kenu --> egirine
kinu --> egirine
konu --> egirine
kynu --> igirine
kuny --> ygirine
diru --> edirire
sudy --> yziride
pabadu --> abebiride
pocsu --> ebicrise
kulsy --> ygilrise
es'u --> enite
pansyru --> abensiriri
mimu --> emirime
cih'cu --> ecih'rice

Trying combination benefactive dir2
kanu --> kenini
kenu --> kenini
kinu --> kenini
konu --> kenini
kynu --> kinini
kuny --> kynini
diru --> deniri
sudy --> synidi
pabadu --> pabenidi
pocsu --> pecnisi
kulsy --> kylnisi
es'u --> enis'i
pansyru --> pansiniri
mimu --> menimi
cih'cu --> ceh'nici

Trying combination benefactive perfective dir2
kanu --> kinine
kenu --> kinine
kinu --> kinine
konu --> kinine
kynu --> kinini
kuny --> kininy
diru --> dinire
sudy --> sinidy
pabadu --> pabinide
pocsu --> picnise
kulsy --> kilnisy
es'u --> inis'e
pansyru --> pansiniri
mimu --> minime
cih'cu --> cih'nice

Trying combination benefactive volitional dir2
kanu --> egenini
kenu --> egenini
kinu --> egenini
konu --> egenini
kynu --> igenini
kuny --> ygenini
diru --> edeniri
sudy --> yzenidi
pabadu --> abebenidi
