123,-123,1,-3,-0.123
456,-456,2,-4,-0.456
271308,-381825,861,-369,0.058402734
419160,-640194,6027,-1107,0.65683974
567012,-898563,42189,-3321,-0.996871604
714864,-1156932,295323,-9963,0.767454364
862716,-1415301,2067261,-29889,-0.099639442
1010568,-1673670,14470827,-89667,-0.625093132
1158420,-1932039,101295789,-269001,0.992749907
1306272,-2190408,709070523,-807003,-0.79331204
1454124,-2448777,4963493661,-2421009,0.140705652
1601976,-2707146,34744455627,-7263027,0.592276893
1749828,-2965515,2.43211E+11,-21789081,-0.986929461
1897680,-3223884,1.70248E+12,-65367243,0.817812236
2045532,-3482253,1.19173E+13,-196101729,-0.181531092
2193384,-3740622,8.34214E+13,-588305187,-0.558447175
2341236,-3998991,5.8395E+14,-1764915561,0.979420224
2489088,-4257360,4.08765E+15,-5294746683,-0.840913028
2636940,-4515729,2.86136E+16,-15884240049,0.222045905
2784792,-4774098,2.00295E+17,-47652720147,0.523661868
2932644,-5032467,1.40206E+18,-1.42958E+11,-0.970235047
3080496,-5290836,9.81445E+18,-4.28874E+11,0.862574886
3228348,-5549205,6.87011E+19,-1.28662E+12,-0.262180762
3376200,-5807574,4.80908E+20,-3.85987E+12,-0.487980493
