1		9/5/2006	10:46:59			0.48	0.02	
2		9/11/2006	11:32:13			0.68	0.03	
3		9/12/2006	9:19:04			1.92	0.07	
4		9/12/2006	9:22:50			0.5	0.02	
5		9/14/2006	10:00:06			0.88	0.03	
6		9/14/2006	12:13:25			0.13	0	
7		9/23/2006	13:50:38			0.12	0.02	
8		9/23/2006	13:51:32			0.55	0.09	
9		9/4/2006	9:09:49			0.17	0.01	
10		9/4/2006	15:17:47			2.25	0.08	
11		9/4/2006	17:28:49			2.27	0.1	
12		9/5/2006	9:50:45			8.85	0.31	
13		9/5/2006	10:00:13			0.98	0.04	
14		9/5/2006	13:44:08			0.47	0.02	
15		9/6/2006	10:25:47			0.5	0.02	
16		9/7/2006	10:21:11			0.03	0	
17		9/7/2006	10:56:26			0.68	0.02	
18		9/7/2006	14:44:56			6.78	0.28	
19		9/8/2006	10:19:52			4.38	0.18	
20		9/8/2006	10:33:17			2	0.41	
21		9/11/2006	8:44:55			0.35	0.06	
22		9/11/2006	12:04:07			1.45	0.05	
23		9/11/2006	17:14:04			4.95	0.17	
24		9/12/2006	10:39:30			0.02	0	
25		9/12/2006	10:39:48			0.18	0.01	
26		9/12/2006	10:52:21			3.38	0.14	
27		9/12/2006	13:27:20			11.42	0.4	
28		9/13/2006	10:14:46			0.02	0	
29		9/13/2006	13:21:50			1.58	0.06	
30		9/13/2006	13:25:16			0.45	0.02	
31		9/13/2006	13:41:01			0.15	0.01	
32		9/14/2006	11:05:34			0.02	0	
33		9/14/2006	11:06:06			0.67	0.02	
34		9/14/2006	11:07:07			0.62	0.02	
35		9/14/2006	11:14:57			0.25	0.01	
36		9/14/2006	11:42:26			4.3	0.18	
37		9/14/2006	13:44:17			15.47	0.54	
38		9/14/2006	14:31:09			0.48	0.02	
39		9/15/2006	8:49:02			0.18	0.01	
40		9/15/2006	8:49:23			1.17	0.04	
41		9/15/2006	17:30:14			5.88	1.05	
42		9/18/2006	9:25:01			1.15	0.04	
43		9/18/2006	9:54:14			0.58	0.02	
44		9/18/2006	10:53:01			1.8	0.06	
45		9/18/2006	11:09:29			4.17	0.15	
46		9/19/2006	11:49:18			0.42	0.07	
47		9/19/2006	14:57:10			0.5	0.09	
48		9/19/2006	15:45:53			0.67	0.02	
