Cbegsbyvb;Glcr;Vafgehzrag;Haqreylvat;Cbf;CI Fcbg BA/S;Qrygn;Tnzzn;IrtnY;Rkcvel;Fgevxr;VafPhee;P/C;BGP;Vfva;HaqCep;PbagenpgFvmr;-70,00;-60,00;-50,00;-40,00;-30,00;-25,00;-20,00;-15,00;-10,00;-5,00;-4,00;-3,00;-2,00;-1,00;0,00;1,00;2,00;3,00;4,00;5,00;10,00;15,00;20,00;25,00;30,00;40,00;50,00;60,00;70,00;1 Z;6 Z;12 Z;Erfg;-100,00;100,00;-10,00X;10,00X;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1402_C1509.19/#1;FK5R;15.902570;19.988584;-0.077771;0.000300;3.905566;10.02.2014 17:50:00;1509.1900;RHE;Chg;gehr;;2888.763;1.00;10551.193232;6315.225541;3156.219624;1348.335604;513.577180;307.391410;181.240185;105.616949;61.001052;35.000471;31.300669;27.987148;25.020427;22.364923;19.988584;17.862563;15.960906;14.260284;12.739731;11.380418;6.468152;3.673898;2.087353;1.187177;0.676329;0.221040;0.073096;0.024510;0.008344;1.336198;2.568155;;;18.370846;21.747288;20.077205;19.900410;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1402_C1509.19_QP;FK5R;24000.000000;100.442607;-0.419469;0.001692;18.771816;10.02.2014 17:50:00;1509.1900;RHE;Chg;gehr;;2888.763;1.00;23607.250342;20273.553563;13275.100145;6677.958326;2759.010059;1679.957179;994.804911;575.627265;326.709054;182.428147;162.076084;143.916047;127.722904;113.293055;100.442607;89.005676;78.832791;69.789427;61.754633;54.619775;29.366041;15.617646;8.215074;4.270554;2.190296;0.545862;0.120233;0.019049;;6.422694;12.344005;;;91.734275;109.946959;100.917957;99.969743;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1403P2592.639;FK5R;0.000042;0.014173;0.000033;;0.000236;10.03.2014 18:00:00;2592.6390;RHE;Pnyy;gehr;;2888.763;1.00;;;;0.000009;0.000215;0.000673;0.001668;0.003440;0.006133;0.009751;0.010576;0.011433;0.012319;0.013233;0.014173;0.015138;0.016127;0.017137;0.018167;0.019216;0.024690;0.030438;0.036349;0.042349;0.048395;0.060545;0.072718;0.084896;0.097074;0.000036;0.000200;;;0.014912;0.013449;0.014138;0.014209;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1403P4032.994;FK5R;-0.000042;-0.000001;;;-0.000001;10.03.2014 18:00:00;4032.9940;RHE;Pnyy;gehr;;2888.763;1.00;;;;;;;;;;;;;;;-0.000001;-0.000002;-0.000003;-0.000004;-0.000005;-0.000007;-0.000036;-0.000132;-0.000395;-0.000990;-0.002121;-0.006704;-0.014654;-0.025063;-0.036678;;;;;-0.000002;;-0.000001;-0.000001;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1404P2702.007;FK5R;-0.001283;-0.337710;-0.000883;-0.000001;-0.009400;08.04.2014 18:00:00;2702.0070;RHE;Pnyy;gehr;;2888.763;1.00;;;;-0.000118;-0.003528;-0.011921;-0.031782;-0.070058;-0.132584;-0.222112;-0.243235;-0.265386;-0.288537;-0.312657;-0.337710;-0.363658;-0.390463;-0.418082;-0.446473;-0.475593;-0.630637;-0.797759;-0.972746;-1.152521;-1.335047;-1.703883;-2.074480;-2.445490;-2.816587;;-0.009091;-0.000308;;-0.360215;-0.315881;-0.336572;-0.338848;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1404P4203.122;FK5R;-0.000017;;;;;08.04.2014 18:00:00;4203.1220;RHE;Pnyy;gehr;;2888.763;1.00;;;;;;;;;;;;;;;;;;-0.000001;-0.000002;-0.000002;-0.000010;-0.000035;-0.000104;-0.000257;-0.000558;-0.001860;-0.004376;-0.008042;-0.012480;;;;;;;;;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1405_P2316.762;FK5R;-25.250759;-13701.917291;-21.847183;-0.010040;-123.971017;20.05.2014 17:50:00;2316.7620;RHE;Pnyy;gehr;;2888.763;1.00;-0.000023;-0.089464;-9.957279;-176.423968;-1090.990990;-2099.918122;-3575.063793;-5525.249026;-7911.167976;-10663.386349;-11250.743748;-11848.896498;-12457.215938;-13075.088314;-13701.917291;-14337.126004;-14980.158734;-15630.482197;-16287.586498;-16950.985779;-20347.110167;-23841.579440;-27399.437147;-30996.891858;-34618.430876;-41898.499773;-49199.210483;-56506.498481;-63815.795045;;-91.449245;-32.512203;;-15540.325956;-11932.251159;-13671.224349;-13732.592291;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1405_P3603.852;FK5R;25.250759;93.481689;0.722788;0.004710;37.025650;20.05.2014 17:50:00;3603.8520;RHE;Pnyy;gehr;;2888.763;1.00;;;;;0.000688;0.012717;0.146828;1.146425;6.453147;27.585876;35.828390;46.118525;58.851760;74.473759;93.481689;116.424651;143.903147;176.567499;215.115180;260.287021;613.773132;1257.772003;2290.169080;3776.788222;5735.337280;10911.688555;17269.313749;24228.554407;31429.281635;;27.305205;9.702848;;171.726258;47.720827;92.240405;94.736344;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1407_P1322.805_QP;FK5R;-1320.000000;-1302.331760;-0.039362;0.000114;2.329227;14.07.2014 17:50:00;1322.8050;RHE;Pnyy;gehr;;2888.763;1.00;-74.756319;-350.160746;-711.533358;-993.037198;-1159.843329;-1210.010625;-1244.846797;-1268.613249;-1284.612944;-1295.276852;-1296.931672;-1298.454772;-1299.856319;-1301.145737;-1302.331760;-1303.422474;-1304.425363;-1305.347347;-1306.194824;-1306.973704;-1310.016091;-1312.004744;-1313.302347;-1314.148168;-1314.699241;-1315.292207;-1315.544211;-1315.651544;-1315.697349;;1.017950;1.310694;;-1305.720525;-1297.815334;-1303.264505;-1301.400109;
NCF_NXGRZ_RBEH;Bcgvba;FK5R_BGP_1407_C1322.805_QP;FK5R;11000.000000;111.661926;-0.328016;0.000951;19.410222;14.07.2014 17:50:00;1322.8050;RHE;Chg;gehr;;2888.763;1.00;10341.457268;8046.420373;5034.981945;2689.116607;1299.065522;881.004722;590.703287;392.649520;259.318723;170.452823;156.662662;143.970159;132.290603;121.545450;111.661926;102.572640;94.215234;86.532033;79.469725;72.979059;47.625838;31.053727;20.240368;13.191862;8.599587;3.658198;1.558165;0.663726;0.282016;;8.482916;10.922452;;83.422220;149.298813;112.482598;110.847417;
