Date,Open,High,Low,Close,Volume,Adj. Close*
20-Jul-05,83.20,84.96,82.99,84.60,9323200,84.60
19-Jul-05,84.72,85.11,83.70,83.70,14149700,83.70
18-Jul-05,81.99,83.94,81.68,81.81,8705600,81.81
15-Jul-05,82.43,82.75,81.52,82.38,7644100,82.38
14-Jul-05,82.00,82.67,82.00,82.42,8546200,82.42
13-Jul-05,81.16,81.75,81.16,81.45,11340000,81.45
12-Jul-05,79.20,80.49,79.18,80.04,10945500,80.04
11-Jul-05,79.40,79.52,78.52,78.96,7186700,78.96
8-Jul-05,77.38,79.52,77.14,79.30,13440500,79.30
7-Jul-05,75.15,77.53,75.00,77.38,10757200,77.38
6-Jul-05,74.80,76.15,74.40,75.81,8009300,75.81
5-Jul-05,74.38,74.97,74.16,74.79,5181800,74.79
1-Jul-05,74.30,75.33,74.30,74.67,4353100,74.67
30-Jun-05,74.80,75.49,74.07,74.20,6127000,74.20
29-Jun-05,75.26,75.68,74.62,74.73,5519100,74.73
28-Jun-05,73.83,75.30,73.45,75.30,8188800,75.30
27-Jun-05,74.01,74.77,73.50,73.88,6489800,73.88
24-Jun-05,75.17,75.40,74.00,74.01,10792100,74.01
23-Jun-05,76.81,76.97,75.06,75.41,7766700,75.41
22-Jun-05,76.83,77.49,76.67,77.23,5646300,77.23
21-Jun-05,76.70,77.00,76.11,76.41,5339100,76.41
20-Jun-05,76.03,76.98,75.57,76.55,3745600,76.55
17-Jun-05,77.70,77.73,76.38,76.39,8593800,76.39
16-Jun-05,76.40,77.25,76.31,77.05,7840000,77.05
15-Jun-05,75.70,76.50,75.15,76.30,7103600,76.30
14-Jun-05,75.05,75.43,74.73,74.89,4314900,74.89
13-Jun-05,74.50,75.93,74.45,75.05,5715700,75.05
10-Jun-05,74.75,75.05,74.10,74.77,4895800,74.77
9-Jun-05,74.58,75.47,74.23,74.93,4423200,74.93
8-Jun-05,75.04,75.40,74.63,74.80,4280000,74.80
7-Jun-05,75.00,76.09,75.00,75.04,5226600,75.04
6-Jun-05,75.80,75.90,74.92,75.00,5978600,75.00
3-Jun-05,77.06,77.10,75.74,75.79,6149900,75.79
2-Jun-05,76.75,77.39,76.68,77.35,4025600,77.35
1-Jun-05,75.57,77.50,75.57,76.84,7380600,76.84
