id1,id2,type,eng_object_category_name,ind_object_category_name,fra_object_category_name,eng_object_name,ind_object_name,fra_object_name,eng_shape,ind_shape,fra_shape,eng_color,ind_color,fra_color,eng_size,ind_size,fra_size,quantity,eng_short_name,eng_descriptive_name,ind_short_name,ind_descriptive_name,fra_short_name,fra_descriptive_name
1,C1B01RL1S1,object,fruit,buah,fruit,grape,anggur,raisin,round,bundar,rond,purple,ungu,violet,small,kecil,petit,1,1-grape,"1-grape (fruit, round, purple, small)",1-anggur,"1-anggur (buah, bundar, ungu, kecil)",1-raisin,"1-raisin (fruit, rond, violet, petit)"
2,C1B01RL1S2,object,fruit,buah,fruit,grape,anggur,raisin,round,bundar,rond,purple,ungu,violet,small,kecil,petit,2,2-grape,"2-grape (fruit, round, purple, small)",2-anggur,"2-anggur (buah, bundar, ungu, kecil)",2-raisin,"2-raisin (fruit, rond, violet, petit)"
3,C1B01RL1S3,object,fruit,buah,fruit,grape,anggur,raisin,round,bundar,rond,purple,ungu,violet,small,kecil,petit,3,3-grape,"3-grape (fruit, round, purple, small)",3-anggur,"3-anggur (buah, bundar, ungu, kecil)",3-raisin,"3-raisin (fruit, rond, violet, petit)"
4,C1B02RL2M1,object,fruit,buah,fruit,orange,jeruk,orange,round,bundar,rond,orange,oranye,orange,medium,sedang,moyen,1,1-orange,"1-orange (fruit, round, orange, medium)",1-jeruk,"1-jeruk (buah, bundar, oranye, sedang)",1-orange,"1-orange (fruit, rond, orange, moyen)"
5,C1B02RL2M2,object,fruit,buah,fruit,orange,jeruk,orange,round,bundar,rond,orange,oranye,orange,medium,sedang,moyen,2,2-orange,"2-orange (fruit, round, orange, medium)",2-jeruk,"2-jeruk (buah, bundar, oranye, sedang)",2-orange,"2-orange (fruit, rond, orange, moyen)"
6,C1B02RL2M3,object,fruit,buah,fruit,orange,jeruk,orange,round,bundar,rond,orange,oranye,orange,medium,sedang,moyen,3,3-orange,"3-orange (fruit, round, orange, medium)",3-jeruk,"3-jeruk (buah, bundar, oranye, sedang)",3-orange,"3-orange (fruit, rond, orange, moyen)"
7,C1B03RL3L1,object,fruit,buah,fruit,watermelon,semangka,pastèque,round,bundar,rond,green,hijau,vert,large,besar,grand,1,1-watermelon,"1-watermelon (fruit, round, green, large)",1-semangka,"1-semangka (buah, bundar, hijau, besar)",1-pastèque,"1-pastèque (fruit, rond, vert, grand)"
8,C1B03RL3L2,object,fruit,buah,fruit,watermelon,semangka,pastèque,round,bundar,rond,green,hijau,vert,large,besar,grand,2,2-watermelon,"2-watermelon (fruit, round, green, large)",2-semangka,"2-semangka (buah, bundar, hijau, besar)",2-pastèque,"2-pastèque (fruit, rond, vert, grand)"
9,C1B03RL3L3,object,fruit,buah,fruit,watermelon,semangka,pastèque,round,bundar,rond,green,hijau,vert,large,besar,grand,3,3-watermelon,"3-watermelon (fruit, round, green, large)",3-semangka,"3-semangka (buah, bundar, hijau, besar)",3-pastèque,"3-pastèque (fruit, rond, vert, grand)"
10,C2B04RL4S1,object,sports,olahraga,sports,"golf ball","bola golf","balle de golf",round,bundar,rond,white,putih,blanc,small,kecil,petit,1,"1-golf ball","1-golf ball (sports, round, white, small)","1-bola golf","1-bola golf (olahraga, bundar, putih, kecil)","1-balle de golf","1-balle de golf (sports, rond, blanc, petit)"
11,C2B04RL4S2,object,sports,olahraga,sports,"golf ball","bola golf","balle de golf",round,bundar,rond,white,putih,blanc,small,kecil,petit,2,"2-golf ball","2-golf ball (sports, round, white, small)","2-bola golf","2-bola golf (olahraga, bundar, putih, kecil)","2-balle de golf","2-balle de golf (sports, rond, blanc, petit)"
