 Count  Type        Name                  Value
     1  tag         svg                   open
     2  attribute   height                4cm
     3  attribute   version               1.1
     4  raw         viewBox               0 0 1200 400
     5  integer     1                     0
     6  integer     2                     0
     7  float       3                     1200
     8  float       4                     400
     9  attribute   width                 12cm
    10  attribute   xmlns                 http://www.w3.org/2000/svg
    11  tag         desc                  open
    12  content     desc                  Example ellipse01 - examples of ellipses
    13  tag         desc                  close
    14  tag         rect                  open
    15  attribute   fill                  none
    16  attribute   height                398
    17  attribute   stroke                blue
    18  attribute   stroke-width          2
    19  attribute   width                 1198
    20  attribute   x                     1
    21  attribute   y                     1
    22  content     rect                  
    23  tag         rect                  close
    24  tag         g                     open
    25  raw         transform             translate(300 200)
    26  command     translate             -
    27  float       1                     300
    28  float       2                     200
    29  tag         ellipse               open
    30  attribute   fill                  red
    31  attribute   rx                    250
    32  attribute   ry                    100
    33  content     ellipse               
    34  tag         ellipse               close
    35  content     g                     
    
  
    36  tag         g                     close
    37  tag         ellipse               open
    38  attribute   fill                  none
    39  attribute   rx                    250
    40  attribute   ry                    100
    41  attribute   stroke                blue
    42  attribute   stroke-width          20
    43  raw         transform             translate(900 200) rotate(-30)
    44  command     translate             -
    45  float       1                     900
    46  float       2                     200
    47  command     rotate                -
    48  float       1                     -30
    49  content     ellipse               
    50  tag         ellipse               close
    51  content     svg                   
  

  
  

  

  

    52  tag         svg                   close
