 Count  Type        Name                  Value
     1  tag         svg                   open
     2  attribute   height                4cm
     3  attribute   version               1.1
     4  raw         viewBox               0 0 1200 400
     5  integer     1                     0
     6  integer     2                     0
     7  float       3                     1200
     8  float       4                     400
     9  attribute   width                 12cm
    10  attribute   xmlns                 http://www.w3.org/2000/svg
    11  tag         desc                  open
    12  content     desc                  Example rect02 - rounded rectangles
    13  tag         desc                  close
    14  tag         rect                  open
    15  attribute   fill                  none
    16  attribute   height                398
    17  attribute   stroke                blue
    18  attribute   stroke-width          2
    19  attribute   width                 1198
    20  attribute   x                     1
    21  attribute   y                     1
    22  content     rect                  
    23  tag         rect                  close
    24  tag         rect                  open
    25  attribute   fill                  green
    26  attribute   height                200
    27  attribute   rx                    50
    28  attribute   width                 400
    29  attribute   x                     100
    30  attribute   y                     100
    31  content     rect                  
    32  tag         rect                  close
    33  tag         g                     open
    34  raw         transform             translate(700 210) rotate(-30)
    35  command     translate             -
    36  float       1                     700
    37  float       2                     210
    38  command     rotate                -
    39  float       1                     -30
    40  tag         rect                  open
    41  attribute   fill                  none
    42  attribute   height                200
    43  attribute   rx                    50
    44  attribute   stroke                purple
    45  attribute   stroke-width          30
    46  attribute   width                 400
    47  attribute   x                     0
    48  attribute   y                     0
    49  content     rect                  
    50  tag         rect                  close
    51  content     g                     
    
  
    52  tag         g                     close
    53  content     svg                   
  

  
  

  

  
    54  tag         svg                   close
