"id","name","derivation","form","kind","meaning","rating","original","sex","source"
"1","Aaran","Variant spelling of English Aaron, meaning "light-bringer"","spelling","Variant",""light-bringer"","Aaron","meaning","male","English"
"2","Aaren","Variant spelling of English Aeryn, meaning "Ireland"","spelling","Variant",""Ireland"","Aeryn","meaning","female","English"
"3","Aaren","Variant spelling of English Aaron, meaning "light-bringer"","spelling","Variant",""light-bringer"","Aaron","meaning","male","English"
"4","Aaron","English form of Greek AarÅn (Hebrew Aharon), meaning "light-bringer"","form","English",""light-bringer"","AarÅn (Hebrew Aharon)","meaning","male","Greek"
"5","Aarron","Variant spelling of English Aaron, meaning "light-bringer"","spelling","Variant",""light-bringer"","Aaron","meaning","male","English"
"6","Ab","Short form of English Abner, meaning "father of light"","form","Short",""father of light"","Abner","meaning","male","English"
"7","Abaddon","Anglicized form of Greek AbaddÅn, meaning "destruction, ruination"","form","Anglicized",""destruction, ruination"","AbaddÅn","meaning","male","Greek"
"8","Abaegayle","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"9","Abagael","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"10","Abagail","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"11","Abagale","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"12","Abaigael","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"13","Abaigeal","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"14","Abbey","Pet form of English Abigail, meaning "father rejoices"","form","Pet",""father rejoices"","Abigail","meaning","female","English"
"15","Abbi","Pet form of English Abigail, meaning "father rejoices"","form","Pet",""father rejoices"","Abigail","meaning","female","English"
"16","Abbie","Pet form of English Abigail, meaning "father rejoices"","form","Pet",""father rejoices"","Abigail","meaning","female","English"
"17","Abbigael","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"18","Abbigail","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"19","Abbigale","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
"20","Abbigayle","Variant spelling of English Abigail, meaning "father rejoices"","spelling","Variant",""father rejoices"","Abigail","meaning","female","English"
