Licensee Name Search Results - Mar. 10, 2010

Search Criteria
***********************************************************************************
Licensee Name = 


Query Results
***********************************************************************************

NOTE: THESE RESULTS DO NOT INCLUDE PROTECTED FREQUENCY RECORDS. Valid EMC
studies require coordination with protected frequency owners. To
obtain a list of protected frequency owners by microwave frequency
band and longitude range, go to:  http://sd.ic.gc.ca/pls/engdoc_anon/web_search.protected_input

Data from unsubmitted microwave applications is no longer available in the search results.

Coded fields can be decoded using the information in files available for
download from the following page:  http://sd.ic.gc.ca/pls/engdoc_anon/sd_pages.decode

[DATA]
  14570.000000   15045.000000    20000.00 G7WET FX    15HC20HIC1 A 0 41062825001 452121  754345 OTTAWA (1339 MEADOWLANDS) ON          106   41 2              5399 I   39.7   0.0 B 540  263.0  -9.5  -0.200  30.2   41        5399 I   39.7   0.0 B 540  263.0 -105.0  -0.200  -74.0   41        CHK980     5093524 OTTAWA ON                                   Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5093262 CHK958     1            41   ANT15G2.5C ANT15G2.5C 1 B E                                0        
  15045.000000   14570.000000    20000.00 G7WET FX    15HC20HIC1 A 0 41062826001 452027  755444 OTTAWA (400 MARCH RD) ON               80   28 2              5399 I   39.7   0.0 B 540   83.0  -9.5   0.110  30.2   28        5399 I   39.7   0.0 B 540   83.0 -105.0   0.110  -74.0   28        CHK958     5093262 OTTAWA ON                                   Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5093524 CHK980     1            41   ANT15G2.5C ANT15G2.5C 1 B E                                0        
  17840.000000   19400.000000    40000.00 D7WET FX    18HC40HFC1 A 0 41062436001 431958  794835 BURLINGTON (770 HAGER AVE) ON          92   33 2              5420 K   38.7   0.0 B 295  197.1  -7.0   0.540  31.7   33        5420 K   38.7   0.0 B 295  197.1 -105.0   0.540  -68.9   33        CHG805     5089384  HAMILTON ON                                Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5089390 CHG894     1            41   A-ANT18G2C A-ANT18G2C 1 A E                                2   92980
  17920.000000   19480.000000    40000.00 D7WET FX    18HC40HFC2 A 0 41062492001 433605  793005 TORONTO (2835 LAKESHORE BLVD W.) ON    81   28 2              5350 N   41.0   0.0 B 529   65.0 -10.0   0.180  31.0   28        5350 N   41.0   0.0 B 529   65.0  -99.0   0.180  -70.8   28        CHK733     5091500 TORONTO ON                                  Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5091637 CHG883     1            41   ANT18G2.5C ANT19G2.5C 1 A E                                2   92975
  17920.000000   19480.000000    40000.00 D7WET FX    18HC40SFC1 A 0 41062179001 434312  793613 ETOBICOKE (900 QUEEN'S PLATE DR) ON   161   43 2              5350 M   41.0   0.0 B 192  246.9  -9.5   0.200  31.5   44        5350 M   41.0   0.0 B 192  246.9 -101.0   0.200  -67.1   44        CHG777     5089378 BRAMPTON ON                                 Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5089376 CHG776     1            41   A-ANT182.5 A-ANT182.5 1 A E                                2   93241
  18040.000000   19600.000000    40000.00 D7WET FX    18HC40HFC1 A 0 41062170001 433318  793513 MISSISSAGUA (49 QUEEN ST. E.) ON       79   39 2              5420 M   38.6   0.0 A 192   32.7 -19.5   0.160  19.1   39        5420 M   38.6   0.0 A 192   32.7 -101.0   0.160  -68.8   39        CHG778     5089360 MISSISSAUGA ON                              Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5089362 CHG779     1            41   A-ANT18G2C A-ANT18G2C 1 A E                                2   93246
  18040.000000   19600.000000    40000.00 D7WET FX    18HC40HFC1 A 0 41062342001 433610  794432 MISSISSAUGA (6750 MISSISSAUGA RD)ON   186   50 2              5420 M   38.6   0.0 B 192   30.7 -19.5  -0.077  19.1   48        5420 M   38.6   0.0 B 192   30.7 -101.0  -0.077  -76.3   48        CHK303     5090512 MISSISSAUGA ON                              Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5090291 CHG891     1            41   A-ANT18G1C A-ANT18G1C 2 A E                                2   93101
  18040.000000   19600.000000    40000.00 D7WET FX    18HC40HFC1 A 0 41062344001 433930  793403 ETOBICOKE ( 1 RABBIT LANE) ON         145   26 2              5420 M   38.6   0.0 B 192  204.9 -19.5   0.030  19.1   26        5420 M   38.6   0.0 B 192  204.9 -101.0   0.030  -73.8   26        CHG896     5090504 ETOBICOKE ON                                Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5090654 CHK299     1            41   A-ANT18G1C A-ANT18G1C 1 A E                                2   93099
  18040.000000   19600.000000    40000.00 D7WET FX    18HC40HFC1 A 0 41062396002 434541  792148 TORONTO (44 STUBBS DRIVE) ON          139   23 2              5420 M   38.7   0.0 A 192  323.3  -9.5   0.891  29.2   23        5420 M   38.7   0.0 A 192  323.3 -101.0   0.891  -62.2   23        CHG803     5089372 NORTH YORK ON                               Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5091244 CHK652     1            41   A-ANT18G2C A-ANT18G2C 1 A E                                2   93029
  18040.000000   19600.000000    40000.00 D7WET FX    18HC40HFC1 A 0 41062397001 434929  791628 SCARBOROUGH (88 ALTON TOWER CIR) ON   189   61 2              5420 M   38.7   0.0 A 192  114.2  -9.5  -0.439  29.2   61        5420 M   38.7   0.0 A 192  114.2 -101.0  -0.439  -64.6   61        CHG942     5089350 SCARBOROUGH ON                              Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5091246 CHK653     1            41   A-ANT18G2C A-ANT18G2C 1 A E                                2   93028
  18040.000000   19600.000000    40000.00 D7WET FX    18HC40HFC1 A 0 41062423001 434929  791628 SCARBOROUGH (88 ALTON TOWER CIR) ON   189   61 2              5420 M   38.7   0.0 B 192  261.1  -9.5  -0.330  29.2   61        5420 M   38.7   0.0 B 192  261.1 -101.0  -0.330  -66.4   61        CHK646     5091323 MARKHAM ON                                  Globalive Wireless Management Corp. Attn: Ahmed Derini                  207 Queens Quay West, P.O. Box 114, Toronto ON, M5J1A7                           416-637-3525 090045300 5091246 CHK653     1            41   A-ANT18G2C A-ANT18G2C 1 A E                                2   92955
