f9	f8	f7	f6	f5	f4	f3	f2	f1	f0
34	0 0 0 0 0 0 0 0 0 0
3565	0 0 0 1 0 0 1 0 0 0
261	0 0 1 0 0 0 0 0 0 0
77	1 0 0 0 0 0 0 0 0 1
75	0 0 0 0 0 1 0 0 0 1
42	0 0 0 0 0 0 0 1 1 0
128	0 0 0 0 0 0 0 0 0 0
681	0 0 0 0 0 0 0 0 0 1
144	0 0 0 0 0 0 0 0 1 0
36	0 0 0 1 0 0 0 0 0 0
40	1 0 0 0 0 0 0 0 0 0
76	0 1 0 0 0 0 0 0 0 1
258	0 0 0 0 0 0 0 0 0 0
48	0 1 1 0 0 0 0 0 0 0
606	0 0 0 0 0 1 0 0 0 0
344	0 0 0 0 0 0 0 0 1 0
28	0 0 0 0 1 0 0 1 0 1
61	0 0 0 0 1 0 0 0 0 0
63	1 0 0 0 0 0 0 0 0 0
39	0 0 0 0 0 0 0 1 1 0
103	0 0 0 0 0 0 1 1 0 0
308	0 1 0 0 0 0 0 0 0 0
27	1 0 0 1 0 1 0 0 5 0
61	0 1 0 0 0 1 1 0 0 0
142	0 0 0 0 0 0 0 0 0 0
93	0 0 0 0 0 0 1 0 0 0
356	0 0 0 0 0 0 1 0 0 0
17	0 0 1 0 0 1 0 0 1 0
49	0 0 0 0 0 0 1 0 0 0
22	1 0 1 0 0 0 0 0 0 12
139	0 0 0 1 0 0 0 0 0 0
60	0 1 0 0 0 0 1 0 0 0
137	0 0 0 0 1 0 0 1 0 0
52	1 0 0 0 0 0 1 1 0 1
508	0 0 0 0 0 0 0 20 0 0
130	0 0 0 0 1 0 0 0 0 0
88	0 0 1 0 0 0 0 1 0 0
24	0 0 0 0 0 0 0 0 1 0
24	0 0 0 1 0 1 0 0 0 0
6	0 1 0 1 0 0 0 0 0 1
152	0 0 0 0 0 0 0 1 0 0
95	0 0 0 0 0 0 0 0 0 0
16	0 0 0 0 0 0 21 1 1 1
96	0 0 1 0 0 0 0 0 1 0
237	0 0 0 0 1 0 0 0 0 0
59	0 0 0 0 0 0 0 1 0 1
77	0 1 0 0 0 1 0 1 0 1
17	1 0 0 1 0 0 0 0 1 0
5	0 0 0 1 1 0 0 0 0 0
150	0 0 0 0 0 0 0 0 1 0
19	1 0 0 0 0 1 0 0 1 0
46	0 0 0 0 0 0 0 1 0 0
34	0 1 0 0 0 0 1 0 1 0
67	0 0 0 5 0 0 1 0 0 0
40	0 1 0 0 0 1 0 0 0 0
49	0 0 0 0 0 1 0 0 0 1
73	1 1 0 0 0 0 1 0 1 0
42	0 0 0 0 0 0 0 1 0 1
50	0 0 0 1 0 0 0 3 0 0
60	0 0 1 0 0 0 0 1 0 1
19	0 0 1 0 0 0 0 0 0 0
72	0 1 0 1 0 0 0 0 0 0
59	0 1 1 0 1 1 0 0 0 1
67	0 1 1 0 0 0 0 1 1 1
39	0 0 0 0 0 1 0 1 0 0
93	0 1 0 0 1 0 0 0 0 0
68	0 0 0 1 0 1 1 0 0 0
17	0 0 0 0 1 1 0 0 0 0
41	0 0 0 0 0 0 1 0 0 1
871	1 0 0 1 0 0 1 0 0 1
41	0 0 0 0 0 0 0 1 1 0
43	0 0 1 0 0 0 0 0 0 0
79	0 1 0 0 0 0 0 1 0 0
84	0 0 1 0 0 0 0 0 0 0
35	0 1 0 1 0 0 0 0 0 0
82	0 0 1 0 0 1 0 1 0 0
100	0 0 1 0 1 0 0 0 0 0
96	1 0 0 0 0 0 0 0 0 0
2	0 0 0 1 1 0 0 1 0 0
54	1 0 0 0 0 0 0 0 0 0
37	0 0 0 0 0 0 0 0 0 0
49	0 1 0 0 1 0 1 0 0 0
63	0 0 0 1 0 0 0 0 0 1
1290	0 1 0 0 4 0 0 0 0 0
41	0 0 0 0 0 1 0 0 0 0
50	0 0 1 0 0 1 0 0 0 0
62	0 0 0 0 1 0 0 1 0 0
47	1 0 1 0 0 0 1 0 0 0
64	0 0 0 1 1 0 0 0 0 0
44	0 0 0 0 0 0 0 0 0 1
37	0 0 0 1 1 0 1 0 0 0
5	0 1 1 0 0 0 0 0 0 1
31	1 1 0 0 1 0 0 0 0 0
94	0 1 0 0 1 0 0 1 0 0
64	0 0 0 0 0 0 0 0 1 1
870	1 1 1 1 1 1 1 1 1 1
72	1 0 0 0 0 0 1 0 0 0
81	1 0 0 0 0 0 1 0 0 0
53	0 0 0 0 0 1 1 1 0 0
670	0 0 0 1 1 0 0 1 1 1
