# Deduceri pentru 2 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
0	1044	450
1045	1088	440
1089	1133	430
1134	1177	420
1178	1222	410
1223	1266	400
1267	1311	390
1312	1355	380
1356	1399	370
1400	1444	360
1445	1488	350
1489	1533	340
1534	1577	330
1578	1622	320
1623	1666	310
1667	1711	300
1712	1755	290
1756	1799	280
1800	1844	270
1845	1888	260
1889	1933	250
1934	1977	240
1978	2022	230
2023	2066	220
2067	2111	210
2112	2155	200
2156	2199	190
2200	2244	180
2245	2288	170
2289	2333	160
2334	2377	150
2378	2422	140
2423	2466	130
2467	2511	120
2512	2555	110
2556	2599	100
2600	2644	90
2645	2688	80
2689	2733	70
2734	2777	60
2778	2822	50
2823	2866	40
2867	2911	30
2912	2955	20
2956	2999	10
3000	999999	0
