# Deduceri pentru 1 persoana
# Tab separated columns
#
#VBL-min	VBL-max	deducere
0	1057	350
1058	1114	340
1115	1171	330
1172	1228	320
1229	1285	310
1286	1342	300
1343	1399	290
1400	1457	280
1458	1514	270
1515	1571	260
1572	1628	250
1629	1685	240
1686	1742	230
1743	1799	220
1800	1857	210
1858	1914	200
1915	1971	190
1972	2028	180
2029	2085	170
2086	2142	160
2143	2199	150
2200	2257	140
2258	2314	130
2315	2371	120
2372	2428	110
2429	2485	100
2486	2542	90
2543	2599	80
2600	2657	70
2658	2714	60
2715	2771	50
2772	2828	40
2829	2885	30
2886	2942	20
2943	2999	10
3000	999999	0
