# Deduceri pentru 0 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
0	1549	300
1550	1599	290
1600	1649	280
1650	1699	270
1700	1749	260
1750	1799	250
1800	1849	240
1850	1899	230
1900	1949	220
1950	1999	210
2000	2049	200
2050	2099	190
2100	2149	180
2150	2199	170
2200	2249	160
2250	2299	150
2300	2349	140
2350	2399	130
2400	2449	120
2450	2499	110
2500	2549	100
2550	2599	90
2600	2649	80
2650	2699	70
2700	2749	60
2750	2799	50
2800	2849	40
2850	2899	30
2900	2949	20
2950	2999	10
3000	999999	0
