# Deduceri pentru 3 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
0	1524	600
1525	1549	590
1550	1574	580
1575	1599	570
1600	1624	560
1625	1649	550
1650	1674	540
1675	1699	530
1700	1724	520
1725	1749	510
1750	1774	500
1775	1799	490
1800	1824	480
1825	1849	470
1850	1874	460
1875	1899	450
1900	1924	440
1925	1949	430
1950	1974	420
1975	1999	410
2000	2024	400
2025	2049	390
2050	2074	380
2075	2099	370
2100	2124	360
2125	2149	350
2150	2174	340
2175	2199	330
2200	2224	320
2225	2249	310
2250	2274	300
2275	2299	290
2300	2324	280
2325	2349	270
2350	2374	260
2375	2399	250
2400	2424	240
2425	2449	230
2450	2474	220
2475	2499	210
2500	2524	200
2525	2549	190
2550	2574	180
2575	2599	170
2600	2624	160
2625	2649	150
2650	2674	140
2675	2699	130
2700	2724	120
2725	2749	110
2750	2774	100
2775	2799	90
2800	2824	80
2825	2849	70
2850	2874	60
2875	2899	50
2900	2924	40
2925	2949	30
2950	2974	20
2975	2999	10
3000	999999	0
