# Deduceri pentru 1 persoana
# Tab separated columns
#
#VBL-min	VBL-max	deducere
0	1537	400
1538	1574	390
1575	1612	380
1613	1649	370
1650	1687	360
1688	1724	350
1725	1762	340
1763	1799	330
1800	1837	320
1838	1874	310
1875	1912	300
1913	1949	290
1950	1987	280
1988	2024	270
2025	2062	260
2063	2099	250
2100	2137	240
2138	2174	230
2175	2212	220
2213	2249	210
2250	2287	200
2288	2324	190
2325	2362	180
2363	2399	170
2400	2437	160
2438	2474	150
2475	2512	140
2513	2549	130
2550	2587	120
2588	2624	110
2625	2662	100
2663	2699	90
2700	2737	80
2738	2774	70
2775	2812	60
2813	2849	50
2850	2887	40
2888	2924	30
2925	2962	20
2963	2999	10
3000	999999	0
