	Casablanca	CityofGod	FightClub	ForrestGump	Gladiator	Goodfellas	Inception	Interstellar	LifeisBeautiful	PulpFiction	SavingPrivateRyan	Schindler'sList	Se7en	SpiritedAway	StarWars:EpisodeV-TheEmpireStrikesBack	TheDarkKnight	TheGodfather	TheGreenMile	TheLordoftheRings:TheFellowshipoftheRing	TheLordoftheRings:TheReturnoftheKing	TheMatrix	ThePianist	TheShawshankRedemption	TheSilenceoftheLambs	TheUsualSuspects
Casablanca	0	11	8	7	8	34	12	10	10	9	7	34	10	14	12	10	9	10	12	12	11	34	8	10	10	
CityofGod	11	0	9	10	11	33	13	9	9	8	8	35	7	11	13	9	8	7	11	11	12	33	9	7	11	
FightClub	8	9	0	5	8	32	8	8	10	7	7	32	8	12	10	8	7	6	8	10	7	34	6	8	10	
ForrestGump	7	10	5	0	9	33	9	9	9	6	8	33	9	13	11	9	8	9	9	11	10	35	5	9	11	
Gladiator	8	11	8	9	0	34	8	8	12	9	9	34	10	12	8	8	9	10	10	10	9	34	8	10	10	
Goodfellas	34	33	32	33	34	0	36	34	36	31	33	8	32	38	34	32	31	32	36	36	33	10	32	32	34	
Inception	12	13	8	9	8	36	0	8	14	11	11	36	12	12	8	10	11	12	10	12	7	38	10	12	12	
Interstellar	10	9	8	9	8	34	8	0	10	9	7	34	8	10	10	10	9	8	10	10	9	36	8	8	12	
LifeisBeautiful	10	9	10	9	12	36	14	10	0	11	9	36	10	12	14	12	11	10	12	12	13	36	10	10	14	
PulpFiction	9	8	7	6	9	31	11	9	11	0	8	31	7	13	11	7	6	7	11	9	10	35	5	7	9	
SavingPrivateRyan	7	8	7	8	9	33	11	7	9	8	0	33	7	11	11	9	8	7	11	11	10	35	7	7	11	
Schindler'sList	34	35	32	33	34	8	36	34	36	31	33	0	34	38	36	34	33	34	36	34	35	10	32	34	36	
Se7en	10	7	8	9	10	32	12	8	10	7	7	34	0	12	12	8	7	6	12	12	11	36	8	6	6	
SpiritedAway	14	11	12	13	12	38	12	10	12	13	11	38	12	0	12	14	13	12	10	12	13	38	12	12	14	
StarWars:EpisodeV-TheEmpireStrikesBack	12	13	10	11	8	34	8	10	14	11	11	36	12	12	0	10	11	10	10	10	7	38	10	12	12	
TheDarkKnight	10	9	8	9	8	32	10	10	12	7	9	34	8	14	10	0	7	8	12	12	9	36	8	8	10	
TheGodfather	9	8	7	8	9	31	11	9	11	6	8	33	7	13	11	7	0	7	11	11	10	35	7	7	9	
TheGreenMile	10	7	6	9	10	32	12	8	10	7	7	34	6	12	10	8	7	0	10	10	9	36	8	6	10	
TheLordoftheRings:TheFellowshipoftheRing	12	11	8	9	10	36	10	10	12	11	11	36	12	10	10	12	11	10	0	6	13	36	10	12	14	
TheLordoftheRings:TheReturnoftheKing	12	11	10	11	10	36	12	10	12	9	11	34	12	12	10	12	11	10	6	0	13	36	10	12	14	
TheMatrix	11	12	7	10	9	33	7	9	13	10	10	35	11	13	7	9	10	9	13	13	0	37	9	11	11	
ThePianist	34	33	34	35	34	10	38	36	36	35	35	10	36	38	38	36	35	36	36	36	37	0	34	36	36	
TheShawshankRedemption	8	9	6	5	8	32	10	8	10	5	7	32	8	12	10	8	7	8	10	10	9	34	0	8	10	
TheSilenceoftheLambs	10	7	8	9	10	32	12	8	10	7	7	34	6	12	12	8	7	6	12	12	11	36	8	0	8	
TheUsualSuspects	10	11	10	11	10	34	12	12	14	9	11	36	6	14	12	10	9	10	14	14	11	36	10	8	0	
