	Casablanca	CityofGod	FightClub	ForrestGump	Gladiator	Goodfellas	Inception	Interstellar	LifeisBeautiful	PulpFiction	SavingPrivateRyan	Schindler'sList	Se7en	SpiritedAway	StarWars:EpisodeV-TheEmpireStrikesBack	TheDarkKnight	TheGodfather	TheGreenMile	TheLordoftheRings:TheFellowshipoftheRing	TheLordoftheRings:TheReturnoftheKing	TheMatrix	ThePianist	TheShawshankRedemption	TheSilenceoftheLambs	TheUsualSuspects
Casablanca	0	4	2	2	2	2	2	2	4	2	2	2	2	4	2	2	2	2	4	4	2	4	2	2	2
CityofGod	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4
FightClub	2	4	0	2	2	2	2	2	4	2	2	2	2	4	2	2	2	0	4	4	0	4	2	2	2
ForrestGump	2	4	2	0	2	2	2	2	4	0	2	2	2	4	2	2	2	2	4	4	2	4	0	2	2
Gladiator	2	4	2	2	0	2	2	2	4	2	2	2	2	4	2	2	2	2	4	4	2	4	2	2	2
Goodfellas	2	4	2	2	2	0	2	2	4	2	2	2	2	4	2	2	2	2	4	4	2	4	2	2	2
Inception	2	4	2	2	2	2	0	2	4	2	2	2	2	4	2	2	2	2	4	4	2	4	2	2	2
Interstellar	2	4	2	2	2	2	2	0	4	2	2	2	2	4	2	2	2	2	4	4	2	4	2	2	2
LifeisBeautiful	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
PulpFiction	2	4	2	0	2	2	2	2	4	0	2	2	2	4	2	2	2	2	4	4	2	4	0	2	2
SavingPrivateRyan	2	4	2	2	2	2	2	2	4	2	0	2	2	4	2	2	2	2	4	4	2	4	2	2	2
Schindler'sList	2	4	2	2	2	2	2	2	4	2	2	0	2	4	2	2	2	2	4	4	2	4	2	2	2
Se7en	2	4	2	2	2	2	2	2	4	2	2	2	0	4	2	2	2	2	4	4	2	4	2	2	0
SpiritedAway	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	2	4	4	4	4	4	4
StarWars:EpisodeV-TheEmpireStrikesBack	2	4	2	2	2	2	2	2	4	2	2	2	2	4	0	2	2	2	4	4	2	4	2	2	2
TheDarkKnight	2	4	2	2	2	2	2	2	4	2	2	2	2	4	2	0	2	2	4	4	2	4	2	2	2
TheGodfather	2	4	2	2	2	2	2	2	4	2	2	2	2	4	2	2	0	2	4	4	2	4	2	2	2
TheGreenMile	2	4	0	2	2	2	2	2	4	2	2	2	2	4	2	2	2	0	4	4	0	4	2	2	2
TheLordoftheRings:TheFellowshipoftheRing	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	0	2	4	4	4	4	4
TheLordoftheRings:TheReturnoftheKing	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	0	4	4	4	4	4
TheMatrix	2	4	0	2	2	2	2	2	4	2	2	2	2	4	2	2	2	0	4	4	0	4	2	2	2
ThePianist	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4
TheShawshankRedemption	2	4	2	0	2	2	2	2	4	0	2	2	2	4	2	2	2	2	4	4	2	4	0	2	2
TheSilenceoftheLambs	2	4	2	2	2	2	2	2	4	2	2	2	2	4	2	2	2	2	4	4	2	4	2	0	2
TheUsualSuspects	2	4	2	2	2	2	2	2	4	2	2	2	0	4	2	2	2	2	4	4	2	4	2	2	0
