AG|Solomon Islands
AN|Nauru
AY|Papua New Guinea
BG|Greenland
BI|Iceland
BK|Kosovo
C|Canada
DA|Algeria
DB|Benin
DF|Burkina Faso
DG|Ghana
DI|Côte d'Ivoire
DN|Nigeria
DR|Niger
DT|Tunisia
DX|Togolese Republic
EB|Belgium
ED|Germany (civil)
EE|Estonia
EF|Finland
EG|United Kingdom
EH|Netherlands
EI|Ireland
EK|Denmark
EL|Luxembourg
EN|Norway
EP|Poland
ES|Sweden
ET|Germany (military)
EV|Latvia
EY|Lithuania
FA|South Africa
FB|Botswana
FC|Republic of the Congo
FD|Swaziland
FE|Central African Republic
FG|Equatorial Guinea
FH|Ascension Island
FI|Mauritius
FJ|British Indian Ocean Territory
FK|Cameroon
FL|Zambia
FM|Comoros, Madagascar, Mayotte, Réunion
FN|Angola
FO|Gabon
FP|São Tomé and Príncipe
FQ|Mozambique
FS|Seychelles
FT|Chad
FV|Zimbabwe
FW|Malawi
FX|Lesotho
FY|Namibia
FZ|Democratic Republic of the Congo
GA|Mali
GB|The Gambia
GC|Canary Islands (Spain)
GE|Ceuta and Melilla (Spain)
GF|Sierra Leone
GG|Guinea-Bissau
GL|Liberia
GM|Morocco
GO|Senegal
GQ|Mauritania
GS|Western Sahara
GU|Guinea
GV|Cape Verde
HA|Ethiopia
HB|Burundi
HC|Somalia
HD|Djibouti
HE|Egypt
HF|Djibouti
HH|Eritrea
HK|Kenya
HL|Libya
HR|Rwanda
HS|Sudan
HT|Tanzania
HU|Uganda
K|USA
LA|Albania
LB|Bulgaria
LC|Cyprus
LD|Croatia
LE|Spain
LF|France
LG|Greece
LH|Hungary
LI|Italy
LJ|Slovenia
LK|Czech Republic
LL|Israel
LM|Malta
LN|Monaco
LO|Austria
LP|Portugal
LQ|Bosnia and Herzegovina
LR|Romania
LS|Switzerland
LT|Turkey
LU|Moldova
LV|Areas Under the Control of the Palestinian Authority
LW|Macedonia
LX|Gibraltar
LY|Serbia and Montenegro
LZ|Slovakia
MB|Turks and Caicos Islands
MD|Dominican Republic
MG|Guatemala
MH|Honduras
MK|Jamaica
MM|Mexico
MN|Nicaragua
MP|Panama
MR|Costa Rica
MS|El Salvador
MT|Haiti
MU|Cuba
MW|Cayman Islands
MY|Bahamas
MZ|Belize
NC|Cook Islands
NF|Fiji, Tonga
NG|Kiribati (Gilbert Islands), Tuvalu
NI|Niue
NL|Wallis and Futuna
NS|Samoa, American Samoa
NT|French Polynesia
NV|Vanuatu
NW|New Caledonia
NZ|New Zealand, Antarctica
OA|Afghanistan
OB|Bahrain
OE|Saudi Arabia
OI|Iran
OJ|Jordan and the West Bank
OK|Kuwait
OL|Lebanon
OM|United Arab Emirates
OO|Oman
OP|Pakistan
OR|Iraq
OS|Syria
OT|Qatar
OY|Yemen
PA|Alaska only
PB|Baker Island
PC|Kiribati (Canton Airfield, Phoenix Islands)
PF|Fort Yukon, Alaska
PG|Guam, Northern Marianas
PH|Hawaiʻi only
PJ|Johnston Atoll
PK|Marshall Islands
PL|Kiribati (Line Islands)
PM|Midway Island
PO|Oliktok Point, Alaska
PP|Point Lay, Alaska
PT|Federated States of Micronesia, Palau
PW|Wake Island
RC|Republic of China (Taiwan)
RJ|Japan (most of country)
RK|South Korea
RO|Japan (Okinawa Prefecture and Yoron)
RP|Philippines
SA|Argentina
SB|Brazil
SC|Chile
SD|Brazil
SE|Ecuador
SF|Falkland Islands
SG|Paraguay
SI|Brazil
SJ|Brazil
SK|Colombia
SL|Bolivia
SM|Suriname
SN|Brazil
SO|French Guiana
SP|Peru
SS|Brazil
SU|Uruguay
SV|Venezuela
SW|Brazil
SY|Guyana
TA|Antigua and Barbuda
TB|Barbados
TD|Dominica
TF|Guadeloupe
TG|Grenada
TI|U.S. Virgin Islands
TJ|Puerto Rico
TK|Saint Kitts and Nevis
TL|Saint Lucia
TN|Netherlands Antilles, Aruba
TQ|Anguilla
TR|Montserrat
TT|Trinidad and Tobago
TU|British Virgin Islands
TV|Saint Vincent and the Grenadines
TX|Bermuda
U|Russia
UA|Kazakhstan, Kyrgyzstan
UB|Azerbaijan
UD|Armenia
UG|Georgia
UK|Ukraine
UM|Belarus and Kaliningrad, Russia
UT|Tajikistan, Turkmenistan, Uzbekistan
VA|India (West Zone, Mumbai Center)
VC|Sri Lanka
VD|Cambodia
VE|India (East Zone, Kolkata Center)
VG|Bangladesh
VH|Hong Kong, China
VI|India (North Zone, Delhi Center)
VL|Laos
VM|Macau, China
VN|Nepal
VO|India (South Zone, Chennai Center)
VQ|Bhutan
VR|Maldives
VT|Thailand
VV|Vietnam
VY|Myanmar
WA|Indonesia
WB|Malaysia, Brunei
WI|Indonesia
WM|Malaysia
WP|Timor-Leste
WQ|Indonesia
WR|Indonesia
WS|Singapore
Y|Australia
Z|People's Republic of China
ZK|North Korea
ZM|Mongolia
