AcePerl,1.92,id/L/LD/LDS/AcePerl-1.92.tar.gz
App-SVN-Bisect,1.1,id/I/IN/INFINOID/App-SVN-Bisect-1.1.tar.gz
Archive-Tar,2.24,id/B/BI/BINGOS/Archive-Tar-2.24.tar.gz
Attribute-Handlers,0.99,id/R/RJ/RJBS/Attribute-Handlers-0.99.tar.gz
AutoLoader,5.74,id/S/SM/SMUELLER/AutoLoader-5.74.tar.gz
Autodia,2.14,id/T/TE/TEEJAY/Autodia-2.14.tar.gz
B-Debug,1.24,id/R/RU/RURBAN/B-Debug-1.24.tar.gz
BioPerl,1.007001,id/C/CJ/CJFIELDS/BioPerl-1.007001.tar.gz
BioPerl-DB,1.006900,id/C/CJ/CJFIELDS/BioPerl-DB-1.006900.tar.gz
BioPerl-Network,1.006902,id/C/CJ/CJFIELDS/BioPerl-Network-1.006902.tar.gz
BioPerl-Run,1.007001,id/C/CJ/CJFIELDS/BioPerl-Run-1.007001.tar.gz
CPAN,2.16,id/A/AN/ANDK/CPAN-2.16.tar.gz
CPAN-Meta,2.150010,id/D/DA/DAGOLDEN/CPAN-Meta-2.150010.tar.gz
CPAN-Meta-Requirements,2.140,id/D/DA/DAGOLDEN/CPAN-Meta-Requirements-2.140.tar.gz
CPAN-Meta-YAML,0.018,id/D/DA/DAGOLDEN/CPAN-Meta-YAML-0.018.tar.gz
Carp,1.38,id/R/RJ/RJBS/Carp-1.38.tar.gz
Compress-Raw-Bzip2,2.074,id/P/PM/PMQS/Compress-Raw-Bzip2-2.074.tar.gz
Compress-Raw-Zlib,2.074,id/P/PM/PMQS/Compress-Raw-Zlib-2.074.tar.gz
DB_File,1.840,id/P/PM/PMQS/DB_File-1.840.tar.gz
Data-Dumper,2.161,id/S/SM/SMUELLER/Data-Dumper-2.161.tar.gz
Devel-PPPort,3.35,id/W/WO/WOLFSAGE/Devel-PPPort-3.35.tar.gz
Digest,1.17,id/G/GA/GAAS/Digest-1.17.tar.gz
Digest-MD5,2.55,id/G/GA/GAAS/Digest-MD5-2.55.tar.gz
Digest-SHA,5.96,id/M/MS/MSHELOR/Digest-SHA-5.96.tar.gz
Dumpvalue,1.17,id/F/FL/FLORA/Dumpvalue-1.17.tar.gz
Encode,2.88,id/D/DA/DANKOGAI/Encode-2.88.tar.gz
Exporter,5.72,id/T/TO/TODDR/Exporter-5.72.tar.gz
ExtUtils-CBuilder,0.280224,id/A/AM/AMBS/ExtUtils-CBuilder-0.280224.tar.gz
ExtUtils-Constant,0.23,id/N/NW/NWCLARK/ExtUtils-Constant-0.23.tar.gz
ExtUtils-Install,2.04,id/B/BI/BINGOS/ExtUtils-Install-2.04.tar.gz
ExtUtils-MakeMaker,7.24,id/B/BI/BINGOS/ExtUtils-MakeMaker-7.24.tar.gz
ExtUtils-Manifest,1.70,id/E/ET/ETHER/ExtUtils-Manifest-1.70.tar.gz
ExtUtils-ParseXS,3.30,id/S/SM/SMUELLER/ExtUtils-ParseXS-3.30.tar.gz
File-Path,2.12,id/R/RI/RICHE/File-Path-2.12.tar.gz
File-Temp,0.2304,id/D/DA/DAGOLDEN/File-Temp-0.2304.tar.gz
Filter-Simple,0.91,id/S/SM/SMUELLER/Filter-Simple-0.91.tar.gz
Frontier-RPC,0.07b4,id/K/KM/KMACLEOD/Frontier-RPC-0.07b4.tar.gz
GBrowse,2.56,id/L/LD/LDS/GBrowse-2.56.tar.gz
Getopt-Long,2.49.1,id/J/JV/JV/Getopt-Long-2.49.1.tar.gz
Glib,1.324,id/X/XA/XAOC/Glib-1.324.tar.gz
Gnome2,1.046,id/X/XA/XAOC/Gnome2-1.046.tar.gz
Gnome2-Canvas,1.002,id/T/TS/TSCH/Gnome2-Canvas-1.002.tar.gz
Gnome2-VFS,1.082,id/X/XA/XAOC/Gnome2-VFS-1.082.tar.gz
Gnome2-Wnck,0.16,id/T/TS/TSCH/Gnome2-Wnck-0.16.tar.gz
Gtk2-Ex-FormFactory,0.67,id/J/JR/JRED/Gtk2-Ex-FormFactory-0.67.tar.gz
Gtk2-GladeXML,1.007,id/T/TS/TSCH/Gtk2-GladeXML-1.007.tar.gz
Gtk2-Spell,1.04,id/T/TS/TSCH/Gtk2-Spell-1.04.tar.gz
Gtk2-TrayIcon,0.06,id/B/BO/BORUP/Gtk2-TrayIcon-0.06.tar.gz
Gtk2-TrayManager,0.05,id/B/BO/BORUP/Gtk2-TrayManager-0.05.tar.gz
HTTP-Tiny,0.070,id/D/DA/DAGOLDEN/HTTP-Tiny-0.070.tar.gz
IO,1.25,id/G/GB/GBARR/IO-1.25.tar.gz
IO-Compress,2.074,id/P/PM/PMQS/IO-Compress-2.074.tar.gz
IO-Socket-IP,0.39,id/P/PE/PEVANS/IO-Socket-IP-0.39.tar.gz
IO-Zlib,1.10,id/T/TO/TOMHUGHES/IO-Zlib-1.10.tar.gz
IPC-Cmd,0.96,id/B/BI/BINGOS/IPC-Cmd-0.96.tar.gz
Image-ExifTool,10.40,id/E/EX/EXIFTOOL/Image-ExifTool-10.40.tar.gz
JSON-PP,2.27400,id/M/MA/MAKAMAKA/JSON-PP-2.27400.tar.gz
Locale-Maketext,1.28,id/T/TO/TODDR/Locale-Maketext-1.28.tar.gz
Locale-Maketext-Simple,0.21,id/J/JE/JESSE/Locale-Maketext-Simple-0.21.tar.gz
MIME-Base64,3.15,id/G/GA/GAAS/MIME-Base64-3.15.tar.gz
Math-BigInt,1.999811,id/P/PJ/PJACKLAM/Math-BigInt-1.999811.tar.gz
Math-BigInt-FastCalc,0.5006,id/P/PJ/PJACKLAM/Math-BigInt-FastCalc-0.5006.tar.gz
Math-BigRat,0.2612,id/P/PJ/PJACKLAM/Math-BigRat-0.2612.tar.gz
Math-Complex,1.59,id/Z/ZE/ZEFRAM/Math-Complex-1.59.tar.gz
Memoize,1.03,id/M/MJ/MJD/Memoize-1.03.tgz
Module-CoreList,5.20170220,id/B/BI/BINGOS/Module-CoreList-5.20170220.tar.gz
Module-Load,0.32,id/B/BI/BINGOS/Module-Load-0.32.tar.gz
Module-Load-Conditional,0.68,id/B/BI/BINGOS/Module-Load-Conditional-0.68.tar.gz
Module-Loaded,0.08,id/B/BI/BINGOS/Module-Loaded-0.08.tar.gz
Module-Metadata,1.000033,id/E/ET/ETHER/Module-Metadata-1.000033.tar.gz
NTLM,1.09,id/N/NB/NBEBOUT/NTLM-1.09.tar.gz
Net-Ping,2.58,id/R/RU/RURBAN/Net-Ping-2.58.tar.gz
OLE-Storage_Lite,0.19,id/J/JM/JMCNAMARA/OLE-Storage_Lite-0.19.tar.gz
Package-Constants,0.06,id/B/BI/BINGOS/Package-Constants-0.06.tar.gz
Padre,1.00,id/P/PL/PLAVEN/Padre-1.00.tar.gz
Params-Check,0.38,id/B/BI/BINGOS/Params-Check-0.38.tar.gz
PathTools,3.62,id/R/RJ/RJBS/PathTools-3.62.tar.gz
Perl-OSType,1.010,id/D/DA/DAGOLDEN/Perl-OSType-1.010.tar.gz
Pod-Escapes,1.07,id/N/NE/NEILB/Pod-Escapes-1.07.tar.gz
Pod-Parser,1.63,id/M/MA/MAREKR/Pod-Parser-1.63.tar.gz
Pod-Perldoc,3.28,id/M/MA/MALLEN/Pod-Perldoc-3.28.tar.gz
Pod-Simple,3.35,id/K/KH/KHW/Pod-Simple-3.35.tar.gz
Safe,2.35,id/R/RG/RGARCIA/Safe-2.35.tar.gz
Scalar-List-Utils,1.47,id/P/PE/PEVANS/Scalar-List-Utils-1.47.tar.gz
Snapback2,1.001,id/M/MI/MIKEH/Snapback2-1.001.tar.gz
Socket,2.024,id/P/PE/PEVANS/Socket-2.024.tar.gz
Storable,2.51,id/A/AM/AMS/Storable-2.51.tar.gz
Sys-Syslog,0.35,id/S/SA/SAPER/Sys-Syslog-0.35.tar.gz
Term-ANSIColor,4.06,id/R/RR/RRA/Term-ANSIColor-4.06.tar.gz
Term-ReadLine,1.14,id/F/FL/FLORA/Term-ReadLine-1.14.tar.gz
Test,1.26,id/J/JE/JESSE/Test-1.26.tar.gz
Test-Harness,3.38,id/L/LE/LEONT/Test-Harness-3.38.tar.gz
Test-Simple,1.302078,id/E/EX/EXODIST/Test-Simple-1.302078.tar.gz
Text-Balanced,2.03,id/S/SH/SHAY/Text-Balanced-2.03.tar.gz
Text-ParseWords,3.30,id/C/CH/CHORNY/Text-ParseWords-3.30.tar.gz
Text-Tabs+Wrap,2013.0523,id/M/MU/MUIR/modules/Text-Tabs+Wrap-2013.0523.tar.gz
Thread-Queue,3.12,id/J/JD/JDHEDDEN/Thread-Queue-3.12.tar.gz
Thread-Semaphore,2.13,id/J/JD/JDHEDDEN/Thread-Semaphore-2.13.tar.gz
Tie-RefHash,1.39,id/F/FL/FLORA/Tie-RefHash-1.39.tar.gz
Time-HiRes,1.9741,id/J/JH/JHI/Time-HiRes-1.9741.tar.gz
Time-Local,1.25,id/D/DR/DROLSKY/Time-Local-1.25.tar.gz
