"id","name","timestamp"
"1","","2016-06-09 03:13:30"
"71","Administration","2016-06-09 03:13:50"
"46","Administrative area","2016-06-09 03:13:39"
"42","Administrative region","2016-06-09 03:13:39"
"41","Administrative territory","2016-06-09 03:13:39"
"47","Area","2016-06-09 03:13:40"
"44","Autonomous city","2016-06-09 03:13:39"
"50","Autonomous city in North Africa","2016-06-09 03:13:41"
"49","Autonomous community","2016-06-09 03:13:41"
"43","Autonomous district","2016-06-09 03:13:39"
"66","Autonomous municipality","2016-06-09 03:13:47"
"31","Autonomous region","2016-06-09 03:13:36"
"74","Autonomous republic","2016-06-09 03:13:51"
"77","Autonomous sector","2016-06-09 03:13:52"
"25","Autonomous territorial unit","2016-06-09 03:13:35"
"22","Capital","2016-06-09 03:13:34"
"6","Capital city","2016-06-09 03:13:30"
"70","Capital district","2016-06-09 03:13:48"
"34","Capital territory","2016-06-09 03:13:36"
"3","City","2016-06-09 03:13:30"
"60","City corporation","2016-06-09 03:13:44"
"19","City municipality","2016-06-09 03:13:33"
"5","City of county right","2016-06-09 03:13:30"
"67","Commune","2016-06-09 03:13:47"
"55","Council area","2016-06-09 03:13:44"
"28","Country","2016-06-09 03:13:36"
"4","County","2016-06-09 03:13:30"
"32","Department","2016-06-09 03:13:36"
"23","Dependency","2016-06-09 03:13:34"
"16","District","2016-06-09 03:13:32"
"18","District municipality","2016-06-09 03:13:33"
"64","District with special status","2016-06-09 03:13:46"
"72","Division","2016-06-09 03:13:50"
"68","Economic prefecture","2016-06-09 03:13:47"
"63","Entity","2016-06-09 03:13:46"
"38","Federal capital territory","2016-06-09 03:13:37"
"62","Federal dependency","2016-06-09 03:13:45"
"24","Federal district","2016-06-09 03:13:34"
"21","Federal territory","2016-06-09 03:13:34"
"36","Governorate","2016-06-09 03:13:37"
"39","Indigenous region","2016-06-09 03:13:37"
"54","Island council","2016-06-09 03:13:43"
"57","London borough","2016-06-09 03:13:44"
"51","Metropolitan administration","2016-06-09 03:13:42"
"11","Metropolitan city","2016-06-09 03:13:32"
"58","Metropolitan district","2016-06-09 03:13:44"
"15","Municipality","2016-06-09 03:13:32"
"48","Oblast","2016-06-09 03:13:40"
"61","Outlying territory","2016-06-09 03:13:45"
"73","Overseas territorial collectivity","2016-06-09 03:13:51"
"37","Pakistan administered area","2016-06-09 03:13:37"
"76","Parish","2016-06-09 03:13:51"
"14","Prefecture","2016-06-09 03:13:32"
"2","Province","2016-06-09 03:13:30"
"27","Rayon","2016-06-09 03:13:35"
"9","Region","2016-06-09 03:13:31"
"40","Republic","2016-06-09 03:13:39"
"17","Republican city","2016-06-09 03:13:32"
"75","Self-governed part","2016-06-09 03:13:51"
"35","Separated from metropolitan Norway","2016-06-09 03:13:37"
"52","Special administrative city","2016-06-09 03:13:42"
"69","Special administrative region","2016-06-09 03:13:48"
"10","Special city","2016-06-09 03:13:32"
"30","Special island authority","2016-06-09 03:13:36"
"29","Special municipality","2016-06-09 03:13:36"
"13","Special self-governing city","2016-06-09 03:13:32"
"12","Special self-governing province","2016-06-09 03:13:32"
"8","State","2016-06-09 03:13:30"
"26","Territorial unit","2016-06-09 03:13:35"
"20","Territory","2016-06-09 03:13:33"
"65","Town","2016-06-09 03:13:46"
"45","Town council","2016-06-09 03:13:39"
"59","Two-tier county","2016-06-09 03:13:44"
"7","Union territory","2016-06-09 03:13:30"
"56","Unitary authority","2016-06-09 03:13:44"
"33","Urban community","2016-06-09 03:13:36"
"53","Ward","2016-06-09 03:13:43"
