âdhechu	âdhechuni
adlelu	adlelulâ
air	airê
aladhorî	aladhorîni
anu	anuri
arp	arbi
âtilh	âtilhê
atraborî	atraborîni
barga	bargau
bâter	bâterâ
bê	bêri
belu	beluri
bêmp	bêmbi
bop	bobo
boradh	boradhu
chitor	chitro
chizu	chizuâ
chizel	chizelê
dalchu	dalchuri
dhê	dhêri
dhomel	dhomelê
dhuru	dhururi
dikh	dikhê
dinga	dingau
draku	drakuri
duzorî	duzorîni
eli	eliri
elorî	elorîni
fanh	fanhê
fiêtor	fiêtri
gashku	gashkuli
gâtel	gâtelê
gê	geni
ginel	ginelê
gîntor	gîntro
glabor	glabro
habel	habelê
hâmu	hâmuri
hêch	hêchu
hel	helê
hi	hiê
hip	hibu
hoz	hozu
ibor	ibro
ilhachel	ilhachelê
ili	iliu
inh	inhê
irêch	irêchu
irizu	irizuli
itira	itirani
kabrâ	kabrachâ
Kadhinu	Kadhinuri
kâdhu	kâdhuê
kankhu	kankhuli
kapor	kapro
keler	kelerê
kêntorî	kêntorîni
kêshtorî	kêshtorîni
kevê	kevêri
khek	kheku
khich	khichê
kibor	kibru
kinh	kinhê
klâtandu	klâtanduli
knu	knuri
kokh	kokhu
kolel	kolelê
kônu	kônuli
kôrk	kôrkê
kref	krefu
kruf	kruvâ
lanel	lanelê
lashnu	lashnuli
lêbor	lêbrê
lênku	lênkuli
mankel	mankelê
meh	meheu
mêkor               mêrhi
melik	melikê
miabor	miaborâ
minhel	minhelê
mirebel	mirebelê
mirtel	mirtelê
mishk	mishku
moru	moruli
mudrel	mudrelê
mushtol	mushtolê
nhêru	nhêruli
nhêru	nhêrulâ
nhêsht	nhêshtê
no	nou
nôch	nôchu
nod	nodu
nor	norê
noranh	noranhê
ôbor	ôbrâ
ôdu	ôduli
ôdunorî	ôdunorîni
olik	oliku
onâm	onâmu
ôntor	ôntro
oror	ororê
osôku	osôkuli
palazên	palazêni
pâtor	pâtrê
piabor	piabri
pidi	pidiri
pomair	pomairê
porel	porelê
porunt	poruntê
pûbor	pûbro
radu	radumi
redêlu	redêlulâ
rhaz	rhazê
rhu	rhoni
ridibel	ridibelê
rikhel	rikhelê
rimid	rimidê
rômbis	rômbisu
sâ	sachê
sad	sadu
sait	saitê
senh	senhê
sezu	sezuli
shkoh	shkou
shkor	shkoru
shkref	shkrevê
shpakh	shpakhê
sibê	sibêri
sîm	sîmê
sitel	sitelê
tenu	tenuli
tete	tetedhi
thich	thichu
tin	tinê
tipêlorî	tipêlorîni
totair	totairê
ûka	ûkari
zikh	zikhê
