symbol	name	safename
BTC	Bitcoin	bitcoin
ETH	Ethereum	ethereum
XRP	Ripple	ripple
BCH	Bitcoin Cash	bitcoin-cash
ADA	Cardano	cardano
XEM	NEM	nem
LTC	Litecoin	litecoin
XLM	Stellar	stellar
MIOTA	IOTA	iota
TRX	TRON	tron
DASH	Dash	dash
NEO	NEO	neo
XMR	Monero	monero
EOS	EOS	eos
QTUM	Qtum	qtum
ICX	ICON	icon
BTG	Bitcoin Gold	bitcoin-gold
LSK	Lisk	lisk
XRB	RaiBlocks	raiblocks
ETC	Ethereum Classic	ethereum-classic
XVG	Verge	verge
OMG	OmiseGO	omisego
SC	Siacoin	siacoin
BCN	Bytecoin	bytecoin-bcn
BCC	BitConnect	bitconnect
STRAT	Stratis	stratis
PPT	Populous	populous
ZEC	Zcash	zcash
BTS	BitShares	bitshares
DCN	Dentacoin	dentacoin
BNB	Binance Coin	binance-coin
DOGE	Dogecoin	dogecoin
SNT	Status	status
ARDR	Ardor	ardor
KCS	KuCoin Shares	kucoin-shares
USDT	Tether	tether
STEEM	Steem	steem
WAVES	Waves	waves
VEN	VeChain	vechain
DGB	DigiByte	digibyte
REP	Augur	augur
KMD	Komodo	komodo
DRGN	Dragonchain	dragonchain
BAT	Basic Attenti...	basic-attention-token
GNT	Golem	golem-network-tokens
VERI	Veritaseum	veritaseum
ZRX	0x	0x
HSR	Hshare	hshare
KIN	Kin	kin
ETN	Electroneum	electroneum
SALT	SALT	salt
DENT	Dent	dent
ARK	Ark	ark
ETHOS	Ethos	ethos
FUN	FunFair	funfair
DCR	Decred	decred
RDD	ReddCoin	reddcoin
NXS	Nexus	nexus
PIVX	PIVX	pivx
KNC	Kyber Network	kyber-network
XP	Experience Po...	experience-points
QASH	QASH	qash
FCT	Factom	factom
REQ	Request Network	request-network
AE	Aeternity	aeternity
POWR	Power Ledger	power-ledger
NEBL	Neblio	neblio
WAX	WAX	wax
SUB	Substratum	substratum
ELF	aelf	aelf
BTM	Bytom	bytom
AION	Aion	aion
RHOC	RChain	rchain
TNB	Time New Bank	time-new-bank
ENG	Enigma	enigma-project
XDN	DigitalNote	digitalnote
NXT	Nxt	nxt
BTCD	BitcoinDark	bitcoindark
QSP	Quantstamp	quantstamp
MONA	MonaCoin	monacoin
MAID	MaidSafeCoin	maidsafecoin
GBYTE	Byteball Bytes	byteball
LINK	ChainLink	chainlink
GAS	Gas	gas
SYS	Syscoin	syscoin
COB	Cobinhood	cobinhood
SAN	Santiment Net...	santiment
RPX	Red Pulse	red-pulse
DGD	DigixDAO	digixdao
ICN	Iconomi	iconomi
PAY	TenX	tenx
XZC	ZCoin	zcoin
GNO	Gnosis	gnosis-gno
DBC	DeepBrain Chain	deepbrain-chain
VEE	BLOCKv	blockv
POE	Po.et	poet
PAC	PACcoin	paccoin
LEND	ETHLend	ethlend
WTC	Walton	walton
CVC	Civic	civic
RDN	Raiden Networ...	raiden-network-token
ZCL	ZClassic	zclassic
MED	Medibloc	medibloc
BNT	Bancor	bancor
STORM	Storm	storm
GAME	GameCredits	gamecredits
ACT	Achain	achain
GXS	GXShares	gxshares
ENJ	Enjin Coin	enjin-coin
PLR	Pillar	pillar
VTC	Vertcoin	vertcoin
STORJ	Storj	storj
UKG	Unikoin Gold	unikoin-gold
SKY	Skycoin	skycoin
SNGLS	SingularDTV	singulardtv
SMART	SmartCash	smartcash
XBY	XTRABYTES	xtrabytes
MANA	Decentraland	decentraland
UBQ	Ubiq	ubiq
NAV	NAV Coin	nav-coin
MCO	Monaco	monaco
CND	Cindicator	cindicator
CNX	Cryptonex	cryptonex
BAY	BitBay	bitbay
BLOCK	Blocknet	blocknet
XPA	XPlay	xplay
R	Revain	revain
CMT	CyberMiles	cybermiles
CTR	Centra	centra
ATM	ATMChain	attention-token-of-media
SNM	SONM	sonm
ANT	Aragon	aragon
EDG	Edgeless	edgeless
DTR	Dynamic Tradi...	dynamic-trading-rights
ITC	IoT Chain	iot-chain
MOD	Modum	modum
SRN	SIRIN LABS Token	sirin-labs-token
RCN	Ripio Credit ...	ripio-credit-network
DATA	Streamr DATAcoin	streamr-datacoin
PPP	PayPie	paypie
AMB	Ambrosus	amber
EMC	Emercoin	emercoin
AST	AirSwap	airswap
DNT	district0x	district0x
FLASH	Flash	flash
BCO	BridgeCoin	bridgecoin
ADX	AdEx	adx-net
RLC	iExec RLC	rlc
MGO	MobileGo	mobilego
PART	Particl	particl
TRIG	Triggers	triggers
EMC2	Einsteinium	einsteinium
ST	Simple Token	simple-token
XSH	SHIELD	shield-xsh
WABI	WaBi	wabi
1ST	FirstBlood	firstblood
HST	Decision Token	decision-token
BRD	Bread	bread
XCP	Counterparty	counterparty
WINGS	Wings	wings
BURST	Burst	burst
NULS	Nuls	nuls
TNT	Tierion	tierion
ETP	Metaverse ETP	metaverse
PPC	Peercoin	peercoin
MOON	Mooncoin	mooncoin
EDO	Eidoo	eidoo
FUEL	Etherparty	etherparty
ZEN	ZenCash	zencash
MLN	Melon	melon
VIA	Viacoin	viacoin
THC	HempCoin	hempcoin
AGRS	Agoras Tokens	agoras-tokens
UTK	UTRUST	utrust
QRL	Quantum Resis...	quantum-resistant-ledger
LBC	LBRY Credits	library-credit
DCT	DECENT	decent
SPANK	SpankChain	spankchain
RISE	Rise	rise
MTL	Metal	metal
PURA	Pura	pura
XAS	Asch	asch
CLOAK	CloakCoin	cloakcoin
GVT	Genesis Vision	genesis-vision
AEON	Aeon	aeon
VOX	Voxels	voxels
SHIFT	Shift	shift
CDT	CoinDash	coindash
PRL	Oyster Pearl	oyster-pearl
LA	LAToken	latoken
WGR	Wagerr	wagerr
COSS	COSS	coss
GRS	Groestlcoin	groestlcoin
ADT	adToken	adtoken
GTO	Gifto	gifto
PRE	Presearch	presearch
JINN	Jinn	jinn
NLG	Gulden	gulden
FTC	Feathercoin	feathercoin
SNOV	Snovio	snovio
YOYOW	YOYOW	yoyow
GRID	Grid+	grid
BNTY	Bounty0x	bounty0x
CFI	Cofound.it	cofound-it
GUP	Matchpool	guppy
DPY	Delphy	delphy
INK	Ink	ink
MTH	Monetha	monetha
TRST	WeTrust	trust
LUN	Lunyr	lunyr
SLS	SaluS	salus
VIB	Viberate	viberate
EVX	Everex	everex
LRC	Loopring	loopring
XSPEC	Spectrecoin	spectrecoin
UNITY	SuperNET	supernet-unity
IXT	iXledger	ixledger
IOC	I/O Coin	iocoin
AIR	AirToken	airtoken
DLT	Agrello	agrello-delta
MER	Mercury	mercury
NMC	Namecoin	namecoin
LIFE	LIFE	life
DAT	Datum	datum
TAAS	TaaS	taas
SLR	SolarCoin	solarcoin
AMP	Synereo	synereo
WRC	Worldcore	worldcore
BITCNY	bitCNY	bitcny
HMQ	Humaniq	humaniq
POT	PotCoin	potcoin
NLC2	NoLimitCoin	nolimitcoin
PEPECASH	Pepe Cash	pepe-cash
NYC	NewYorkCoin	newyorkcoin
VIBE	VIBE	vibe
PASC	Pascal Coin	pascal-coin
CRW	Crown	crown
PRO	Propy	propy
TIX	Blocktix	blocktix
TKN	TokenCard	tokencard
MNX	MinexCoin	minexcoin
DIME	Dimecoin	dimecoin
NET	Nimiq	nimiq
ELIX	Elixir	elixir
PAYX	Paypex	paypex
MINT	Mintcoin	mintcoin
BLK	BlackCoin	blackcoin
COLX	ColossusCoinXT	colossuscoinxt
DMD	Diamond	diamond
SNC	SunContract	suncontract
SIB	SIBCoin	sibcoin
ZSC	Zeusshield	zeusshield
RVT	Rivetz	rivetz
ECN	E-coin	e-coin
ECC	ECC	eccoin
XEL	Elastic	elastic
MDA	Moeda Loyalty...	moeda-loyalty-points
DNA	EncrypGen	encrypgen
BCPT	BlockMason Cr...	blockmason
NEU	Neumark	neumark
MYST	Mysterium	mysterium
PPY	Peerplays	peerplays-ppy
STX	Stox	stox
GRC	GridCoin	gridcoin
BITB	BitBean	bitbean
LOC	LockChain	lockchain
ION	ION	ion
MUSIC	Musicoin	musicoin
TGT	Target Coin	target-coin
CAG	Change	change
NMR	Numeraire	numeraire
XMY	Myriad	myriad
LMC	LoMoCoin	lomocoin
FAIR	FairCoin	faircoin
PBL	Publica	publica
EXP	Expanse	expanse
NEOS	NeosCoin	neoscoin
XWC	WhiteCoin	whitecoin
DRT	DomRaider	domraider
PHR	Phore	phore
MSP	Mothership	mothership
HEAT	HEAT	heat-ledger
OMNI	Omni	omni
DIVX	Divi	divi
ARN	Aeron	aeron
SPRTS	Sprouts	sprouts
FLIXX	Flixxo	flixxo
MUE	MonetaryUnit	monetaryunit
BTX	Bitcore	bitcore
GOLOS	Golos	golos
ONION	DeepOnion	deeponion
LKK	Lykke	lykke
NSR	NuShares	nushares
NIO	Autonio	autonio
HVN	Hive	hive
TIPS	FedoraCoin	fedoracoin
ATB	ATBCoin	atbcoin
BOT	Bodhi	bodhi
ESP	Espers	espers
XRL	Rialto	rialto
PKT	Playkey	playkey
OAX	OAX	oax
BLUE	BLUE	ethereum-blue
ART	Maecenas	maecenas
RADS	Radium	radium
EAC	EarthCoin	earthcoin
LINDA	Linda	linda
KICK	KickCoin	kickico
FLDC	FoldingCoin	foldingcoin
POLL	ClearPoll	clearpoll
NXC	Nexium	nexium
OK	OKCash	okcash
VOISE	Voise	voisecom
CREDO	Credo	credo
DOVU	Dovu	dovu
ECOB	Ecobit	ecobit
SBD	Steem Dollars	steem-dollars
ZOI	Zoin	zoin
VRC	VeriCoin	vericoin
RBY	Rubycoin	rubycoin
GCR	Global Curren...	global-currency-reserve
GEO	GeoCoin	geocoin
ALIS	ALIS	alis
DBET	DecentBet	decent-bet
XNN	Xenon	xenon
SWT	Swarm City	swarm-city
PST	Primas	primas
COVAL	Circuits of V...	circuits-of-value
DTB	Databits	databits
PTOY	Patientory	patientory
HDG	Hedge	hedge
CRED	Verify	verify
BIS	Bismuth	bismuth
PRG	Paragon	paragon
GAM	Gambit	gambit
CLAM	Clams	clams
IFT	InvestFeed	investfeed
INCNT	Incent	incent
POSW	PoSW Coin	posw-coin
XST	Stealthcoin	stealthcoin
OTN	Open Trading ...	open-trading-network
PINK	PinkCoin	pinkcoin
QAU	Quantum	quantum
ORME	Ormeus Coin	ormeus-coin
AVT	Aventus	aventus
WCT	Waves Communi...	waves-community-token
BMC	Blackmoon Crypto	blackmoon-crypto
GMT	Mercury Protocol	mercury-protocol
SPF	SportyFi	sportyfi
FLO	FlorinCoin	florincoin
DBIX	DubaiCoin	dubaicoin-dbix
MYB	MyBit Token	mybit-token
CARBON	Carboncoin	carboncoin
BQ	bitqy	bitqy
TFL	TrueFlip	trueflip
PLBT	Polybius	polybius
IOP	Internet of P...	internet-of-people
ENRG	Energycoin	energycoin
OCT	OracleChain	oraclechain
TIME	Chronobank	chronobank
BCAP	BCAP	bcap
SOAR	Soarcoin	soarcoin
HUSH	Hush	hush
ODN	Obsidian	obsidian
BBR	Boolberry	boolberry
XLR	Solaris	solaris
BSD	BitSend	bitsend
SEQ	Sequence	sequence
OPT	Opus	opus
BET	DAO.Casino	dao-casino
BITUSD	bitUSD	bitusd
PND	Pandacoin	pandacoin-pnd
SPR	SpreadCoin	spreadcoin
NOBL	NobleCoin	noblecoin
CVCOIN	CVCoin	cvcoin
XPM	Primecoin	primecoin
ZEIT	Zeitcoin	zeitcoin
QWARK	Qwark	qwark
