"concept_id"	"concept_name"	"domain_id"	"vocabulary_id"	"concept_class_id"	"standard_concept"	"concept_code"	"valid_start_date"	"valid_end_date"	"invalid_reason"
4138352	Seen by community-based occupational therapy service	Observation	SNOMED	Clinical Finding	S	"305853006"	2002-01-31	2099-12-31	
4139708	Under care of occupational therapist	Observation	SNOMED	Clinical Finding	S	"305605005"	2002-01-31	2099-12-31	
44810729	Seen by occupational therapy technical instructor higher level	Observation	SNOMED	Clinical Finding	S	"870161000000109"	2013-04-01	2099-12-31	
35609831	HIV-PrEP (Human immunodeficiency virus pre-exposure prophylaxis) eligibility criterion 1	Observation	SNOMED	Clinical Finding	S	"1086551000000106"	2017-10-01	2099-12-31	
35609832	HIV-PrEP (Human immunodeficiency virus pre-exposure prophylaxis) eligibility criterion 2	Observation	SNOMED	Clinical Finding	S	"1086561000000109"	2017-10-01	2099-12-31	
35609833	HIV-PrEP (Human immunodeficiency virus pre-exposure prophylaxis) eligibility criterion 3	Observation	SNOMED	Clinical Finding	S	"1086571000000102"	2017-10-01	2099-12-31	
44810728	Seen by occupational therapy technician	Observation	SNOMED	Clinical Finding	S	"870101000000105"	2013-04-01	2099-12-31	
4019959	Occupational environmental problem	Observation	SNOMED	Clinical Finding	S	"105482003"	2002-01-31	2099-12-31	
46284072	Seen by occupational health advisor	Observation	SNOMED	Clinical Finding	S	"939031000000103"	2015-04-01	2099-12-31	
4268843	Tobacco use and exposure - finding	Observation	SNOMED	Clinical Finding	S	"365980008"	2002-01-31	2099-12-31	
4139709	Under care of hospital-based occupational therapist	Observation	SNOMED	Clinical Finding	S	"305608007"	2002-01-31	2099-12-31	
46273081	No known exposure to tobacco smoke	Observation	SNOMED	Clinical Finding	S	"711563001"	2015-07-31	2099-12-31	
4063244	Reason for obesity therapy - occupational	Observation	SNOMED	Clinical Finding	S	"170807005"	2002-01-31	2099-12-31	
44808837	Did not attend post exposure diphtheria, tetanus, acellular pertussis and inactivated polio vaccination	Observation	SNOMED	Clinical Finding	S	"842821000000109"	2012-10-01	2099-12-31	
4139897	Seen by hospital-based occupational therapy service	Observation	SNOMED	Clinical Finding	S	"305855004"	2002-01-31	2099-12-31	
4085779	Seen by occupational therapist	Observation	SNOMED	Clinical Finding	S	"185287009"	2002-01-31	2099-12-31	
4059503	Domiciliary occupational therapy	Observation	SNOMED	Clinical Finding	S	"160780003"	2002-01-31	2099-12-31	
4125686	Seen by occupational health physician	Observation	SNOMED	Clinical Finding	S	"305692002"	2002-01-31	2099-12-31	
4140791	Seen by hospital-based occupational therapist	Observation	SNOMED	Clinical Finding	S	"305776000"	2002-01-31	2099-12-31	
4140925	Seen in social services occupational therapy service	Observation	SNOMED	Clinical Finding	S	"305854000"	2002-01-31	2099-12-31	
4140933	Seen by occupational health service	Observation	SNOMED	Clinical Finding	S	"305877000"	2002-01-31	2099-12-31	
4136471	Under care of occupational health physician	Observation	SNOMED	Clinical Finding	S	"305523007"	2002-01-31	2099-12-31	
4136492	Under care of community-based occupational therapist	Observation	SNOMED	Clinical Finding	S	"305606006"	2002-01-31	2099-12-31	
4136493	Under care of social services department occupational therapist	Observation	SNOMED	Clinical Finding	S	"305607002"	2002-01-31	2099-12-31	
4138216	Seen by community-based occupational therapist	Observation	SNOMED	Clinical Finding	S	"305774002"	2002-01-31	2099-12-31	
4138217	Seen by social services department occupational therapist	Observation	SNOMED	Clinical Finding	S	"305775001"	2002-01-31	2099-12-31	
4138351	Seen by occupational therapy service	Observation	SNOMED	Clinical Finding	S	"305852001"	2002-01-31	2099-12-31	
46285972	Education on provision of occupational skills training to service user	Observation	SNOMED	Context-dependent	S	"979391000000102"	2015-10-01	2099-12-31	
4263813	Chemotherapy AND/OR radiation therapy prior to lymphadenectomy	Observation	SNOMED	Context-dependent	S	"396780003"	2003-07-31	2099-12-31	
4287023	No chemotherapy AND/OR radiation therapy prior to lymphadenectomy	Observation	SNOMED	Context-dependent	S	"396781004"	2003-07-31	2099-12-31	
