"manufacturer","status","tax","color","name","style","type","class","size","price","currency","quantity"
"PerlWear","Available","GST","White","-","-","Tea towel","With logo","-","4.00","AUD",100
"PerlWear","Available","GST","-","6 pack","-","Greeting cards","-","Large","18.00","AUD",100
"PerlWear","Available","GST","-","A Delicate Balance","-","DVD","-","-","10.00","AUD",100
"PerlWear","Available","GST","-","-","-","Bag","With logo","-","4.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Beanie hat","-","-","13.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Bucket hat","-","-","13.00","AUD",100
"PerlWear","Available","GST","Black","-","Full zip","Hoodie","Child","Size 10","40.00","AUD",100
"PerlWear","Available","GST","Black","-","Full zip","Hoodie","Child","Size 14","40.00","AUD",100
"PerlWear","Available","GST","Black","-","Full zip","Hoodie","Female","Size 8","45.00","AUD",100
"PerlWear","Available","GST","Black","-","Full zip","Hoodie","Female","Size 12","45.00","AUD",100
"PerlWear","Available","GST","Black","-","Full zip","Hoodie","Female","Size 16","45.00","AUD",100
"PerlWear","Available","GST","Black","-","Full zip","Hoodie","Male","Medium","45.00","AUD",100
"PerlWear","Available","GST","Black","-","Full zip","Hoodie","Male","Small","45.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Hoodie","Adult","Extra extra large","45.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Hoodie","Adult","Extra large","45.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Hoodie","Adult","Extra small","45.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Hoodie","Adult","Large","45.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Hoodie","Adult","Medium","45.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Hoodie","Adult","Small","45.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Hoodie","Child","Size 10","40.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Hoodie","Child","Size 12","40.00","AUD",100
"PerlWear","Available","GST","Black","Kindness","-","Wristband","-","-","2.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Polo shirt","-","Extra large","25.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Polo shirt","-","Extra small","25.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Polo shirt","-","Medium","25.00","AUD",100
"PerlWear","Available","GST","Black","-","-","Polo shirt","-","Small","25.00","AUD",100
"PerlWear","Available","GST","Black","-","-","T-shirt","-","Extra large","20.00","AUD",100
"PerlWear","Available","GST","Black","-","-","T-shirt","-","Extra small","20.00","AUD",100
"PerlWear","Available","GST","Black","-","-","T-shirt","-","Large","20.00","AUD",100
"PerlWear","Available","GST","Black","-","-","T-shirt","-","Medium","20.00","AUD",100
"PerlWear","Available","GST","Black","-","-","T-shirt","-","Small","20.00","AUD",100
"PerlWear","Available","GST","-","Burpy Pig","-","Poster","-","-","5.00","AUD",100
"PerlWear","Available","GST","-","Edgar Alan Pig","-","Greeting card","-","-","3.50","AUD",100
"PerlWear","Available","GST","-","Edgar's Mission","-","Cap","-","-","13.00","AUD",100
"PerlWear","Available","GST","-","Ethics of What We Eat","-","Book","-","-","25.00","AUD",100
"PerlWear","Available","GST","-","Faith Pig","-","Greeting card","-","-","3.50","AUD",100
"PerlWear","Available","GST","-","Burpy Pig","-","Poster","Laminated","-","6.00","AUD",100
"PerlWear","Available","GST","-","Mighty Mouse","-","Poster","Laminated","-","6.00","AUD",100
"PerlWear","Available","GST","-","Shirley Calf","-","Poster","Laminated","-","6.00","AUD",100
"PerlWear","Available","GST","-","Mighty Mouse","-","Poster","-","-","5.00","AUD",100
"PerlWear","Available","GST","-","I am a hero for the animals","-","Notebook","-","-","10.00","AUD",100
"PerlWear","Available","GST","Pink","-","-","Beanie hat","-","-","13.00","AUD",100
"PerlWear","Available","GST","Pink","-","-","Bucket hat","-","-","13.00","AUD",100
"PerlWear","Available","GST","Pink","Kindness","-","Wristband","-","-","2.00","AUD",100
"PerlWear","Available","GST","Pink","-","-","Polo shirt","Adult","Extra large","30.00","AUD",100
"PerlWear","Available","GST","Pink","-","-","Polo shirt","Adult","Large","30.00","AUD",100
"PerlWear","Available","GST","Pink","-","-","Polo shirt","Adult","Medium","30.00","AUD",100
"PerlWear","Available","GST","Pink","-","-","Polo shirt","Adult","Small","30.00","AUD",100
"PerlWear","Available","GST","Pink","-","-","Polo shirt","Child","Size 8","30.00","AUD",100
"PerlWear","Available","GST","Pink","-","-","Polo shirt","Child","Size 12","30.00","AUD",100
"PerlWear","Available","GST","Pink","-","-","Polo shirt","Child","Size 16","30.00","AUD",100
"PerlWear","Available","GST","-","Recipe","-","Booklet","-","-","5.00","AUD",100
"PerlWear","Available","GST","-","Remus Goat","-","Greeting card","-","-","3.50","AUD",100
"PerlWear","Available","GST","-","Running of the Lambs","-","Greeting card","-","-","3.50","AUD",100
"PerlWear","Available","GST","-","Shirley and Pepi","-","Greeting card","-","-","3.50","AUD",100
"PerlWear","Available","GST","-","Shirley Calf","-","Poster","-","-","5.00","AUD",100
"PerlWear","Available","GST","-","Striking at the Roots","-","Book","-","-","25.00","AUD",100
"PerlWear","Available","GST","-","Thanking the Monkey","-","Book","-","-","35.00","AUD",100
"PerlWear","Available","GST","-","The Pig Who Sang to the Moon","-","Book","-","-","25.00","AUD",100
"PerlWear","Available","GST","-","Wee-man","-","Greeting card","-","-","3.50","AUD",100
