"release","date","author","status","maturity","version","first","distribution","abstract"
"App-CekBpom-0.015","2022-01-01T00:05:36","PERLANCAR","cpan","released","0.015","","App-CekBpom","Check BPOM products/manufacturers (""sarana"") via the command-line (CLI interface for cekbpom.pom.go.id)"
"Pod-Weaver-Plugin-Bencher-Scenario-0.252","2022-01-01T00:05:47","PERLANCAR","latest","released","0.252","","Pod-Weaver-Plugin-Bencher-Scenario","Plugin to use when building Bencher::Scenario::* distribution"
"CryptX-0.075_001","2022-01-01T00:36:25","MIK","backpan","developer","0.075_001","","CryptX","Cryptographic toolkit"
"Mojo-IOLoop-Signal-0.003","2022-01-01T01:38:27","SKAJI","latest","released","0.003","","Mojo-IOLoop-Signal","Non-blocking signal handler"
"MarpaX-ESLIF-6.0.9-TRIAL","2022-01-01T08:41:06","JDDPAUSE","backpan","developer","6.0.9","","MarpaX-ESLIF","ESLIF is Extended ScanLess InterFace"
"App-geoip-0.16","2022-01-01T09:54:33","HMBRAND","latest","released","0.16","","App-geoip","Show geographical data based on hostname or IP address(es)"
"App-tkiv-0.132","2022-01-01T09:58:38","HMBRAND","latest","released","0.132","","App-tkiv","An image viewer in Perl::Tk based on IrfanView"
"App-ccdiff-0.31","2022-01-01T10:12:48","HMBRAND","latest","released","0.31","","App-ccdiff","Colored Character Diff"
"App-SpeedTest-0.28","2022-01-01T10:24:27","HMBRAND","latest","released","0.28","","App-SpeedTest","Command line interface to speedtest.net"
"DBD-CSV-0.59","2022-01-01T10:55:01","HMBRAND","latest","released","0.59","","DBD-CSV","DBI driver for CSV files"
"Data-Peek-0.51","2022-01-01T11:05:25","HMBRAND","latest","released","0.51","","Data-Peek","Modified and extended debugging facilities"
"PerlIO-via-xz-0.04","2022-01-01T11:13:17","HMBRAND","latest","released","0.04","","PerlIO-via-xz","PerlIO layer for XZ (de)compression"
"Release-Checklist-0.15","2022-01-01T11:35:01","HMBRAND","latest","released","0.15","","Release-Checklist","A QA checklist for CPAN releases"
"Text-OutputFilter-0.24","2022-01-01T11:47:55","HMBRAND","latest","released","0.24","","Text-OutputFilter","Filter and modify output"
"Tk-Clock-0.43","2022-01-01T12:00:49","HMBRAND","latest","released","0.43","","Tk-Clock","Clock widget with analog and digital display"
"DBD-Unify-0.92","2022-01-01T12:16:15","HMBRAND","latest","released","0.92","","DBD-Unify","DBI driver for Unify database systems"
"System-Info-0.062","2022-01-01T12:24:13","HMBRAND","latest","released","0.062","","System-Info","Basic information about the system"
"CryptX-0.075_002","2022-01-01T13:19:24","MIK","backpan","developer","0.075_002","","CryptX","Cryptographic toolkit"
"Module-cpmfile-0.004","2022-01-01T15:45:53","SKAJI","cpan","released","0.004","","Module-cpmfile","Parse cpmfile"
"App-SpamcupNG-0.008","2022-01-01T16:16:34","ARFREITAS","cpan","released","0.008","","App-SpamcupNG","module to export functions for spamcup program"
"Riji-v0.9.11","2022-01-01T18:03:25","SONGMU","cpan","released","v0.9.11","","Riji","Simple, git based blog tool"
"Riji-v0.9.12","2022-01-01T18:10:36","SONGMU","cpan","released","v0.9.12","","Riji","Simple, git based blog tool"
"Riji-v0.9.13","2022-01-01T19:00:38","SONGMU","cpan","released","v0.9.13","","Riji","Simple, git based blog tool"
"Riji-v0.9.14","2022-01-01T19:09:08","SONGMU","cpan","released","v0.9.14","","Riji","Simple, git based blog tool"
"CPANPLUS-Dist-Debora-0.007","2022-01-01T19:35:11","VOEGELAS","backpan","released","0.007","","CPANPLUS-Dist-Debora","Create Debian or RPM packages from Perl modules"
"Git-Background-0.002","2022-01-01T19:44:41","SKIRMESS","cpan","released","0.002","","Git-Background","use Git commands with Future"
"CryptX-0.075_003","2022-01-01T19:48:49","MIK","backpan","developer","0.075_003","","CryptX","Cryptographic toolkit"
"WebService-PayPal-PaymentsAdvanced-0.000028","2022-01-01T22:16:33","MAXMIND","latest","released","0.000028","","WebService-PayPal-PaymentsAdvanced","A simple wrapper around the PayPal Payments Advanced web service"
"File-XDG-1.00_01","2022-01-01T22:18:00","PLICEASE","cpan","developer","1.00_01","","File-XDG","Basic implementation of the XDG base directory specification"
"File-TypeCategories-v0.8.1","2022-01-01T22:45:34","IVANWILLS","cpan","released","v0.8.1","1","File-TypeCategories","Determine if files match a specific type"
"Git-Background-0.003","2022-01-01T22:59:43","SKIRMESS","cpan","released","0.003","","Git-Background","use Git commands with Future"
"App-DesktopOpenUtils-0.001","2022-01-02T00:05:39","PERLANCAR","cpan","released","0.001","1","App-DesktopOpenUtils","Utilities related to Desktop::Open"
"App-DesktopOpenUtils-0.002","2022-01-02T00:05:50","PERLANCAR","latest","released","0.002","","App-DesktopOpenUtils","Utilities related to Desktop::Open"
"Venus-0.01","2022-01-02T02:23:40","AWNCORP","backpan","released","0.01","1","Venus","OO Library for Perl 5"
"IP-Geolocation-MMDB-0.006","2022-01-02T03:27:14","VOEGELAS","backpan","released","0.006","","IP-Geolocation-MMDB","Read MaxMind DB files"
"MarpaX-ESLIF-6.0.10","2022-01-02T06:02:38","JDDPAUSE","backpan","released","6.0.10","","MarpaX-ESLIF","ESLIF is Extended ScanLess InterFace"
"Riji-v0.9.15","2022-01-02T06:26:38","SONGMU","cpan","released","v0.9.15","","Riji","Simple, git based blog tool"
"Riji-1.0.0","2022-01-02T06:42:42","SONGMU","cpan","released","1.0.0","","Riji","Simple, git based blog tool"
"Riji-v1.0.0","2022-01-02T06:46:11","SONGMU","latest","released","v1.0.0","","Riji","Simple, git based blog tool"
"PDL-Opt-NonLinear-0.06","2022-01-02T09:15:56","ETJ","backpan","released","0.06","","PDL-Opt-NonLinear","Non linear optimization routines for PDL"
"Util-H2O-More-0.0.4","2022-01-02T10:38:12","OODLER","latest","released","0.0.4","","Util-H2O-More","like if bless created accessors for you. Intended for hash reference-based Perl OOP only. This module uses Util::H2O::h2o as the basis for actual object creation; but there's no reason other accessor makers couldn't have been used or can be used. I just really like h2o. :-)"
"CallBackery-0.41.0","2022-01-02T16:22:40","OETIKER","cpan","released","v0.41.0","","CallBackery","CallBackery is a Mojolicious+Qoodoo Framework for building Web Applications"
"CGI-Simple-1.26","2022-01-02T18:00:56","MANWAR","cpan","released","1.26","","CGI-Simple","A Simple totally OO CGI interface that is CGI.pm compliant"
"Health-SHC-0.005","2022-01-02T18:17:58","TIMLEGGE","latest","released","0.005","","Health-SHC","Extract and verify Smart Health Card information"
"PDL-Opt-NonLinear-0.07","2022-01-02T22:32:38","ETJ","latest","released","0.07","","PDL-Opt-NonLinear","Non linear optimization routines for PDL"
"API-GitForge-0.007","2022-01-02T23:00:42","SPWHITTON","latest","released","0.007","","API-GitForge","generic interface to APIs of sites like GitHub, GitLab etc."
"Data-Frame-0.006001","2022-01-02T23:32:54","ZMUGHAL","cpan","released","0.006001","","Data-Frame","data frame implementation"
"SPVM-0.9104","2022-01-02T23:54:28","KIMOTO","cpan","released","0.9104","","SPVM","Static Perl Virtual Machine. Fast Calculation, Fast Array Operation, and Easy C/C++ Binding."
"Firefox-Marionette-1.17","2022-01-03T00:02:36","DDICK","backpan","released","1.17","","Firefox-Marionette","Automate the Firefox browser with the Marionette protocol"
"App-CekBpom-0.016","2022-01-03T00:05:18","PERLANCAR","cpan","released","0.016","","App-CekBpom","Check BPOM products/manufacturers (""sarana"") via the command-line (CLI interface for cekbpom.pom.go.id)"
"Bencher-Scenarios-ShellGuess-0.003","2022-01-03T00:05:30","PERLANCAR","latest","released","0.003","","Bencher-Scenarios-ShellGuess","Scenarios to benchmark Shell::Guess"
"Git-Hooks-3.2.1","2022-01-03T00:09:42","GNUSTAVO","latest","released","3.2.1","","Git-Hooks","Framework for implementing Git (and Gerrit) hooks"
"Module-cpmfile-0.005","2022-01-03T04:07:40","SKAJI","latest","released","0.005","","Module-cpmfile","Parse cpmfile"
"idi-0.0200","2022-01-03T06:55:44","GENE","backpan","released","0.0200","","idi","Easy, command-line MIDI"
"idi-0.0201","2022-01-03T07:23:46","GENE","backpan","released","0.0201","","idi","Easy, command-line MIDI"
"idi-0.0202","2022-01-03T07:41:44","GENE","backpan","released","0.0202","","idi","Easy, command-line MIDI"
"UI-Various-0.10","2022-01-03T08:38:45","DORNER","backpan","released","0.10","","UI-Various","graphical/non-graphical user interface without external programs"
"CallBackery-0.41.1","2022-01-03T13:55:53","OETIKER","cpan","released","v0.41.1","","CallBackery","CallBackery is a Mojolicious+Qoodoo Framework for building Web Applications"
"Bio-RNA-Treekin-0.02","2022-01-03T15:51:49","FELIXK","cpan","released","0.02","","Bio-RNA-Treekin","Classes for working with Treekin output."
"Net-Upwork-API-2.1.4","2022-01-03T16:12:29","UPWORK","latest","released","v2.1.4","","Net-Upwork-API","Perl bindings for Upwork API (OAuth2)"
"Mnet-5.23-TRIAL03","2022-01-03T16:43:26","MMENZA","cpan","developer","5.23-TRIAL03","","Mnet","Testable network automation and reporting"
"DBIx-Class-DeploymentHandler-CLI-0.3.0","2022-01-03T16:49:58","HORNBURG","latest","released","v0.3.0","","DBIx-Class-DeploymentHandler-CLI","Command line interface for deployment handler"
"MooX-Role-CryptedPassword-0.01_03","2022-01-03T18:50:07","ABELTJE","cpan","developer","0.01_03","","MooX-Role-CryptedPassword","Password attribute from a encrypted file."
"Data-Frame-0.006002","2022-01-03T19:34:29","ZMUGHAL","latest","released","0.006002","","Data-Frame","data frame implementation"
"Term-Table-0.016","2022-01-03T20:59:00","EXODIST","latest","released","0.016","","Term-Table","Format a header and rows into a table"
"PomBase-Chobo-0.036","2022-01-03T21:16:05","KIM","latest","released","0.036","","PomBase-Chobo","Fast OBO to Chado loading using PostgreSQL COPY"
"SPVM-0.9105","2022-01-03T23:19:00","KIMOTO","cpan","released","0.9105","","SPVM","Static Perl Virtual Machine. Fast Calculation, Fast Array Operation, and Easy C/C++ Binding."
"Test2-Harness-UI-0.000100","2022-01-03T23:26:16","EXODIST","backpan","released","0.000100","","Test2-Harness-UI","Web interface for viewing and inspecting yath test logs"
"Acme-CPANModules-TextTable-0.013","2022-01-04T00:06:04","PERLANCAR","latest","released","0.013","","Acme-CPANModules-TextTable","Modules that generate text tables"
"Text-Table-Any-0.106","2022-01-04T00:06:15","PERLANCAR","cpan","released","0.106","","Text-Table-Any","Generate text table using one of several backends"
"Acme-CPANAuthors-Canadian-0.0108","2022-01-04T00:24:21","ETHER","latest","released","0.0108","","Acme-CPANAuthors-Canadian","We are Canadian CPAN authors"
"Tk-HMListbox-3.13","2022-01-04T01:34:03","TURNERJW","cpan","released","3.13","","Tk-HMListbox","Sortable Multicolumn HListbox (allowing icons, along with text) with arrows in headers indicating sort order."
"Tk-SMListbox-2.13","2022-01-04T01:34:14","TURNERJW","latest","released","2.13","","Tk-SMListbox","Multi-Listbox Widget with Sort Indicators"
"idi-0.0300","2022-01-04T02:46:40","GENE","backpan","released","0.0300","","idi","Easy, command-line MIDI"
"idi-0.0301","2022-01-04T03:02:05","GENE","backpan","released","0.0301","","idi","Easy, command-line MIDI"
"idi-0.0302","2022-01-04T03:22:33","GENE","latest","released","0.0302","","idi","Easy, command-line MIDI"
"Config-Tiny-2.28","2022-01-04T05:06:13","RSAVAGE","latest","released","2.28","","Config-Tiny","Read/Write .ini style files with as little code as possible"
"Music-Chord-Progression-0.0504","2022-01-04T05:36:46","GENE","backpan","released","0.0504","","Music-Chord-Progression","Create network transition chord progressions"
"Archive-BagIt-0.087","2022-01-04T09:59:17","ART","cpan","released","0.087","","Archive-BagIt","The main module to handle bags."
"Archive-BagIt-0.088","2022-01-04T12:42:59","ART","cpan","released","0.088","","Archive-BagIt","The main module to handle bags."
"Alt-Data-Frame-ButMore-0.006001","2022-01-04T13:34:25","SLOYD","latest","released","0.006001","","Alt-Data-Frame-ButMore","DEPRECATED Alternative implementation of Data::Frame"
"Archive-BagIt-0.089","2022-01-04T13:54:54","ART","cpan","released","0.089","","Archive-BagIt","The main module to handle bags."
"Term-CLI-0.054001","2022-01-04T14:19:52","SBAKKER","cpan","released","0.054001","","Term-CLI","CLI interpreter based on Term::ReadLine"
"Archive-BagIt-Plugin-SHA256-0.001-TRIAL","2022-01-04T14:55:15","ART","cpan","developer","0.001","1","Archive-BagIt-Plugin-SHA256","The role to load the sha256 plugin"
"Date-Holidays-GB-0.020","2022-01-04T15:10:37","MJEMMESON","latest","released","0.020","","Date-Holidays-GB","Determine British holidays - Current UK public and bank holiday dates up to 2023"
"Chart-GGPlot-0.002000","2022-01-04T15:43:53","SLOYD","latest","released","0.002000","","Chart-GGPlot","ggplot2 port in Perl"
"Thread-Csp-0.004","2022-01-04T17:45:39","LEONT","cpan","released","0.004","","Thread-Csp","Communicating sequential processes threading for Perl"
"Music-Chord-Progression-0.0600","2022-01-04T19:23:08","GENE","backpan","released","0.0600","","Music-Chord-Progression","Create network transition chord progressions"
"Log-Tiny-1.1","2022-01-04T23:48:26","JMADLER","latest","released","1.1","","Log-Tiny","Log data with as little code as possible"
"Text-ANSITable-0.607","2022-01-05T00:05:07","PERLANCAR","cpan","released","0.607","","Text-ANSITable","Create nice formatted tables using extended ASCII and ANSI colors"
"Text-Table-HTML-DataTables-0.009","2022-01-05T00:05:18","PERLANCAR","cpan","released","0.009","","Text-Table-HTML-DataTables","Generate HTML table with jQuery and DataTables plugin"
"Music-Chord-Progression-0.0601","2022-01-05T02:14:39","GENE","backpan","released","0.0601","","Music-Chord-Progression","Create network transition chord progressions"
"MIDI-Drummer-Tiny-0.1900","2022-01-05T03:01:35","GENE","backpan","released","0.1900","","MIDI-Drummer-Tiny","Glorified metronome"
"SPVM-0.9106","2022-01-05T06:33:41","KIMOTO","cpan","released","0.9106","","SPVM","Static Perl Virtual Machine. Fast Calculation, Fast Array Operation, and Easy C/C++ Binding."
"SPVM-0.9107","2022-01-05T08:04:12","KIMOTO","cpan","released","0.9107","","SPVM","Static Perl Virtual Machine. Fast Calculation, Fast Array Operation, and Easy C/C++ Binding."
"WWW-WebKit2-0.132","2022-01-05T09:27:01","JCARTY","latest","released","0.132","","WWW-WebKit2","Perl extension for controlling an embedding WebKit2 engine"
"Term-CLI-0.054002","2022-01-05T10:08:19","SBAKKER","cpan","released","0.054002","","Term-CLI","CLI interpreter based on Term::ReadLine"
"App-CPAN-Get-0.04","2022-01-05T11:10:01","SKIM","cpan","released","0.04","","App-CPAN-Get","Base class and script for getting of dist from CPAN."
"App-CPAN-Search-0.06","2022-01-05T11:19:11","SKIM","cpan","released","0.06","","App-CPAN-Search","Base class and script for CPAN searching."
"HTTP-Message-6.36","2022-01-05T14:48:46","OALDERS","latest","released","6.36","","HTTP-Message","HTTP style message (base class)"
"Test2-Harness-1.000094","2022-01-05T21:59:46","EXODIST","backpan","released","1.000094","","Test2-Harness","A new and improved test harness with better Test2 integration."
"Test2-Harness-UI-0.000101","2022-01-05T22:14:36","EXODIST","backpan","released","0.000101","","Test2-Harness-UI","Web interface for viewing and inspecting yath test logs"
"List-Util-Uniq-0.004","2022-01-06T00:06:21","PERLANCAR","latest","released","0.004","","List-Util-Uniq","List utilities related to finding unique items"
"Perinci-CmdLine-Lite-1.913","2022-01-06T00:06:32","PERLANCAR","cpan","released","1.913","","Perinci-CmdLine-Lite","A Rinci/Riap-based command-line application framework"
"JSON-Validator-5.05","2022-01-06T00:34:52","JHTHORSEN","latest","released","5.05","","JSON-Validator","Validate data against a JSON schema"
"Apache-AuthCookie-3.31","2022-01-06T03:02:19","MSCHOUT","latest","released","3.31","","Apache-AuthCookie","Perl Authentication and Authorization via cookies"
"JSON-Schema-Tiny-0.014","2022-01-06T04:07:18","ETHER","cpan","released","0.014","","JSON-Schema-Tiny","Validate data against a schema, minimally"
"JSON-Schema-Modern-0.539","2022-01-06T04:10:10","ETHER","cpan","released","0.539","","JSON-Schema-Modern","Validate data against a schema"
"JSON-Schema-Modern-Document-OpenAPI-0.016","2022-01-06T04:23:50","ETHER","cpan","released","0.016","","JSON-Schema-Modern-Document-OpenAPI","One OpenAPI v3.1 document"
"SPVM-0.9108","2022-01-06T06:24:02","KIMOTO","cpan","released","0.9108","","SPVM","Static Perl Virtual Machine. Fast Calculation, Fast Array Operation, and Easy C/C++ Binding."
"Music-Chord-Progression-0.0602","2022-01-06T06:33:46","GENE","latest","released","0.0602","","Music-Chord-Progression","Create network transition chord progressions"
"SPVM-0.9109","2022-01-06T07:32:04","KIMOTO","cpan","released","0.9109","","SPVM","Static Perl Virtual Machine. Fast Calculation, Fast Array Operation, and Easy C/C++ Binding."
"UI-Various-0.11","2022-01-06T08:26:06","DORNER","backpan","released","0.11","","UI-Various","graphical/non-graphical user interface without external programs"
"Test-DBIC-SQLite-1.00","2022-01-06T09:00:51","ABELTJE","latest","released","1.00","","Test-DBIC-SQLite","Connect to and deploy a DBIx::Class::Schema on SQLite"
"App-CPAN-Get-0.05","2022-01-06T09:50:24","SKIM","cpan","released","0.05","","App-CPAN-Get","Base class and script for getting of dist from CPAN."
