dayhour,state,somehead,key,value
2011-05-19d 08h,中国,test,cnt,12
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,120
2011-05-19d 08h,中国,test,cnt,25
2011-05-19d 08h,中国,test,rank,3
2011-05-19d 08h,中国,test,cxr,75
2011-05-19d 08h,中国,test,cnt,12
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,120
2011-05-19d 08h,中国,test,cnt,13
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,130
2011-05-19d 08h,中国,test,cnt,31
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,310
2011-05-19d 08h,中国,test,cnt,10
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,100
2011-05-19d 08h,中国,test,cnt,6
2011-05-19d 08h,中国,test,rank,9
2011-05-19d 08h,中国,test,cxr,54
2011-05-19d 08h,中国,test,cnt,14
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,140
2011-05-19d 08h,中国,test,cnt,12
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,120
2011-05-19d 08h,中国,test,cnt,13
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,130
2011-05-19d 08h,中国,test,cnt,11
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,110
2011-05-19d 08h,中国,test,cnt,12
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,120
2011-05-19d 08h,中国,test,cnt,17
2011-05-19d 08h,中国,test,rank,9
2011-05-19d 08h,中国,test,cxr,153
2011-05-19d 08h,中国,test,cnt,13
2011-05-19d 08h,中国,test,rank,9
2011-05-19d 08h,中国,test,cxr,117
2011-05-19d 08h,中国,test,cnt,736
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,7360
2011-05-19d 08h,中国,test,cnt,1538
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,15380
2011-05-19d 08h,中国,test,cnt,537
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,5370
2011-05-19d 08h,中国,test,cnt,19
2011-05-19d 08h,中国,test,rank,10
2011-05-19d 08h,中国,test,cxr,190
2011-05-19d 08h,中国,test,cnt,13
