day,hour,state,cnt,rank
2011-05-19,09,中国,8804666,7660
2011-05-19,10,中国,8110613,7250
2011-05-19,22,中国,23996,2140
2011-05-19,18,中国,152587,2160
2011-05-19,01,中国,17905153,16120
2011-05-19,16,中国,1461191,3120
2011-05-19,15,中国,2287493,3460
2011-05-19,19,中国,33892,2450
2011-05-19,11,中国,7994350,6520
2011-05-19,04,中国,2738748,2660
2011-05-19,14,中国,3297048,3840
2011-05-19,23,中国,64526,1810
2011-05-19,07,中国,6327957,5880
2011-05-19,06,中国,33411636,19900
2011-05-19,20,中国,25937,2174
2011-05-19,05,中国,18666236,10890
2011-05-19,00,中国,59724165,50960
2011-05-19,17,中国,432859,2550
2011-05-19,02,中国,10506733,9730
2011-05-19,12,中国,5368137,4988
2011-05-19,13,中国,3961223,3990
2011-05-19,03,中国,5905413,5690
2011-05-19,08,中国,48656,3398
2011-05-19,21,中国,44330,2600
