# FORMAT =
# 	name\t+number\t+notes\t+divider\t+multipler\t+units
#	
# Parameters = 	
# 	- Short Name	
#	- Number	
#	- Full description	
#	- Divide by (number)	
#	- Multiply by (number or BM)	
#	- Unit	
#	- ShiftLeft by (other name or NA)	
#	- Write flag	
#	- Non NV Backup/Restore (should it be backed up)
#	
# Multiplier can be BM (Bat Multipler)	
#	
# ------------------------------------------------------------------------------
# Local stuff
# ------------------------------------------------------------------------------
version		20	version number				1	1	NA	NA	0	0
in		NA	Total input				0	0	Ah	NA	0	0
out		NA	Total output				0	0	Ah	NA	0	0
load		NA	Current load				0	0	Ah	NA	0	0
charge		NA	Current charge				0	0	Ah	NA	0	0
# ------------------------------------------------------------------------------
# Some possible calculated fields (an experiment)
# 	Is this the right way to do it ?
#	Recursion protection ?
# ------------------------------------------------------------------------------
# XXX Some values are only applicable if a flag is on... need an if(x,y) maybe ?
#	Maybe put them in here correctly, but then just actually write the
#	methods in the module.
total_load	lint+lext	Total load output		10	1 	Ah	NA	0	0
total_charge	cint+cext	Total charge input		10	1	Ah	NA	0	0
total_in	ceahl+(ceahh*256)+ciahl+(ciahh*255)	IN	10	1	Ah	NA	0	0
total_out	leahl+(leahh*256)+liahl+(liahh*255)	IN	10	1	Ah	NA	0	0
# ------------------------------------------------------------------------------
# Binary things
# ------------------------------------------------------------------------------
# ------------------------------------------------------------------------------
# From pl_info.doc
# ------------------------------------------------------------------------------
vdiv		32	voltage divider control file		1	1	NA	NA	0	0
#	Bits to shift left for voltage divider.
bcals		33	msbs of bcal gains and offsets		1	1	NA	NA	0	0
bcal12		34	gain (lower nib) and offset (upper nib) for 12V batv	1	1	NA	NA	0	0
bcal24		35	gain (lower nib) and offset (upper nib) for 24V batv	1	1	NA	NA	0	0
bcal48		36	gain (lower nib) and offset (upper nib) for 48V batv	1	1	NA	NA	0	0
night		37	counter for night indicator		1	1	NA	NA	0	0
gendel		38	generator delay counter			1	1	NA	NA	0	0
dutycyc		39	provides average ton/ton+toff i.e. average duty cycle	1	1	NA	NA	0	0
lcount		40	counter for load disconnect		1	1	NA	NA	0	0
dtime		41	display timeout counter			1	1	NA	NA	0	0
sec		46	2 seconds file, inc at 2 sec intervals	1	1	NA	NA	0	0
min		47	minutes file				1	1	NA	NA	1	1
hour		48	hour file, inc at 0.1hr increments	10	1	NA	NA	1	1
day		49	dayfile					1	1	NA	NA	0	0
batv		50	battery voltage 0.1V steps scaled to 12V	10	BM	V	NA	0	0
battemp		52	battery temp msb			1	1	NA	NA	0	0
solv		53	solar voltage msb			10	BM	V	NA	0	0
batva		54	raw batv without temp or b- comp.	1	1	NA	NA	0	0
sercon		55	serial control byte			1	1	NA	NA	0	0
linkcnt		56	link detect counter			1	1	NA	NA	0	0
pos1		62	screen position counter for history	1	1	NA	NA	0	0
bstday		63	counter for days since boost 		1	1	NA	NA	0	0
#	(settings copied from non volatile memory)
gon 		64	generator turn on voltage/Ah		1	1	NA	NA	0	0
goff		65	generator turn off voltage		10	BM	V	NA	0	0
gdel		66	generator delay time/gen over charge Ah	1	1	NA	NA	0	0
gexf		67	generator exercise frequency		1	1	NA	NA	0	0
grun		68	generator run time			1	1	NA	NA	0	0
loff		69	load disconnect voltage			1	1	NA	NA	0	0
lon 		70	load reconnect voltage			1	1	NA	NA	0	0
ldel		71	delay before disconnect			1	1	NA	NA	0	0
aset		72	alarm setting value			1	1	NA	NA	0	0
bstfreq		73	days between boost cycles		1	1	NA	NA	0	0
atim		74	time spent in absorbtion mode		1	1	NA	NA	0	0
hyst		75	hysterisis				1	1	NA	NA	0	0
bret		76	boost return voltage			1	1	NA	NA	0	0
curlim		77	charge current limit			1	1	NA	NA	0	0
bat2		78	regulation voltage for the 2nd battery	1	1	NA	NA	1	0
eset1		79	event control settings 1		1	1	NA	NA	0	0
eset2		80	event control settings 2		1	1	NA	NA	0	0
eset3		81	event control settings 3		1	NA	NA	0	0
eqfreq		82	days between equalisations		1	1	NA	NA	0	0
etim		83	length of equalisation cycle		1	1	NA	NA	0	0
absv		84	absorbtion voltage			1	1	NA	NA	0	0
emax		85	equalisation voltage			1	1	NA	NA	0	0
fltv		86	float voltage				1	1	NA	NA	0	0
bmax		87	boost voltage				1	1	NA	NA	0	0
lgset		88	current use of load switch (lsn) & gen output	1	1	NA	NA	0	0
pwme		89	current regulation method (lsn) and bat sense usage	1	1	NA	NA	0	0
sstop		90	current start(lsn)and stop modes	1	1	NA	NA	0	0
etmod		91	current enable modes (emod lsn)		1	1	NA	NA	0	0
gmod		92	generator mode/tcmp(upper nib)		1	1	NA	NA	0	0
volt		93	voltage selection (lsn) /prog num	1	1	NA	NA	0	0
bcap		94	battery capacity in 20/100 Ah chunks 	1	20	NA	NA	0	0
#	(counters and control bytes)
#	eg: 44*20 = 880Ah, XXX where is the multiplier stored?	
#	Therefore I have temporarily set the multiplier to 20	
eqcnt		95	counter for days since equ		1	1	NA	NA	0	0
genexd		96	days since last generator exercise/gen run time	1	1	NA	NA	0	0
extmout		97	time out counter for expansion board	1	1	NA	NA	0	0
econ		98	event control file  			1	1	NA	NA	0	0
rmtmout		99	time out for remote control		1	1	NA	NA	0	0
rcount		100	reg state change counter		1	1	NA	NA	0	0
rstate		101	regulator state				1	1	NA	NA	0	0
dstate		102	state of display			1	1	NA	NA	0	0
rmode		104	state file for charge and load regup routine	1	1	NA	NA	0	0
vreg		105	current voltage for charge switch to regulate to	1	1	NA	NA	0	0
erunc		108	event control run timer			1	1	NA	NA	0	0
ereptc		109	event control repeat time counter	1	1	NA	NA	0	0
setcnt		111	counter for refresh of setup		1	1	NA	NA	0	0
ahbalh		113	gen amp hour balance high byte		1	1	NA	NA	0	0
conout		115	7-pwm active,6-charge,5-shunt,4-alarm,3-bat2, 2-event,1-gen,0-load dis output from control routines to extension & outputs	1	1	NA	NA	0	0
bminl		124	lower byte of battery min voltage  scaled to 12V	1	1	NA	NA	0	0
