node,neighbor,weight
gm7126,es1328,4738
es1328,gm7126,4738
es1328,dy7908,7243
es1328,oy1790,3053
dl5527,px7249,1004
dl5527,sv7419,1588
dl5527,mn1664,6516
px7249,dl5527,1004
px7249,of6052,2735
px7249,ya3725,9428
is1603,bm7369,9024
is1603,ur522,1543
bm7369,is1603,9024
bm7369,pg2947,4571
bm7369,sw3023,1027
bm7369,tg8045,7516
rd7078,mq3601,9806
rd7078,nj4052,4584
mq3601,rd7078,9806
mq3601,pe8874,2324
jm6954,dn4436,4192
dn4436,jm6954,4192
dn4436,oj7646,8173
dn4436,nl5215,9137
ou2641,gp6690,661
gp6690,ou2641,661
gp6690,tb169,2356
gp6690,ia1094,9305
gp6690,yi3109,9121
ua6432,lw1407,315
ua6432,hb2227,3657
ua6432,oy1790,4787
lw1407,ua6432,315
lw1407,vv9602,2237
lw1407,an6556,7816
hb2227,ua6432,3657
hb2227,kk3073,1072
hb2227,ur522,8807
ch3323,cs2311,1047
ch3323,vx788,6762
ch3323,pk2863,1085
ch3323,bq6457,6087
cs2311,ch3323,1047
cs2311,yd4935,3171
cs2311,ys562,4297
cs2311,qi9918,4252
cs2311,ey8420,4425
cs2311,wa4121,729
zh3502,rn450,7241
rn450,zh3502,7241
rn450,fh4455,4854
rn450,pr9165,6572
rn450,ni4341,935
vs8903,ap9192,5566
vs8903,lg8451,7738
vs8903,pk2863,5142
ap9192,vs8903,5566
ap9192,em649,4070
ap9192,cv6473,22
mv3288,mn1664,9164
mn1664,mv3288,9164
mn1664,qx5488,9937
mn1664,dl5527,6516
em649,yd4935,2251
em649,ct2371,4570
em649,ap9192,4070
yd4935,em649,2251
yd4935,cu154,7111
yd4935,cs2311,3171
yd4935,wa4121,4827
ww967,gi3807,9996
ww967,ab1066,2733
ww967,fl9451,9048
ww967,di3939,7081
gi3807,ww967,9996
gi3807,cq8885,9399
gi3807,bf3774,4034
gi3807,pe8874,8890
gi3807,cq8885,9399
vf2120,rl5468,8435
vf2120,rl5468,8435
rl5468,vf2120,8435
rl5468,vf2120,8435
mq4783,nv6726,6925
nv6726,mq4783,6925
nv6726,qe2041,4340
fd2033,zu1158,8581
fd2033,fa656,6214
zu1158,fd2033,8581
zu1158,vo9283,612
zu1158,fg6824,9846
zu1158,hy1734,6155
fa656,fd2033,6214
fa656,ax5521,9118
mk2367,yy9906,2243
yy9906,mk2367,2243
yy9906,mp395,3938
yy9906,kg7696,3346
yy9906,sw3023,5288
fv3103,gx5216,2956
fv3103,ey8420,8450
gx5216,fv3103,2956
gx5216,uf4566,2927
wf9743,bi7054,6306
wf9743,gj9047,1855
bi7054,wf9743,6306
bi7054,zs7348,1236
of6052,px7249,2735
of6052,hg9847,7344
it2154,mp395,2423
it2154,fl286,7099
mp395,it2154,2423
mp395,yy9906,3938
mp395,aa4719,5761
mp395,wg3594,8505
mp395,bw5625,5337
rt3648,ax5521,6400
rt3648,xg6753,9200
ax5521,rt3648,6400
ax5521,lx9280,7239
ax5521,iq5446,6920
ax5521,bf5212,1486
ax5521,fa656,9118
cq8885,gi3807,9399
cq8885,gi3807,9399
tg8724,ue7262,3767
ue7262,tg8724,3767
ue7262,xg6743,6806
ue7262,ga7514,5401
fi9949,pj6934,2182
fi9949,ei1976,8943
pj6934,fi9949,2182
pj6934,rh478,9046
pj6934,fl286,4436
wh8060,qr2733,8355
qr2733,wh8060,8355
qr2733,dt5095,6524
ha6101,tb169,7192
ha6101,uw1658,2233
ha6101,zs7348,4384
ha6101,qz9443,9567
tb169,ha6101,7192
tb169,st1279,1477
tb169,gp6690,2356
tb169,ya3725,776
st1279,tb169,1477
fh4455,yi3109,8976
fh4455,rn450,4854
yi3109,fh4455,8976
yi3109,bg7899,7252
yi3109,nj4052,1021
yi3109,gp6690,9121
bc7601,ab1066,479
bc7601,zq2265,6687
ab1066,bc7601,479
ab1066,xg6753,504
ab1066,ww967,2733
ab1066,sk6535,7743
qe2041,nv6726,4340
gx4968,sm2761,4919
sm2761,gx4968,4919
sm2761,vq4197,8453
sm2761,nd5996,4577
dt5095,qt1590,8914
dt5095,pk2863,505
dt5095,qr2733,6524
dt5095,st8982,6854
qt1590,dt5095,8914
qt1590,hc4163,5318
qt1590,ex8694,5983
qt1590,cm3430,3224
pk2863,dt5095,505
pk2863,kg7696,8468
pk2863,vs8903,5142
pk2863,ch3323,1085
ti6605,sv7419,7114
sv7419,ti6605,7114
sv7419,bf3774,5442
sv7419,dl5527,1588
fl286,it2154,7099
fl286,pj6934,4436
xg6743,fm3308,3735
xg6743,je6938,7353
xg6743,ue7262,6806
fm3308,xg6743,3735
fm3308,wd3567,1510
bf3774,gi3807,4034
bf3774,sv7419,5442
dl4053,dj1531,175
dl4053,qc9775,4710
dj1531,dl4053,175
dj1531,gi4401,4971
dj1531,ks4633,6262
qj4413,ur522,7714
ur522,qj4413,7714
ur522,vd8290,3963
ur522,is1603,1543
ur522,tg8045,5230
ur522,hb2227,8807
bf5212,it7885,5540
bf5212,vo9283,2786
bf5212,ax5521,1486
it7885,bf5212,5540
kz9842,zx1873,6129
kz9842,ia9845,1013
zx1873,kz9842,6129
aa4719,mp395,5761
aa4719,rh478,116
xg6753,ab1066,504
xg6753,rt3648,9200
sk6535,ab1066,7743
sk6535,fl9451,7043
hg9847,of6052,7344
hg9847,qq2812,2559
qx5488,mn1664,9937
qx5488,ra9552,5269
qx5488,rl3072,3740
ei1976,fi9949,8943
hc4163,pt4689,594
hc4163,qt1590,5318
pt4689,hc4163,594
pt4689,qq2812,5978
pt4689,wd3567,7717
uw1658,ha6101,2233
uw1658,jm5427,2208
uw1658,nj4052,4741
jm5427,uw1658,2208
lx9280,ax5521,7239
lx9280,bu1392,3298
pg2947,bm7369,4571
an6556,wp8113,387
an6556,lw1407,7816
wp8113,an6556,387
wp8113,nf7233,8608
uf4566,gx5216,2927
uf4566,zq8492,2793
uf4566,st8982,280
nd5996,fl9451,5101
nd5996,sm2761,4577
fl9451,nd5996,5101
fl9451,sk6535,7043
fl9451,ww967,9048
aw9423,fo6323,8819
fo6323,aw9423,8819
vo9283,zu1158,612
vo9283,oj7646,5339
vo9283,bf5212,2786
zq2265,bc7601,6687
ey8420,fv3103,8450
ey8420,cs2311,4425
ee7200,je6938,8575
ee7200,wf7078,5290
je6938,ee7200,8575
je6938,xg6743,7353
wf7078,ee7200,5290
vq4197,sm2761,8453
qi9918,vd8290,5425
qi9918,cs2311,4252
vd8290,qi9918,5425
vd8290,ur522,3963
vd8290,st8982,1803
ks4633,kg7696,6029
ks4633,oy1790,248
ks4633,dj1531,6262
kg7696,ks4633,6029
kg7696,yy9906,3346
kg7696,pk2863,8468
oy1790,ks4633,248
oy1790,ua6432,4787
oy1790,es1328,3053
iq5446,ax5521,6920
iq5446,pe8874,5518
iq5446,ak1585,2590
pe8874,iq5446,5518
pe8874,mq3601,2324
pe8874,gf9969,7385
pe8874,oy3493,5399
pe8874,gi3807,8890
ak1585,iq5446,2590
ak1585,bw5625,1963
ak1585,xd6347,9514
qq2812,hg9847,2559
qq2812,pt4689,5978
ve2709,xd6347,3767
ve2709,ct2371,6397
ve2709,uz7993,2025
xd6347,ve2709,3767
xd6347,ak1585,9514
dy7908,es1328,7243
dy7908,wv8216,3712
dy7908,hw6408,3962
ct2371,em649,4570
ct2371,ve2709,6397
oj7646,dn4436,8173
oj7646,vo9283,5339
oj7646,ao797,176
ya3725,tb169,776
ya3725,zp6567,6940
ya3725,ax4314,9592
ya3725,px7249,9428
zp6567,ya3725,6940
zp6567,st8982,6755
sw3023,yy9906,5288
sw3023,ai1658,5992
sw3023,dc47,5178
sw3023,bm7369,1027
bw5625,ak1585,1963
bw5625,mp395,5337
bw5625,hk3735,9881
lg8451,vs8903,7738
lg8451,qb1380,8658
lg8451,zs7348,5689
qb1380,lg8451,8658
fg6824,zu1158,9846
ia1094,gp6690,9305
ia1094,bg7899,9876
qc9775,dl4053,4710
bh4064,kk3073,9128
bh4064,lq8512,3397
bh4064,pr9165,4045
kk3073,bh4064,9128
kk3073,ai1658,1073
kk3073,hb2227,1072
cu154,yd4935,7111
cu154,ys562,6212
gi4401,dj1531,4971
zq8492,uf4566,2793
rh478,aa4719,116
rh478,pj6934,9046
kh6756,ao797,3771
kh6756,dc47,3649
kh6756,ex8694,452
kh6756,qk6576,117
ao797,kh6756,3771
ao797,oj7646,176
ao797,gj9047,262
ew5066,lq8512,8876
lq8512,ew5066,8876
lq8512,bh4064,3397
lq8512,vx788,3260
wd3567,fm3308,1510
wd3567,pt4689,7717
ra9552,qx5488,5269
pr9165,rn450,6572
pr9165,bh4064,4045
gf9969,pe8874,7385
gf9969,at9521,8543
at9521,gf9969,8543
at9521,ax4314,1702
ys562,cs2311,4297
ys562,cu154,6212
ia9845,kz9842,1013
vx788,ch3323,6762
vx788,lq8512,3260
vx788,wv8216,5765
vx788,wg3594,1473
wv8216,vx788,5765
wv8216,dy7908,3712
wg3594,vx788,1473
wg3594,mp395,8505
vv9602,lw1407,2237
vv9602,op1167,5886
bg7899,ia1094,9876
bg7899,hu5097,9051
bg7899,yi3109,7252
bg7899,rm2039,4388
hu5097,bg7899,9051
oy3493,pe8874,5399
oy3493,gj9047,6591
zs7348,lg8451,5689
zs7348,ha6101,4384
zs7348,wt2250,7035
zs7348,bi7054,1236
uz7993,ve2709,2025
wt2250,zs7348,7035
