node,neighbor,weight
gi6690,hc8553,23
gi6690,is2106,4
gi6690,sp1773,39
gi6690,qo872,24
hc8553,gi6690,23
hc8553,op5940,24
hc8553,af2087,19
hc8553,mn8780,66
hc8553,sr7938,65
hc8553,yp3256,68
sv728,qo872,50
qo872,sv728,50
qo872,ev7577,75
qo872,dd810,73
qo872,gi6690,24
is2106,gi6690,4
is2106,sy8584,74
rc7809,oe3320,59
oe3320,rc7809,59
oe3320,vu9825,90
oe3320,ga456,68
op5940,hc8553,24
op5940,dz1758,6
ga456,yp3256,23
ga456,oe3320,68
yp3256,ga456,23
yp3256,hc8553,68
yp3256,xc5588,57
af2087,sp1773,99
af2087,tk5900,0
af2087,lv2252,85
af2087,hc8553,19
sp1773,af2087,99
sp1773,gi6690,39
sp1773,sc4990,87
sp1773,gx2986,35
tk5900,af2087,0
lv2252,af2087,85
lv2252,es9751,10
lv2252,xh2800,95
lv2252,ut1861,33
eo2305,lp6928,5
eo2305,rl9761,50
lp6928,eo2305,5
lp6928,ku9412,39
qn1634,jp3580,37
qn1634,gg2844,95
jp3580,qn1634,37
jp3580,fv9146,49
jp3580,ep2174,24
jp3580,ep2174,24
jp3580,iz4422,66
nf8659,xh2800,93
nf8659,qz3988,21
xh2800,nf8659,93
xh2800,vk5354,83
xh2800,dz1758,36
xh2800,vu9825,70
xh2800,lv2252,95
qz3988,nf8659,21
qz3988,oy303,72
sy8584,ol3487,25
sy8584,mn8780,10
sy8584,dz1758,59
sy8584,is2106,74
sy8584,io5027,79
ol3487,sy8584,25
mn8780,sy8584,10
mn8780,gg2844,86
mn8780,hc8553,66
dz1758,sy8584,59
dz1758,xh2800,36
dz1758,op5940,6
at9937,ep2174,62
at9937,tx3110,31
ep2174,at9937,62
ep2174,ey9821,54
ep2174,jp3580,24
ep2174,jp3580,24
vk5354,xh2800,83
vk5354,gg8931,45
pf6561,gb9847,43
pf6561,sn2468,98
gb9847,pf6561,43
gb9847,ut4197,10
fj5687,qe5674,86
fj5687,kr6429,23
fj5687,ft3255,85
qe5674,fj5687,86
qe5674,je793,53
qe5674,kx1054,18
dd810,vy9247,38
dd810,ku9412,2
dd810,qo872,73
vy9247,dd810,38
vy9247,pa8167,35
vy9247,zh9322,20
vy9247,sn68,9
vy9247,px497,72
os1043,qx2734,28
os1043,ne3913,31
os1043,gk1114,71
qx2734,os1043,28
qx2734,jp3917,49
qx2734,gn9943,47
qx2734,yo6017,24
qx2734,fo2229,36
bi6377,kx7766,4
kx7766,bi6377,4
kx7766,rl9761,62
kx7766,sm539,77
kx7766,bc3939,2
pa8167,vy9247,35
pa8167,fv9146,98
zh9322,vy9247,20
zh9322,xb966,60
zh9322,ck5714,91
xb966,zh9322,60
mn7218,ft3255,73
mn7218,es9751,47
ft3255,mn7218,73
ft3255,fj5687,85
ft3255,le2845,22
ku9412,bk5890,6
ku9412,dd810,2
ku9412,lp6928,39
bk5890,ku9412,6
bk5890,fo2229,48
dq4018,rj6648,16
rj6648,dq4018,16
rj6648,qd4998,7
rj6648,gk1114,93
tt5928,sn68,76
tt5928,gn9943,5
sn68,tt5928,76
sn68,vy9247,9
xq3334,cg831,95
xq3334,mr3061,87
xq3334,hz6259,23
cg831,xq3334,95
cg831,sn2468,32
cg831,fv9146,48
nq6681,es9751,38
es9751,nq6681,38
es9751,fv9146,15
es9751,xb4907,8
es9751,mn7218,47
es9751,lv2252,10
jp3917,qx2734,49
jp3917,un977,9
jp3917,gx2986,77
jp3917,gv1136,74
gn9943,qx2734,47
gn9943,tt5928,5
yo6017,qx2734,24
yo6017,ey9821,84
je793,qe5674,53
je793,jg6558,47
je793,da1705,27
ne3913,os1043,31
ne3913,cf8219,98
jg6558,je793,47
fo2229,xk982,11
fo2229,qx2734,36
fo2229,bk5890,48
xk982,fo2229,11
oy303,qz3988,72
oy303,sn2468,65
gk1114,os1043,71
gk1114,rj6648,93
kx1054,qe5674,18
kx1054,ar9312,82
mw2509,fc3346,79
mw2509,sr7938,98
fc3346,mw2509,79
fc3346,mj5090,26
lx1644,de2642,75
lx1644,sv4298,20
de2642,lx1644,75
fy3481,fq5089,13
fy3481,yn8763,37
fq5089,fy3481,13
fq5089,oj2724,37
fq5089,tc6203,32
gg3920,fk3666,79
fk3666,gg3920,79
ey9821,ep2174,54
ey9821,zb4680,16
ey9821,yo6017,84
ey9821,hz6259,57
zb4680,ey9821,16
zb4680,tx3110,42
zb4680,rp4693,64
un977,jp3917,9
sc4990,sp1773,87
sc4990,qd4998,87
qd4998,sc4990,87
qd4998,rs5157,42
qd4998,rj6648,7
rs5157,qd4998,42
rs5157,tx3110,90
kr6429,fj5687,23
kr6429,nu2611,37
gg2844,mn8780,86
gg2844,qn1634,95
sn2468,oy303,65
sn2468,pf6561,98
sn2468,cg831,32
bu2604,hz6259,46
bu2604,il4797,99
hz6259,bu2604,46
hz6259,oh4681,45
hz6259,ey9821,57
hz6259,xq3334,23
tx3110,px497,49
tx3110,at9937,31
tx3110,rs5157,90
tx3110,zb4680,42
tx3110,mj5090,33
px497,tx3110,49
px497,vy9247,72
io5027,sy8584,79
da1705,je793,27
sr7938,hc8553,65
sr7938,mw2509,98
sr7938,xp8808,71
rl9761,eo2305,50
rl9761,kx7766,62
mx1013,ev7577,57
mx1013,ck5714,61
ev7577,mx1013,57
ev7577,qo872,75
gg8931,vk5354,45
gg8931,fy4127,18
nu2611,kr6429,37
fy4127,gg8931,18
fy4127,rs422,0
fv9146,jp3580,49
fv9146,es9751,15
fv9146,pa8167,98
fv9146,cg831,48
gx2986,sp1773,35
gx2986,tc6203,62
gx2986,jp3917,77
sm539,kx7766,77
sm539,iz4422,42
yn8763,fy3481,37
cf8219,ne3913,98
ck5714,mx1013,61
ck5714,zh9322,91
oj2724,fq5089,37
tc6203,gx2986,62
tc6203,fq5089,32
mr3061,xq3334,87
mr3061,ey6809,47
xb4907,es9751,8
xb4907,ha524,36
mj5090,tx3110,33
mj5090,fc3346,26
di279,vu9825,21
di279,iz4422,26
vu9825,di279,21
vu9825,ha524,8
vu9825,oe3320,90
vu9825,xh2800,70
il4797,bu2604,99
il4797,za8548,46
rn6296,za8548,41
za8548,rn6296,41
za8548,il4797,46
xp8808,sr7938,71
ha524,xb4907,36
ha524,vu9825,8
bc3939,kx7766,2
ut4197,gb9847,10
oh4681,hz6259,45
oh4681,ey6809,66
oh4681,le2845,94
iz4422,sm539,42
iz4422,di279,26
iz4422,jp3580,66
rs422,fy4127,0
lp4533,ey6809,71
ey6809,lp4533,71
ey6809,mr3061,47
ey6809,oh4681,66
le2845,ft3255,22
le2845,oh4681,94
sv4298,lx1644,20
rp4693,zb4680,64
ar9312,kx1054,82
xc5588,yp3256,57
