 TestPrj.chm:

 spc    start   length   name
 ===    =====   ======   ====
   0        0        0   /
   1   752560     4096   /#IDXHDR
   0        0        0   /#ITBITS
   1   757702      872   /#STRINGS
   0      366     4302   /#SYSTEM
   1   756656      224   /#TOPICS
   1   757048      654   /#URLSTR
   1   756880      168   /#URLTBL
   1        0        0   /$FIftiMain
   1   749809     2751   /$OBJINST
   0        0        0   /$WWAssociativeLinks/
   1   749805        4   /$WWAssociativeLinks/Property
   0        0        0   /$WWKeywordLinks/
   1   747587     2124   /$WWKeywordLinks/BTree
   1   749711       52   /$WWKeywordLinks/Data
   1   749763       10   /$WWKeywordLinks/Map
   1   749773       32   /$WWKeywordLinks/Property
   1   363819    15583   /____ Advanced Computing Systems & Architectures - Teaching _.htm
   1     4493    80948   /Cyber-Sex (haha!).html
   1    85441     8709   /Facultatea AC din UTCN.htm
   0        0        0   /Facultatea AC din UTCN_files/
   1   416623    23108   /Facultatea AC din UTCN_files/ccd.jpg
   1   384562    31228   /Facultatea AC din UTCN_files/head_automatica.jpg
   1   439731      440   /Facultatea AC din UTCN_files/pl.png
   1   415790      833   /Facultatea AC din UTCN_files/prezentare.gif
   1   381924     2638   /Facultatea AC din UTCN_files/sigla.gif
   1   732125     1872   /Facultatea AC din UTCN_files/trafic.js
   1   724475     7650   /Facultatea AC din UTCN_files/utcluj.css
   1   379402      315   /Facultatea AC din UTCN_files/utcluj.htm
   1     3262     1231   /Index.hhk
   1    94150    30113   /PlanetUnreal - UT 2003.htm
   0        0        0   /PlanetUnreal - UT 2003_files/
   1   733997      283   /PlanetUnreal - UT 2003_files/ad.aspx
   1   440500      807   /PlanetUnreal - UT 2003_files/dot_clear.gif
   1   441307      780   /PlanetUnreal - UT 2003_files/icon.gif
   1   734280      871   /PlanetUnreal - UT 2003_files/imprint.js
   1   448048     1417   /PlanetUnreal - UT 2003_files/left.gif
   1   449581      159   /PlanetUnreal - UT 2003_files/left_bottom.gif
   1   449847      173   /PlanetUnreal - UT 2003_files/main_left_bottom.gif
   1   450020      121   /PlanetUnreal - UT 2003_files/main_right_bottom.gif
   1   449740      107   /PlanetUnreal - UT 2003_files/mid_bottom.gif
   1   440424       76   /PlanetUnreal - UT 2003_files/mid_mid.gif
   1   449465      116   /PlanetUnreal - UT 2003_files/right.gif
