"","class_name","gdp","return_on_invest"
"1",goodtimes,50.036,60.098
"2",goodtimes,50.080,58.526
"3",goodtimes,49.785,58.778
"4",goodtimes,49.155,61.781
"5",recession,51.846,36.042
"6",goodtimes,49.740,66.527
"7",goodtimes,50.046,64.381
"8",recession,48.222,31.550
"9",goodtimes,49.703,66.094
"10",goodtimes,49.282,60.723
"11",goodtimes,49.842,61.222
"12",recession,49.865,26.694
"13",goodtimes,49.394,58.480
"14",recession,49.851,34.975
"15",recession,49.805,28.870
"16",goodtimes,48.824,60.730
"17",goodtimes,48.082,56.912
"18",goodtimes,49.674,64.100
"19",goodtimes,51.422,72.648
"20",recession,50.861,28.708
"21",goodtimes,50.983,63.113
"22",goodtimes,50.825,59.056
"23",recession,51.081,31.857
"24",goodtimes,50.946,54.471
"25",recession,50.642,27.262
"26",goodtimes,49.455,57.765
"27",goodtimes,50.831,66.404
"28",goodtimes,48.241,54.046
"29",goodtimes,50.630,57.822
"30",recession,48.408,24.285
"31",recession,50.967,28.204
"32",recession,48.232,34.273
"33",goodtimes,50.308,58.086
"34",goodtimes,51.656,64.543
"35",recession,50.199,26.281
"36",goodtimes,49.196,62.574
"37",recession,50.198,31.894
"38",goodtimes,51.046,57.870
"39",recession,52.118,27.441
"40",goodtimes,50.531,59.682
"41",goodtimes,49.550,68.202
"42",goodtimes,47.637,63.693
"43",recession,49.490,25.499
"44",goodtimes,50.518,65.856
"45",recession,49.572,29.785
"46",recession,50.513,29.947
"47",goodtimes,50.387,63.383
"48",goodtimes,50.276,54.088
"49",recession,50.162,33.705
"50",goodtimes,50.356,63.755
"51",recession,50.649,32.082
"52",goodtimes,50.607,55.519
"53",goodtimes,49.065,68.762
"54",goodtimes,47.834,60.760
"55",recession,49.779,29.333
"56",goodtimes,49.511,56.560
"57",recession,49.164,33.416
"58",goodtimes,49.323,60.692
"59",goodtimes,51.383,63.790
"60",goodtimes,49.161,61.903
"61",goodtimes,49.916,58.534
"62",recession,50.151,35.300
"63",goodtimes,48.381,52.233
"64",recession,49.280,35.966
"65",goodtimes,51.378,57.776
"66",goodtimes,51.532,57.889
"67",goodtimes,49.781,61.868
"68",goodtimes,51.470,56.102
"69",recession,49.497,35.162
"70",goodtimes,48.995,60.635
"71",goodtimes,49.959,59.087
"72",recession,48.874,23.286
"73",recession,52.447,27.408
"74",goodtimes,48.640,63.293
"75",recession,50.433,29.191
"76",recession,50.856,39.077
"77",goodtimes,50.987,59.327
"78",recession,52.859,24.052
"79",goodtimes,50.545,58.005
"80",recession,48.999,33.029
"81",recession,48.509,37.219
"82",recession,50.854,32.214
"83",recession,48.556,19.797
"84",goodtimes,49.136,54.224
"85",goodtimes,50.300,55.116
"86",recession,50.956,31.475
"87",recession,49.353,28.537
"88",recession,50.079,31.663
"89",goodtimes,51.018,55.650
"90",goodtimes,50.103,51.910
"91",goodtimes,50.916,57.095
"92",recession,49.101,32.104
"93",goodtimes,49.844,61.039
"94",goodtimes,50.426,55.134
"95",recession,51.020,28.835
"96",recession,49.689,37.794
"97",recession,49.646,19.606
"98",goodtimes,49.807,63.780
"99",recession,48.474,22.358
"100",goodtimes,50.137,63.048
"101",recession,48.598,30.658
"102",goodtimes,50.795,54.552
"103",recession,48.599,28.637
"104",recession,51.153,28.908
"105",goodtimes,48.876,53.199
"106",goodtimes,49.683,54.980
"107",recession,51.345,31.475
"108",goodtimes,50.420,58.621
"109",recession,48.902,25.358
"110",goodtimes,49.023,56.485
"111",recession,49.723,24.548
"112",goodtimes,50.732,58.753
"113",goodtimes,49.119,54.777
"114",recession,51.959,34.054
"115",goodtimes,49.258,56.120
"116",goodtimes,51.919,56.117
"117",goodtimes,49.605,56.895
"118",goodtimes,51.207,56.182
"119",goodtimes,51.281,58.807
"120",goodtimes,49.901,64.175
"121",recession,50.235,28.604
"122",recession,51.550,39.250
"123",goodtimes,49.656,58.036
"124",goodtimes,50.385,60.438
"125",goodtimes,49.217,60.807
"126",recession,50.602,31.589
"127",goodtimes,50.811,62.900
"128",goodtimes,48.090,57.402
"129",recession,51.798,25.133
"130",recession,50.067,27.814
"131",goodtimes,50.728,49.104
"132",goodtimes,48.456,59.012
"133",goodtimes,48.569,59.194
"134",recession,49.346,25.473
"135",goodtimes,51.014,58.379
"136",goodtimes,48.240,59.616
"137",goodtimes,48.880,57.956
"138",recession,51.295,30.798
"139",goodtimes,49.665,60.017
"140",recession,48.928,27.909
