"","class_name","gdp","return_on_invest"
"1",recession,50.754,28.959
"2",recession,48.258,31.414
"3",recession,50.985,38.399
"4",recession,48.761,32.552
"5",recession,49.92,32.265
"6",recession,49.186,34.879
"7",recession,48.168,31.048
"8",recession,48.927,27.906
"9",goodtimes,52.019,61.769
"10",recession,49.51,25.941
"11",goodtimes,50.937,58.642
"12",goodtimes,48.639,56.554
"13",recession,49.722,24.934
"14",goodtimes,50.292,59.692
"15",recession,50.248,24.915
"16",goodtimes,50.487,50.243
"17",goodtimes,50.221,57.715
"18",goodtimes,50.723,54.775
"19",goodtimes,50.754,59.297
"20",goodtimes,50.358,47.812
"21",recession,49.308,35.496
"22",goodtimes,48.951,56.887
"23",goodtimes,50.46,56.757
"24",recession,50.356,34.881
"25",recession,50.501,33.094
"26",recession,48.752,29.487
"27",goodtimes,49.11,57.202
"28",goodtimes,47.939,61.045
"29",recession,51.83,24.248
"30",recession,50.491,28.675
"31",goodtimes,49.11,57.744
"32",goodtimes,50.41,69.312
"33",goodtimes,49.802,55.339
"34",goodtimes,51.389,59.94
"35",recession,49.133,30.868
"36",goodtimes,50.052,61.02
"37",recession,50.28,36.977
"38",goodtimes,49.723,54.719
"39",recession,48.169,30.762
"40",recession,52.072,34.69
"41",recession,50.286,30.539
"42",recession,50.132,35.681
"43",recession,50.488,21.798
"44",recession,48.27,32.245
"45",recession,50.678,31.084
"46",recession,49.854,27.088
"47",recession,49.269,28.805
"48",recession,49.579,30.748
"49",recession,50.92,34.346
"50",goodtimes,50.463,60.764
"51",goodtimes,49.917,62.088
"52",goodtimes,51.955,56.868
"53",goodtimes,49.706,58.675
"54",recession,51.788,33.307
"55",goodtimes,49.554,54.825
"56",goodtimes,49.752,62.947
"57",recession,50.009,35.763
"58",goodtimes,49.482,65.785
"59",recession,50.107,30.116
"60",recession,47.513,31.062
"61",goodtimes,49.685,59.09
"62",recession,49.286,39.248
"63",goodtimes,49.899,58.636
"64",recession,48.97,36.352
"65",goodtimes,49.916,60.113
"66",recession,47.901,28.461
"67",recession,51.573,29.875
"68",recession,49.685,27.847
"69",goodtimes,51.743,63.848
"70",goodtimes,48.513,59.036
"71",goodtimes,49.501,58.539
"72",goodtimes,49.396,65.826
"73",goodtimes,48.796,61.099
"74",recession,49.385,26.759
"75",goodtimes,50.944,54.531
"76",goodtimes,49.763,56.679
"77",recession,51.244,25.446
"78",goodtimes,50.593,59.109
"79",goodtimes,49.462,60.932
"80",recession,49.9,25.354
"81",goodtimes,50.515,62.116
"82",goodtimes,49.604,64.138
"83",goodtimes,47.469,61.148
"84",recession,50.227,23.397
"85",recession,51.14,31.749
"86",recession,48.92,27.387
"87",goodtimes,50.027,59.622
"88",recession,51.214,33.003
"89",goodtimes,50.433,62.451
"90",recession,48.408,23.618
"91",goodtimes,50.776,58.044
"92",recession,47.672,26.69
"93",goodtimes,50.63,62.946
"94",recession,49.529,23.926
"95",goodtimes,50.722,61.618
"96",recession,50.92,34.962
"97",goodtimes,49.199,67.676
"98",goodtimes,49.889,65.151
"99",goodtimes,50.12,62.402
"100",goodtimes,49.671,61.26
