Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Moor Park,508563,193509,51.62992995953362,-0.4329130164958966,"6,7",HA6 2JQ
Moorgate,532688,181677,51.51843699583112,-0.08901768741961913,1,EC2M 6TX
Morden,525664,168563,51.40218564474951,-0.1948519795190437,4,SM4 5AZ
Morden Road,525788,169310,51.408871575514766,-0.19280567509339624,"3,4,5,6",SW19 3BX
Morden South,525301,167900,51.39630737175914,-0.2003015597212806,4,SM4 5AN
Mornington Crescent,529193,183359,51.53436199274684,-0.13874434872471417,2,NW1 2JA
Mortlake,520458,175779,51.46816750082646,-0.2672033097597616,3,SW14 8LN
Motspur Park,522581,167724,51.395319236610256,-0.23943974264133794,4,KT3 6JJ
Mottingham,542600,173197,51.43982506175577,0.05032420232974115,4,SE9 4EN
Mudchute,537908,178789,51.491236163479066,-0.01495994488107933,2,E14 9UW
Neasden,521415,185422,51.554627310041155,-0.2501150416936122,3,NW10 1PH
New Addington,538187,162255,51.34259048309321,-0.01738332706935074,"3,4,5,6",CR0 0DE
New Barnet,526502,195996,51.64853648940239,-0.17296971228475674,5,EN5 1QT
New Beckenham,536718,170463,51.41670549342136,-0.03530494925080498,4,BR3 1QW
New Cross,536750,177110,51.47642936493697,-0.03227881144505215,2,SE14 6LD
New Cross Gate,536250,176967,51.475264866034166,-0.039529051848319986,2,SE14 6AR
New Eltham,544005,172999,51.43769077832163,0.07044461868946926,4,SE9 2AB
New Malden,521392,168612,51.4035554892389,-0.25621810234155296,4,KT3 4PX
New Southgate,528672,192218,51.61409343513603,-0.14300977485816477,4,N11 1QH
Newbury Park,544947,188378,51.57563850646377,0.09030315819789672,4,IG2 7RN
Nine Elms,530058,177332,51.48000104922924,-0.12850098283072034,1,SW8 2NA
Norbiton,519424,169495,51.41190888768759,-0.28419994319310604,5,KT2 7AZ
Norbury,530650,169690,51.41118830417269,-0.12279940097347328,3,SW16 3RW
North Acton,520831,181937,51.523432004609894,-0.2597295239222282,"2,3",W3 6UP
North Dulwich,532950,174567,51.45448166721483,-0.08791868027372894,"2,3",SE21 7BX
North Ealing,518816,181243,51.51762181807098,-0.28899354775317115,3,W5 3AF
North Greenwich,539168,179827,51.5002551610895,0.003586259125950833,"2,3",SE10 0PH
North Harrow,513540,188578,51.58463070784392,-0.3626329855990683,5,HA2 7SR
North Sheen,519132,175442,51.46541914451982,-0.28639746196940996,3,TW9 4QA
North Wembley,517663,186198,51.56239579644328,-0.30394821391329097,4,HA0 3NT
Northfields,517051,179296,51.50049115689572,-0.31506481298857175,3,W13 9QU
Northolt,513228,184519,51.54821230018008,-0.3684405875976204,5,UB5 4AA
Northolt Park,513829,185579,51.55761846530492,-0.35943418885315115,5,UB5 4XE
Northumberland Park,534861,191035,51.60201564713907,-0.05413202547173207,3,N17 0HY
Northwick Park,516634,187967,51.578508169653034,-0.3181993860133686,4,HA3 0AT
Northwood,509236,191441,51.611212919581355,-0.42383777619581775,6,HA6 2XL
Northwood Hills,510267,190305,51.600801977914315,-0.40931134805689284,6,HA6 1NZ
Norwood Junction,534001,168193,51.39695420145057,-0.07520985620618181,4,SE25 5AG
Notting Hill Gate,525296,180481,51.50937501801177,-0.19592161622639087,"1,2",W11 3HT
Nunhead,535293,175975,51.466579898861724,-0.05367974248045391,2,SE15 3XE
Oakleigh Park,527001,194800,51.63767609370897,-0.16619496499383593,4,EN5 1BU
Oakwood,529349,195968,51.64763774735996,-0.1318535388133937,5,N14 4UT
Ockendon,559004,182828,51.52199012375081,0.29048348002345253,7,RM15 6PD
Old Street,532764,182474,51.525581330743044,-0.08762295738735129,1,EC1V 9NR
Orpington,545500,165900,51.373520195924534,0.08902890193883431,6,BR6 0SX
Osterley,514529,177094,51.48121623575927,-0.3520960888490031,4,TW7 4PU
Oval,531108,177516,51.48141241737747,-0.11332107512133172,2,SE11 4PP
Oxford Circus,529102,181227,51.51522317440166,-0.1408361701333405,1,W1C 2JS
Paddington,526680,181185,51.51539350022652,-0.17573675026577226,1,W2 1RH
Palmers Green,530925,192798,51.61878657015084,-0.11027249932298475,4,N13 4PN
Park Royal,519074,182274,51.526833556086295,-0.28492891296710476,3,W5 3EL
Parsons Green,525029,176645,51.47495982565945,-0.20112449001225277,2,SW6 4HU
Peckham Rye,534152,176271,51.46951125269604,-0.06998355290619437,2,SE15 5DQ
Penge East,535374,170791,51.419975262275884,-0.0544952646379757,4,SE20 7BQ
Penge West,534952,170567,51.41806283133318,-0.06064576434263841,4,SE20 8NU
Perivale,516404,183270,51.53634129467288,-0.3230704159011666,4,UB6 7NP
Petts Wood,544440,167548,51.38859911569542,0.07448003010016278,5,BR5 1LZ
Phipps Bridge,526534,168717,51.403376431529686,-0.18229678694821205,"3,4,5,6",CR4 3QN
Piccadilly Circus,529612,180625,51.50969653217059,-0.13371159615907627,1,W1J 9HS
Pimlico,529711,178386,51.48955264664939,-0.13310825739138485,1,SW1V 2JA
Pinner,512233,189409,51.59236105660715,-0.38122378173761046,5,HA5 5LZ
Plaistow,540058,183305,51.53128836681778,0.017780641996985185,3,E13 0DY
Plumstead,544803,178820,51.48979256526223,0.08429961697091634,4,SE18 7EA
Ponders End,536097,195599,51.642730637439406,-0.03452510445986845,5,EN3 4LA
Pontoon Dock,541226,180102,51.502216272914424,0.03332570754892505,3,E16 2SB
Poplar,537698,180603,51.507588044837625,-0.017275493292517402,2,E14 0DS
Preston Road,518260,187292,51.57210324779927,-0.29497200748306684,4,HA3 0PS
Prince Regent,541215,180905,51.50943460724026,0.03348857411467715,3,E16 3HE
Pudding Mill Lane,537930,183585,51.534327836050565,-0.012768511944547117,"2,3",E15 2PH
Purfleet,555417,178174,51.48117339669361,0.23677483909718777,7,RM16 1PL
Purley,531500,161497,51.337363370371314,-0.1136135170910838,6,CR8 2AP
Purley Oaks,532503,162594,51.34698918049688,-0.09881533250056317,6,CR2 0ND
Putney,523992,175061,51.46095217815324,-0.21660337079246245,"2,3",SW15 1RT
Putney Bridge,524476,175842,51.46786499705636,-0.20936541430195443,2,SW6 3UH
Queens Park,524612,183239,51.53431231776354,-0.20479814695067167,2,NW6 6HJ
Queens Road Peckham,535015,176825,51.47428461792391,-0.05735497866902937,2,SE15 2JR
Queensbury,518802,189728,51.59388250931327,-0.286331592620629,4,HA8 5NP
Queenstown Road,528763,176738,51.47495888831451,-0.1473553108451531,2,SW8 3RX
Queensway,525883,180615,51.51044892854765,-0.1874199010483689,1,W2 4SS
Rainham,552097,182099,51.517340830335705,0.1906919776381577,6,RM13 9YH
Ravensbourne,538699,170201,51.41387036990734,-0.006937815529845742,4,BR3 5HE
Ravenscourt Park,522558,178711,51.494067596546,-0.23596922986014346,2,W6 0UG
Rayners Lane,512979,187538,51.575396127388515,-0.37106080574871114,5,HA5 5EG
Raynes Park,523206,169303,51.409374971183624,-0.22991293627460938,4,SW20 8NE
Reading,471527,173813,51.458784566812625,-0.9718776209963325,,RG1 1LZ
Rectory Road,534001,186199,51.55876336735922,-0.06838566445429543,2,N16 7QB
Redbridge,541833,188371,51.576366994360605,0.045394044087077395,4,IG4 5BG
Reedham,530835,160821,51.33144151324279,-0.12340262353472173,6,CR8 2DG
Reeves Corner,531895,165726,51.375277028630975,-0.10637977757836906,"3,4,5,6",CR0 1XP
Regents Park,528765,182174,51.523810437772845,-0.1453444097205957,1,NW1 5HA
Richmond,518072,175174,51.46323239395917,-0.30173912870492936,4,TW9 2AZ
Rickmansworth,505717,194605,51.640322241933696,-0.4736845710128753,7,WD3 1QY
Riddlesdown,532497,161001,51.332674670332864,-0.09949366690815283,6,CR8 1HN
Roding Valley,541612,192882,51.61695652081232,0.04402620712663845,4,IG9 6LN
Romford,551377,188455,51.57464189428389,0.18305527427580953,6,RM1 1SX
Rotherhithe,535239,179870,51.501594420702716,-0.0529662962549398,2,SE16 4LF
Royal Albert,542029,180823,51.50849394631005,0.045177145189641374,3,E16 2QD
Royal Oak,525764,181485,51.5182940459234,-0.18882367154685417,2,W2 6ET
Royal Victoria,540139,180833,51.50905526715448,0.017965412588985888,3,E16 1DE
Ruislip,509510,187102,51.572161233876166,-0.4212349155921323,6,HA4 8LD
Ruislip Gardens,510367,185763,51.55995951052218,-0.40929410137403394,5,HA4 6LG
Ruislip Manor,510088,187258,51.573450901149116,-0.41284934443184823,6,HA4 9AA
Russell Square,530207,182122,51.523012836646224,-0.12459019687261923,1,WC1N 1LG
Sanderstead,532855,162743,51.34824610257355,-0.09370849954893394,6,CR2 0PL
Sandilands,533869,165749,51.37502214682385,-0.0780265894240146,"3,4,5,6",CR0 5PN
Selhurst,532993,167636,51.392185625136364,-0.08989903662310264,4,SE25 6LL
Seven Kings,545401,187095,51.56399351215581,0.09631957529138686,4,IG3 8RE
Seven Sisters,533646,188927,51.58336204399537,-0.07246682251889108,3,N15 5LA
Shadwell,534936,180942,51.511300064669385,-0.05691920694185812,2,E1 2QE
Shenfield,561356,195022,51.630873639892386,0.32995227076530625,,CM15 8JD
Shepherds Bush,523741,179904,51.504531795613886,-0.2185191566688487,2,W12 8LH
Shepherds Bush Market,523121,180039,51.50588033819017,-0.22740049041020913,2,W12 7JD
Shoreditch High Street,533501,182258,51.523466695343075,-0.07708742433139697,1,E1 6AW
Shortlands,539399,169300,51.40560237398424,0.0027675443897766973,4,BR2 0JA
Sidcup,546300,172698,51.43439862959479,0.10331535971945431,5,DA15 7AW
Silver Street,533544,192472,51.61524236180803,-0.07258974125866192,4,N18 1QX
Slade Green,552250,176584,51.46774797004993,0.19051838969715912,6,DA8 2NX
Sloane Square,528080,178657,51.492359510480554,-0.15648885605702362,1,SW1W 8BB
Slough,497838,180157,51.51187888370566,-0.5915248252758044,,SL1 1XW
Snaresbrook,540161,188828,51.58089131157066,0.021463927810755047,4,E11 1QE
South Acton,520166,179279,51.49968538827372,-0.27021520326622445,3,W3 0DS
South Bermondsey,535156,178319,51.48767652828431,-0.05475482106707225,2,SE16 2PL
South Croydon,532896,164358,51.36275004887511,-0.09251736279417738,5,CR2 7PA
South Ealing,517605,179437,51.50164352033085,-0.30704023946122333,3,W5 4QB
South Greenford,515462,182991,51.53402700823884,-0.33673747540350063,4,UB6 2WE
South Hampstead,526425,184081,51.54147655809487,-0.17837119811462532,2,NW8 0DJ
South Harrow,514334,186376,51.56467959482167,-0.35189396373160503,5,HA2 8HN
South Kensington,526865,178817,51.494071083255236,-0.17392302133763954,1,SW7 2NB
South Kenton,517350,187153,51.571043947551274,-0.3081429717620929,4,HA9 8QT
South Merton,524917,168662,51.403240220781235,-0.2055502988870153,4,SW20 9JT
South Quay,537636,179853,51.50086357890648,-0.018460692665022115,2,E14 9SH
South Ruislip,511080,185437,51.55688965147795,-0.3991159010068219,5,HA4 6TP
South Tottenham,533697,188599,51.580402471228126,-0.0718559563059047,3,N15 6ND
South Wimbledon,525828,170033,51.41536039779992,-0.19197454409905726,"3,4",SW19 1DE
South Woodford,540577,190026,51.59155266475493,0.02794307837440943,4,E18 1JJ
Southall,512620,179804,51.50595629378949,-0.3787111814415624,4,UB2 4AA
Southbury,534803,196199,51.648433641300066,-0.05298331040026236,5,EN3 4HW
Southfields,524730,173291,51.44488297741004,-0.20660938309093127,3,SW18 5RJ
Southgate,529675,194278,51.63237564173069,-0.1277700463078405,4,N14 5BH
Southwark,531566,180025,51.50385344972166,-0.1057949389250921,1,SE1 8NW
St Helier,525408,167191,51.38991183992137,-0.19901458965509025,4,SM4 6SF
St James Street,536402,188694,51.580608613025774,-0.03280456167946685,3,E17 7PJ
St Johns,537400,176298,51.46897525930413,-0.023240661806141462,2,SE8 4EW
St Margarets,516732,174250,51.4552054673299,-0.3213242418672531,4,TW1 2LH
St Mary Cray,546698,168298,51.39475958639216,0.10721790023828982,6,BR5 3SN
St Pancras,530122,182959,51.5305541987497,-0.12550578105978247,1,NW1 2QP
St. James's Park,529629,179503,51.49960957772611,-0.13387875434112476,1,SW1H 0BD
St. Johns Wood,526742,183352,51.53485412839329,-0.1740648386620702,2,NW8 6DN
St. Pauls,532105,181261,51.514835138739876,-0.09757100011698537,1,EC2V 6AA
Stamford Brook,521913,178738,51.49444956856966,-0.24524630602792208,2,W6 0SB
Stamford Hill,533381,187928,51.57444748083396,-0.07666834157285661,3,N16 5AG
Stanmore,517574,192569,51.619672950483576,-0.3030992875952985,5,HA7 4PD
Star Lane,539148,182091,51.52060426064486,0.004191002628240693,3,E16 4SR
Stepney Green,535566,182149,51.521995758615454,-0.04738252319485509,2,E1 4AQ
Stockwell,530473,176470,51.47215905711563,-0.12284630335652602,2,SW9 9AE
Stoke Newington,533710,186845,51.56463749414495,-0.07233539437869028,2,N16 6YA
Stonebridge Park,519690,184197,51.54398610565641,-0.2754004371046793,3,NW10 0RW
Stoneleigh,522021,164155,51.363363646997875,-0.24870965347339166,5,KT17 2JA
Stratford,538533,184421,51.54169257587399,-0.003751641027190752,3,E15 1AZ
Stratford High Street,538729,184032,51.5381489524464,-0.0010803560037945415,3,E15 3PA
Stratford International,538175,184758,51.5448085230875,-0.008778434012917901,3,E15 2LZ
Strawberry Hill,515500,172502,51.439747278051925,-0.33961772438604887,5,TW1 4PP
Streatham,529946,171303,51.425845648377425,-0.13232549573614677,3,SW16 6HP
Streatham Common,529729,170534,51.41898445090681,-0.13572616403530707,3,SW16 5NT
Streatham Hill,530233,172714,51.43846015875234,-0.1276814805405161,3,SW2 4PA
Sudbury and Harrow Road,516853,185300,51.5544932686619,-0.31592623593724883,4,HA0 2HA
Sudbury Hill,515427,185584,51.55733901102981,-0.3363921085382283,4,HA1 3RA
Sudbury Hill Harrow,515490,185697,51.55834172569072,-0.3354466865621598,4,HA1 3RJ
Sudbury Town,516832,184955,51.55139692710825,-0.3163434799075774,4,HA0 2LA
Sundridge Park,540599,170200,51.413393835270476,0.02036510902919482,4,BR1 3TR
Surbiton,518070,167315,51.3925990366125,-0.30438455443494045,6,KT6 4PE
Surrey Quays,535641,178954,51.49326678162275,-0.04752998752630568,2,SE16 2UE
Sutton,526028,163823,51.35950582407127,-0.19130200904498534,5,SM1 1JA
Sutton Common,525593,165598,51.375554374568246,-0.1969199101341748,4,SM1 3HY
Swanley,551016,168271,51.393385108465736,0.16922535038176267,8,BR8 8JD
Swiss Cottage,526611,184259,51.5430345616616,-0.1756266026411379,2,NW3 6HY
Sydenham,535311,171609,51.42734116410619,-0.05508867076422299,3,SE26 5EU
Sydenham Hill,533548,172145,51.432575758635586,-0.08023020750906708,3,SE21 7HW
Syon Lane,516306,177163,51.481474155405564,-0.32649502836648486,4,TW7 5NT
Tadworth,523097,156199,51.29162747942275,-0.2360080126476625,6,KT20 5SP
Taplow,491579,181340,51.52356084157688,-0.6813848514102004,,SL6 0NU
Tattenham Corner,522593,158140,51.3091809150244,-0.242566269387599,6,KT18 5PR
Teddington,516019,170817,51.424496954268065,-0.3327053305694848,6,TW11 9AA
Temple,530995,180810,51.51104042360467,-0.11372574953125439,1,WC2R 2PH
Thames Ditton,515721,166818,51.388615519946164,-0.33829283096615254,6,KT7 0PA
Theobalds Grove,535933,201119,51.69237253480553,-0.034748134343809224,7,EN8 7BG
Therapia Lane,530290,166843,51.385685581839276,-0.1290171058922472,"3,4,5,6",CR0 3DD
Theydon Bois,545509,199180,51.67255225418,0.10289073688168189,6,CM16 7EU
Thornton Heath,532242,168317,51.398480916027154,-0.10043316453580951,4,CR7 8RX
Tolworth,519834,165603,51.3768428600788,-0.27962011044213986,5,KT5 9NU
Tooting,527969,170591,51.41989637122428,-0.16100247062519113,3,SW17 9JR
Tooting Bec,528015,172366,51.435837804955476,-0.15970049083173754,3,SW17 9AH
Tooting Broadway,527415,171373,51.42704887092591,-0.16868452577766038,3,SW17 0SU
Tottenham Court Road,529774,181354,51.516210657936185,-0.1311104379402324,1,W1D 2DA
Tottenham Hale,534483,189465,51.58799768229062,-0.06018782248556836,3,N17 9LR
Totteridge and Whetstone,526111,193951,51.63024642876388,-0.17935426123339493,4,N20 9QP
Tower Gateway,533725,180809,51.51039252305748,-0.07440987691153345,1,EC3N 1JL
Tower Hill,533566,180805,51.51039415022928,-0.07670119812097691,1,EC3N 4DJ
Tufnell Park,529200,185816,51.55644057500823,-0.13774217405279293,2,N19 5QB
Tulse Hill,531797,172903,51.4397972578558,-0.10512250845882604,3,SE27 9BW
Turkey Street,535129,198903,51.67265358634988,-0.0472299312310293,6,EN3 5TT
Turnham Green,521267,178804,51.49518152685563,-0.2545245642842539,2,W4 1LR
Turnpike Lane,531524,189650,51.59035796825513,-0.1028050405776601,3,N15 3NX
Twickenham,516221,173687,51.450250410920496,-0.3288602200739823,5,TW1 1BD
Twyford,479041,175787,51.47553252815794,-0.8633069929836112,,RG10 9NA
Upminster,556167,186833,51.558763771001516,0.2514008048009922,6,RM14 2TD
Upminster Bridge,555002,186681,51.55771918780094,0.23454189192904223,6,RM12 6PL
Upney,545844,184260,51.53840581666546,0.10153174466413689,4,IG11 9LS
Upper Holloway,529778,186630,51.56362309586845,-0.1291093626941063,2,N19 4DJ
Upper Warlingham,534100,158383,51.308772130153464,-0.07748166156794639,6,CR3 0EP
Upton Park,541204,183931,51.536628259878114,0.03454183972360732,3,E13 9AP
Uxbridge,505698,184161,51.54645372786724,-0.47710154642097474,6,UB8 1JZ
Vauxhall,530366,177978,51.48573560145266,-0.12382995197041927,"1,2",SW8 1SR
Victoria,528941,179131,51.49642371956767,-0.14392070512630392,1,SW1E 5JX
Waddon,531151,164828,51.36737906715266,-0.11739407581295784,5,CR0 4NA
Waddon Marsh,531082,165906,51.37708276115934,-0.11798746414806431,"3,4,5,6",CR0 4XT
Wallington,528841,163985,51.36033129956505,-0.15086383380492027,5,SM6 0DZ
Waltham Cross,536520,200343,51.68525721552798,-0.026564257209644355,7,EN8 7LU
Walthamstow Central,537286,188986,51.58301808337606,-0.019940545005550973,3,E17 7LP
Walthamstow Queens Road,537020,188815,51.58154615511213,-0.02384394330088981,3,E17 7QZ
Wandle Park,531422,165505,51.373400532627585,-0.1132533204383674,"3,4,5,6",CR0 4JS
Wandsworth Common,527719,173530,51.44636533894144,-0.1635369794154477,3,SW12 8NL
Wandsworth Road,529354,176226,51.47022297701061,-0.13903767462851535,2,SW8 4PA
Wandsworth Town,525985,175119,51.46103377041173,-0.1879100356809231,2,SW18 1SU
Wanstead,540685,188176,51.574902199570865,0.02876047243622503,4,E11 2NT
Wanstead Park,540592,185600,51.5517781243521,0.026389943051784676,3,E7 0HU
Wapping,535030,180170,51.50434022750495,-0.05586081435523968,2,E1W 3PA
Warren Street,529253,182272,51.524579764761874,-0.13827833053848032,1,NW1 3AA
Warwick Avenue,526158,182030,51.52310413807906,-0.1829532911134564,2,W9 2PT
Waterloo,531050,179933,51.50314645678346,-0.11325925125819598,1,SE1 7NY
Waterloo East,531332,180054,51.50416843357953,-0.1091536368939238,1,SE1 8NH
Watford,509579,196610,51.6576044159566,-0.41726999672995363,7,WD18 7LE
Watford High Street,511360,196098,51.65265306624417,-0.39169672037794695,8,WD17 2EG
Watford Junction,511023,197340,51.66388236768592,-0.39617194802380823,,WD17 1ET
Wellesley Road,532511,165752,51.375367381230255,-0.09752490808671423,"3,4,5,6",CR0 2DD
Welling,546096,176073,51.464777257657985,0.10177503908920635,4,DA16 3AT
Wembley Central,518214,185039,51.55186429753856,-0.2963923219160409,4,HA9 6AG
Wembley Park,519373,186341,51.563322003491564,-0.2792425481111569,4,HA9 9AA
Wembley Stadium,518924,185366,51.554654104754995,-0.2860464419726446,4,HA9 8BQ
West Acton,519394,181273,51.51776969314101,-0.28065717090448683,3,W3 6UP
West Brompton,525383,178030,51.48732859696135,-0.19553880967042786,2,SW5 9JX
West Croydon,532188,166098,51.378552009432326,-0.10203429230263733,5,CR0 2TA
West Drayton,506124,180122,51.510070447632664,-0.4721760838505147,6,UB7 9DY
West Dulwich,532798,173053,51.440911675311916,-0.09067267591985909,3,SE21 8HN
West Ealing,516690,180749,51.513624683972374,-0.3197829486921899,3,W13 0NQ
West Finchley,525507,191601,51.60926242118551,-0.18891710747921014,4,N3 1NT
West Ham,539202,182974,51.528525530726974,0.005317393832787913,3,E15 3BN
West Hampstead,525524,184726,51.54747402267271,-0.19112658344309522,2,NW6 2LX
West Hampstead Thameslink,525423,184852,51.548628809928914,-0.1925375175501863,2,NW6 1XJ
West Harrow,514163,187957,51.578923661261655,-0.3538466898684307,5,HA1 4HE
West India Quay,537471,180505,51.50676262660098,-0.02058244712808169,2,E14 4ED
