name_id,name_en
"Layanan permainan realitas virtual pada situs web","virtual reality game services on web sites"
"mengatur kompetisi olahraga untuk anak-anak yang membutuhkan untuk tujuan amal","arranging of sports competitions to needy children for charitable purposes"
"mengatur pelatihan olahraga untuk anak-anak yang membutuhkan untuk tujuan amal","arranging of sports training to needy children for charitable purposes"
"mengatur simposium","arranging of symposiums"
"mengatur simposium dan lokakarya pelatihan","arranging of symposiums and training workshops"
"mengatur kursus pelatihan","arranging of training courses"
"mengatur kursus pelatihan di lembaga pengajaran","arranging of training courses in teaching institutes"
"mengatur seminar pelatihan","arranging of training seminars"
"mengatur lokakarya dan seminar","arranging of workshops and seminars"
"mengatur lokakarya dan seminar dalam kesadaran pribadi","arranging of workshops and seminars in personal awareness"
"mengorganisir dan melakukan kompetisi atletik dan permainan di bidang bola basket","organizing and conducting athletic competitions and games in the field of basketball"
"mengorganisir dan melakukan kompetisi atletik dan permainan di bidang sepak bola","organizing and conducting athletic competitions and games in the field of soccer"
"mengorganisir dan melakukan kompetisi atletik dan bertemu di bidang renang","organizing and conducting athletic competitions and meets in the field of swimming"
"mengorganisir dan melakukan acara atletik","organizing and conducting athletic events"
"mengatur dan melakukan acara atletik perguruan tinggi","organizing and conducting college athletic events"
"mengorganisir dan melakukan acara olahraga dan budaya","organizing and conducting of sporting and cultural events"
"mengorganisir dan melakukan kompetisi olahraga","organizing and conducting sports competitions"
"mengorganisir dan mengadakan kejuaraan dan kompetisi skating tokoh","organizing and holding figure skating championships and competitions"
"mengatur dan mengadakan kejuaraan dan kompetisi speed skating","organizing and holding speed skating championships and competitions"
"mengorganisir, mengatur dan melakukan balap mobil","organizing, arranging and conducting of auto races"
"mengorganisir, mengatur dan melakukan balapan sepeda","organizing, arranging and conducting of bicycle races"
"mengorganisir, mengatur dan melakukan pacuan kuda","organizing, arranging and conducting of horse races"
"sulih suara bahasa asing","foreign-language dubbing"
"instruksi kebugaran fisik","physical fitness instruction"
"pelatihan kebugaran fisik","physical fitness training"
"pendidikan kesehatan fisik","physical health education"
"instruksi pilates","pilates instruction"
"layanan planetarium","planetarium services"
"perencanaan dan pelaksanaan pesta [hiburan]","planning and conducting of parties [entertainment]"
"puisi dan penulisan lirik","poem and lyric writing"
"layanan klub polo","polo club services"
"layanan melukis potret","portrait painting services"
"layanan pengeditan pasca-produksi di bidang musik, video, dan film","post-production editing services in the field of music, videos and films"
"layanan pengeditan pasca-produksi di bidang video dan film","post-production editing services in the field of videos and films"
"pelatihan praktis di bidang pengelasan","practical training in the field of welding"
"persiapan kursus dan ujian pendidikan","preparation of educational courses and examinations"
"persiapan subtitle untuk film","preparation of subtitles for motion pictures"
"layanan pelatihan pendidikan komputer","computer education training services"
"melakukan kelas latihan boot camp","conducting boot camp exercise classes"
"melakukan pengajaran pembelajaran jarak jauh di tingkat perguruan tinggi","conducting distance learning instruction at the college level"
"melakukan pengajaran pembelajaran jarak jauh di tingkat pascasarjana","conducting distance learning instruction at the graduate level"
"melakukan pengajaran pembelajaran jarak jauh di tingkat dasar","conducting distance learning instruction at the primary level"
"melakukan pembelajaran pembelajaran jarak jauh di tingkat menengah","conducting distance learning instruction at the secondary level"
"melakukan acara hiburan, acara budaya, acara olahraga langsung, acara pendidikan, dan kegiatan hiburan dan budaya","conducting entertainment events, cultural events, live sports events, educational events, and entertainment and cultural activities"
"melakukan kelas latihan","conducting exercise classes"
