name_id,name_en
"poros untuk kendaraan darat",-
"breket box",-
"pelindung kaki untuk kereta dorong bayi ",-
"tas yang disesuaikan untuk kereta dorong bayi ",-
"kereta sepeda",-
"sepeda roda tiga",-
"casis untuk kendaraan darat","chassis for land vehicles"
"tanda belok untuk kendaraan darat","turn signals for land vehicles"
"penutup stir kendaraan",-
"roda kemudi untuk kendaraan darat","steering wheels for land vehicles"
"ban untuk kendaraan","tires for vehicles"
"Komstering,  untuk kendaraan","Steer Bearing"
"terpal diadaptasi [berbentuk] untuk digunakan dengan kendaraan","tarpaulins adapted [shaped] for use with vehicles"
"penutup samping untuk kendaraan roda dua","side covers for two-wheeled vehicles"
"gril mobil","car grille"
"tutup roda tengah","centre wheel cap"
"penutup mesin (kap mobil)","engine cover"
"jendela mobil (depan & belakang)","car window (front & rear)"
"poros, gandar atau gelendong (spindles) [kendaraan darat]","shafts, axles or spindles [land vehicles]"
"bantalan (bearings) [kendaraan darat]","bearings [land vehicles]"
"kopling poros atau penyambung poros [kendaraan darat]","shaft couplings or connectors [land vehicles]"
"peredam kejut [kendaraan darat]","shock absorbers [land vehicles]"
"pegas [kendaraan darat]","springs [land vehicles]"
"rem [kendaraan darat]","brakes [land vehicles]"
"kendaraan sel bahan bakar","fuel cell vehicles"
"tutup nap roda untuk kendaraan darat","hub caps for land vehicles"
"tangki bensin untuk kendaraan darat","gasoline tanks for land vehicles"
"penutup untuk tangki bensin (gas) kendaraan","caps for vehicle petrol (gas) tanks"
"rangka untuk kendaraan darat","frames for land vehicles"
"jeruji untuk kendaraan darat","spokes for land vehicles"
"standar untuk kendaraan darat","stands for land vehicles"
"rantai untuk kendaraan darat","chains for land vehicles"
"pembawa barang untuk kendaraan darat","luggage carriers for land vehicles"
"tempat barang untuk kendaraan","luggage holders for vehicles"
"kursi untuk kendaraan darat","seats for land vehicles"
"rantai penggerak dan sabuk untuk kendaraan darat","driving chains and belts for land vehicles"
"bak engkol untuk kendaraan darat","crank cases for land vehicles"
"selat pelindung untuk sepeda motor (sayap (fairing) untuk sepeda motor)","cowl for motorcycles [motorcycle fairing]"
"klakson elektrik untuk kendaraan","electric horns for vehicles"
"Kendaraan UTV (utility task vehicles)","side-by-side vehicles"
"Gerobak minuman","beverage drinks"
"Gerobak pasir",wheelbarrow
"Gerobak sampah","garbage cart"
"Gerobak pasir mesin","engine sand carts"
Kereta,train
ECU,-
"Kereta api","railway vehicles"
"tutup roda",-
"penutup ban untuk kendaraan","tire covers for vehicles"
"tas yang disesuaikan untuk kereta dorong bayi ",-
"kereta sepeda",-
"sepeda roda tiga",-
"Penutup kereta bayi",-
"tutup pelindung kereta bayi",-
"kap untuk kereta bayi",-
"pelindung kaki untuk kereta dorong bayi ",-
