name_id,name_en
"gulungan perhiasan","jewelry rolls"
"bagian muka jam","watch face"
"Kotak untuk arloji (presentasi)",-
"BATU AGAT",-
"CAMPURAN LOGAM MULIA",-
"TEMPAT ABU ROKOK DARI LOGAM MULIA UNTUK PEROKOK",-
"SILINDER (PEMBUATAN JAM DAN JAM TANGAN)",-
"KERANJANG DARI LOGAM MULIA UNTUK KEPERLUAN RUMAH TANGGA",-
"PENITI HIAS",-
"GESPER DARI LOGAM",-
"PERANGKAT MINUMAN (BAKI) DARI LOGAM MULIA",-
"TEMPAT LILIN BUKAN DARI LOGAM MULIA",-
"ALAT PEMADAM NYALA LILIN DARI LOGAM MULIA",-
"TEMPAT TEMPAT JARUM DARI LOGAM MULIA",-
"KOTAK KOTAK UNTUK PEMBUATAN JAM DAN ARLOJI",-
"DOMPET JALA RANTAI DARI LOGAM MULIA",-
KRANOSKOPI,-
"PIPA CERUTU DARI LOGAM",-
"MEISN JAM",-
"PERALATAN MINUM KOPI DARI LOGAM MULIA",-
"UANG LOGAM",-
"WADAH-WADAH KEPERLUAN RUMAH TANGGA DARI LOGAM MULIA",-
"WADAH-WADAH KEPERLUAN DI DAPUR DARI LOGAM MULIA",-
"emas, tidak ditempa atau ditempa","gold, unwrought or beaten"
"koin emas",-
"rumah jam","clock housings"
jam,clocks
"jam dan arloji listrik","clocks and watches, electric"
"per jam","clock springs"
"bagian komponen untuk jam dan arloji","component parts for clocks and watches"
"jam kontrol [jam utama]","control clocks [master clocks]"
zamrud,emeralds
"cincin jari","finger rings"
"batu permata",gemstones
"gelang emas","gold bracelets"
"anting-anting emas","gold earrings"
"anting-anting berlapis emas","gold-plated earrings"
"perhiasan topi","hat jewelry"
"kalung, bukan dari logam mulia",-
"cincin, bukan dari logam mulia",-
"anting, bukan dari logam mulia",-
"gelang, bukan dari logam mulia",-
"BOOTL KECIL DARI LOGAM MULIA TEMPAT MINYAK DAN CUKA , KANCING LENGAN KEMEJA",-
"HIASAN TOPI (DARI LOGAM MULIA)",-
"BARANG DARI EMAS TIRUAN",-
"BATANG LEMPENGAN DARI LOGAM MULIA",-
"JARUM DARI LOGAM MULIA",-
"DOMPET DARI LOGAM",-
RADIUM,-
"PERLENGKAPAN MAKAN MINUM DARI PERAK",-
"BENANG PERAK",-
"SARINGAN DARI LOGAM MULIA",-
"TALI ARLOJI",-
"KEPINGAN PERUNGGU",-
"TEMPAT TUSUK GIGI DARI LOGAM MULIA",-
"BAKI DARI LOGAM MULIA UNTUK KEPERLUAN RUMAH TANGGA",-
"PERHIASAN KECIL (BARANG-BARANG PERHIASAN)",-
"Gantungan kunci untuk hiasan","Decorative key fobs"
"gantungan kunci","Key chains"
"Kotak-kotak untuk jam-jam","Cases for clocks"
"Pengencang ikat leher","Necktie fasteners"
"Pengencang dasi","Tie fasteners"
"Ikatan dasi","Tie tacks"
"Ban jam tangan","Watch band"
"gading [untuk perhiasan]",-
"gantungan kunci [pernik-pernik atau gantungan kunci]",-
"kotak untuk perhiasan","cases for jewelry"
"perhiasan dari batu ambar","amber jewelry"
"kotak untuk arloji [presentasi]",-
"piringan (pada permukaan jam) pada pembuatan jam dinding dan jam tangan)","Dials (clock and watch making)"
"kotak untuk jam dan pembuatan arloji",-
"mekanisme jam tangan","watch movements"
"lempeng jam tangan","watch dials"
"Jam-jam dinding elektronik dan jam-jam tangan","Electronic clocks and watches"
"Kotak-kotak jam tangan","Watch cases"
"Kawat dari logam mulia (perhiasan)","Wire of precious metal (jewelry)"
"kristal jam tangan","watch crystals"
"batu-batuan mulia dan tiruannya","precious stones and their imitations"
