name_id,name_en
"celana kasual","casual pants"
"pakaian santai","casual wear"
"pakaian kucing",catsuits
"gaun seremonial untuk wanita","ceremonial dresses for women"
"Celana pelindung kaki",chaps
chasubles,chasubles
"topi koki","chefs' hats"
"chemises (jenis pakaian dalam untuk wanita)",chemises
"chemisettes [bagian depan baju]","chemisettes [shirt fronts]"
"tutup kepala anak-anak","children's headgear"
"kaus kaki anak-anak","children's socks"
"pakaian dalam anak-anak","children's underwear"
"gaun pembaptisan","christening gowns"
"jubah pembaptisan","christening robes"
"chullos [topi dengan penutup telinga]","chullos [hats with earflaps]"
"cleat untuk melekat pada sepatu olahraga","cleats for attachment to sports shoes"
"sepatu panjat","climbing footwear"
"kain tadah liur bayi","cloth bibs"
"kain oto untuk pengunjung dewasa","cloth bibs for adult diners"
"kain oto untuk anak-anak","cloth bibs for children"
pakaian,clothing
"pakaian yang mengandung zat pelangsing","clothing containing slimming substances"
"pakaian, alas kaki, tutup kepala","clothing, footwear, headgear"
"pakaian untuk bayi","clothing for babies"
"pakaian untuk anak laki-laki","clothing for boys"
"pakaian untuk anak-anak","clothing for children"
"pakaian untuk skating","clothing for figure skating"
"pakaian untuk judo","clothing for judo"
"pakaian untuk seni bela diri","clothing for martial arts"
"pakaian untuk pria","clothing for men"
"pakaian untuk pria, wanita dan anak-anak","clothing for men, women and children"
"pakaian untuk olahraga","clothing for sports"
"pakaian untuk berselancar","clothing for surfing"
"pakaian untuk wanita","clothing for women"
"pakaian, bukan pakaian pelindung, memasukkan elemen atau bahan reflektif atau neon","clothing, not being protective clothing, incorporating reflective or fluorescent elements or material"
"pakaian dari bulu tiruan","clothing of artificial fur"
"pakaian dari kulit","clothing of leather"
"pakaian dari kulit atau imitasi dari kulit","clothing of leather or imitations of leather"
"mantel untuk pria","coats for men"
"mantel untuk wanita","coats for women"
"gaun koktail","cocktail dresses"
"kemeja berkerah","collared shirts"
"kerah [pakaian]","collars [clothing]"
"celana tempur","combat pants"
"kombinasi [pakaian]","combinations [clothing]"
corselets,corselets
"korset [pakaian dalam]","corsets [underclothing]"
"kostum untuk digunakan dalam permainan berdandan anak-anak","costumes for use in children's dress up play"
"kostum untuk digunakan dalam permainan peran","costumes for use in role-playing games"
"sweater katun","cotton sweaters"
"sweater leher kru","crew neck sweaters"
"tas sepatu kriket","cricket shoe bags"
"sepatu kriket","cricket shoes"
"tanaman legging","crop leggings"
"jaket [pakaian bisnis]","jackets [business wear]"
"jaket [pakaian]","jackets [clothing]"
"jaket untuk pengendara sepeda motor","jackets for motorcyclists"
"Bakiak dan sandal gaya Jepang","Japanese-style clogs and sandals"
"Sandal terasa gaya Jepang","Japanese-style felt sandals"
"Sandal kulit gaya Jepang","Japanese-style leather sandals"
"Celana jeans",jeans
"jeogori [pakaian dasar dasar dari pakaian tradisional Korea]","jeogori [basic upper garment of Korean traditional clothes]"
Jerkins,jerkins
"jikatabi [Alas kaki kerja berujung Jepang]","jikatabi [Japanese split-toed work footwear]"
"celana untuk tunggang kuda",jodhpurs
"puncak jogging","jogging tops"
"juban [kaus untuk kimono]","juban [undershirts for kimonos]"
"seragam karate","karate uniforms"
"pakaian kendo","kendo outfits"
"sapu tangan [pakaian]","kerchiefs [clothing]"
"celana khaki","khakis [clothing]"
"stoking setinggi lutut","knee-high stockings"
"pakaian bawahan rajut","knit bottoms"
"topi rajut","knit hats"
"baju rajut","knit shirts"
"sepatu bayi rajutan","knitted baby shoes"
"topi rajutan","knitted caps"
"sarung tangan rajutan","knitted gloves"
"atasan rajut","knit tops"
"koma-geta [bakiak kayu rendah]","koma-geta [low wooden clogs]"
"koshihimo [tali pinggang untuk kimono]","koshihimo [waist strings for kimonos]"
"koshimaki [kaus untuk kimono]","koshimaki [undershirts for kimonos]"
"mantel laboratorium","laboratory coats"
"sepatu renda","lace boots"
