name_id,name_en
"olesan berbahan dasar kacang","peanut-based spreads"
"Hasil produksi susu","milk products"
"sediaan macadamias (kacang-kacangan), siap sedia","macadamias, prepared"
"lassi (minuman yoghurt)",lassi
"Minyak kenari (kacang)","walnut oil"
"sup kental tomat","tomato purée"
"Suet (lemak pada pada sapi) untuk makanan","suet for food"
"Buah-buahan dalam kaleng",-
"ghee (minyak samin)",ghee
"yoghurt untuk membuat custard","custard style yoghurts"
"chorizo (sosis babi)",chorizo
"bahan pengganti daging berbahan dasar larva serangga","insect larvae based meat substitutes"
"headcheese (keju tanpa lemak)",headcheese
"goji berry (buah), diolah","goji berries, processed"
"abalon, tidak hidup","abalones, not live"
"abura-age [potongan tahu goreng]","abura-age [pieces of fried tofu]"
"acai berry, diolah","acai berries, processed"
"bubur buah acai","acai fruit pulp"
"susu acidophilus","acidophilus milk"
"kacang adzuki, diawetkan","adzuki beans, preserved"
"ajvar [paprika yang diawetkan]","ajvar [preserved peppers]"
"albumen untuk keperluan kuliner","albumen for culinary purposes"
"susu albumin","albumin milk"
"alginat untuk keperluan kuliner","alginates for culinary purposes"
"pulses (kacang-kacangan), diolah","pulses, processed"
"labu, diolah","pumpkin, processed"
"minyak biji labu","pumpkin seed oil"
"minyak biji labu untuk keperluan kuliner","pumpkin seed oil for culinary purposes"
"quark [produk susu]","quark [dairy product]"
quenelles,quenelles
"sayuran cepat beku","quick-frozen vegetables"
"quince (buah), diolah","quinces, processed"
"minyak biji quinoa","quinoa seed oil"
kismis,raisins
"minyak lobak","rapeseed oil"
"raspberry, beku","raspberries, frozen"
"selai rasberi","raspberry jam"
"Ratatouille (makanan vegetarian)",ratatouille
"buah mentah, kupas","raw fruit, peeled"
"sediaan buah merah","raw fruit, prepared"
"buah mentah, diiris","raw fruit, sliced"
"sayuran mentah, kupas","raw vegetables, peeled"
"sediaan sayuran merah","raw vegetables, prepared"
"sayuran mentah, diiris","raw vegetables, sliced"
"sup kacang merah","red bean soup"
"kismis merah, beku","red currants, frozen"
"selai prem merah","red plum jam"
"kakap merah (ikan), tidak hidup","red snapper, not live"
"kacang digoreng ulang","refried beans"
