name_id,name_en
"Sampo rambut 3-in-1","3-in-1 hair shampoos"
"kain dan kertas abrasif","abrasive cloth and paper"
"pasta abrasif","abrasive pastes"
"sediaan abrasif","abrasive preparations"
"bahan kikis",abrasives
"lembar abrasif","abrasive sheets"
"Sediaan penghapus perekat","adhesive removers"
"perekat untuk membubuhkan alis palsu","adhesives for affixing false eyebrows"
"perekat untuk membubuhkan bulu mata palsu","adhesives for affixing false eyelashes"
"perekat untuk membubuhkan rambut palsu","adhesives for affixing false hair"
"perekat untuk membubuhkan kuku palsu","adhesives for affixing false nails"
"perekat untuk membubuhkan kuku atau bulu mata palsu","adhesives for affixing false nails or eyelashes"
"perekat untuk keperluan kosmetik","adhesives for cosmetic purposes"
"cologne setelah bercukur","after-shave cologne"
"krim after-shave (non-obat)","after-shave creams (non-medicated)"
"emulsi setelah bercukur","after-shave emulsions"
"gel untuk dipakai setelah bercukur","after-shave gel"
"losion setelah bercukur","after-shave lotions"
"susu pelembab setelah bercukur","after-shave moisturising milk"
"minyak after-sun untuk keperluan kosmetik","after-sun oils for cosmetic purposes"
"gel tahan lama untuk keperluan kosmetik","age retardant gels for cosmetic purposes"
"lotion tahan usia","age retardant lotions"
"lotion tahan usia untuk keperluan kosmetik","age retardant lotions for cosmetic purposes"
"krim pengurang bintik penuaan","age spot reducing creams"
"krim pengurang bintik penuaan untuk keperluan kosmetik","age spot reducing creams for cosmetic purposes"
"sediaan pengharum ruangan","air fragrancing preparations"
"sediaan pembersihan serba guna","all-purpose cleaning preparations"
"sediaan pembersihan serba guna untuk barang-barang perokok","all-purpose cleaning preparations for smokers' articles"
"tongkat kapas serbaguna untuk penggunaan pribadi","all-purpose cotton sticks for personal use"
"susu almond untuk keperluan kosmetik","almond milk for cosmetic purposes"
"minyak almond","almond oil"
"sabun almond","almond soap"
"sabun lidah buaya","aloe soap"
"gel lidah buaya untuk keperluan kosmetik","aloe vera gels for cosmetic purposes"
"sediaan lidah buaya untuk keperluan kosmetik","aloe vera preparations for cosmetic purposes"
"batu tawas [astringen]","alum stones [astringents]"
"ambergris [parfum]","ambergris [perfume]"
"amber [parfum]","amber [perfume]"
"amonia [alkali atsiri] [deterjen]","ammonia [volatile alkali] [detergent]"
"sediaan kosmetik anti-penuaan","anti-aging cosmetic preparations"
"krim anti-penuaan untuk keperluan kosmetik","anti-aging creams for cosmetic purposes"
"pelembab anti-penuaan","anti-aging moisturizers"
"sediaan perawatan kulit anti-penuaan","anti-aging skin care preparations"
"obat kumur anti rongga, bukan untuk keperluan medis","anti-cavity mouth rinses, not for medical purposes"
"antiperspiran untuk penggunaan pribadi","antiperspirants for personal use"
"sabun antiperspirant","antiperspirant soap"
"antiperspiran [perlengkapan mandi]","antiperspirants [toiletries]"
"semprotan antistatik untuk pakaian","antistatic sprays for clothing"
"krim anti-kerut untuk keperluan kosmetik","anti-wrinkle creams for cosmetic purposes"
"krim aromaterapi","aromatherapy creams"
"minyak esensial aromatik","aromatic essential oils"
"minyak aromatik","aromatic oils"
"minyak aromatik untuk mandi","aromatic oils for the bath"
"astringen untuk keperluan kosmetik","astringents for cosmetic purposes"
"lilin mobil","automobile wax"
"losion susu untuk perawatan tubuh bayi","baby body milk"
"mandi busa bayi","baby bubble bath"
"lotion bayi [perlengkapan mandi]","baby lotions [toiletries]"
"baby oil [perlengkapan mandi]","baby oils [toiletries]"
"tisu bayi untuk keperluan kosmetik","baby wipes for cosmetic purposes"
"tisu bayi diresapi dengan sediaan pembersihan","baby wipes impregnated with cleaning preparations"
"esensi badian","badian essence"
"balsem, selain untuk keperluan medis","balms, other than for medical purposes"
"dasar untuk parfum bunga","bases for flower perfumes"
"stiker seni tubuh","body art stickers"
"pelembab dan pelembut kulit tubuh","body butter"
"body butter untuk keperluan kosmetik","body butter for cosmetic purposes"
"krim tubuh","body creams"
"krim tubuh untuk keperluan kosmetik","body creams for cosmetic purposes"
"sabun krim tubuh","body cream soap"
"deodoran tubuh","body deodorants"
"deodoran tubuh dalam bentuk pil","body deodorants in pill form"
"deodoran tubuh [wewangian]","body deodorants [perfumery]"
"emulsi tubuh untuk keperluan kosmetik","body emulsions for cosmetic purposes"
"tubuh gemerlap","body glitter"
"losion untuk tubuh","body lotions"
"body lotion untuk keperluan kosmetik","body lotions for cosmetic purposes"
"make-up tubuh","body make-up"
"krim masker tubuh untuk keperluan kosmetik","body mask creams for cosmetic purposes"
"lotion masker tubuh","body mask lotions"
"lotion masker tubuh untuk keperluan kosmetik","body mask lotions for cosmetic purposes"
"bubuk masker tubuh","body mask powder"
