name_id,name_en
"sediaan antibakteri untuk penggunaan hewan","antibacterial preparations for veterinary use"
"sabun antibakteri","antibacterial soap"
"semprotan antibakteri","antibacterial sprays"
"krim antibiotik","antibiotic creams"
"cuci tangan dengan antibiotik","antibiotic hand wash"
"salep antibiotik","antibiotic ointments"
"sediaan antibiotik","antibiotic preparations"
"antibiotik untuk ikan","antibiotics for fish"
"antibiotik untuk digunakan dalam kedokteran gigi","antibiotics for use in dentistry"
"antibiotik untuk keperluan dokter hewan","antibiotics for veterinary purposes"
"tablet antibiotik","antibiotic tablets"
"antibodi untuk keperluan medis","antibodies for medical purposes"
"sediaan anti-kanker","anti-cancer preparations"
"obat kumur anti rongga untuk keperluan medis","anti-cavity mouth rinses for medical purposes"
antikoagulan,anticoagulants
"sediaan anticryptogamic","anticryptogamic preparations"
antidepresan,antidepressants
anti-dermoinfectives,anti-dermoinfectives
"sediaan anti-diabetes","anti-diabetic preparations"
"penangkal racun",antidotes
antiemetik,antiemetics
"sediaan farmasi antiepilepsi","antiepileptic pharmaceutical preparations"
"lotion anti-terbang","anti-fly lotions"
"krim antijamur untuk keperluan medis","antifungal creams for medical purposes"
"obat antijamur","antifungal medication"
"sediaan antijamur","antifungal preparations"
"sediaan antihemoroid","antihemorrhoidal preparations"
antihistamin,antihistamines
"minyak anti-horsefly","anti-horsefly oils"
antihipertensi,antihypertensives
"sediaan anti-infeksi untuk keperluan dokter hewan","anti-infective preparations for veterinary purposes"
anti-infeksi,anti-infectives
anti-inflamasi,anti-inflammatories
"plester analgesik anti-inflamasi","anti-inflammatory analgesic plasters"
"sediaan anti-inflamasi dan antipiretik","anti-inflammatory and antipyretic preparations"
"gel anti-inflamasi","anti-inflammatory gels"
"salep anti-inflamasi","anti-inflammatory ointments"
"salep anti-inflamasi","anti-inflammatory salves"
"semprotan anti-inflamasi","anti-inflammatory sprays"
"semprotan anti serangga","anti-insect sprays"
"salep anti-gatal [antipruritik]","anti-itch ointments [antipruritics]"
"agen antileprotik","antileprotic agents"
"cuci tangan anti-mikroba","anti-microbial hand wash"
"sediaan antimikroba untuk menghambat dekomposisi mikrobiologis","antimicrobial preparations for inhibiting microbiological decomposition"
"pil antioksidan","antioxidant pills"
"antioksidan [suplemen makanan]","antioxidants [dietary supplements]"
"kerah antiparasit untuk hewan","antiparasitic collars for animals"
"minyak almond untuk keperluan farmasi","almond oil for pharmaceutical purposes"
"pelumas seksual pribadi berbasis lidah buaya","aloe vera-based personal sexual lubricants"
"sediaan lidah buaya untuk keperluan farmasi","aloe vera preparations for pharmaceutical purposes"
"aluminium asetat untuk keperluan farmasi","aluminium acetate for pharmaceutical purposes"
"sediaan asam amino untuk keperluan dokter hewan","amino acid preparations for veterinary purposes"
"asam amino untuk keperluan medis","amino acids for medical purposes"
"asam amino untuk keperluan dokter hewan","amino acids for veterinary purposes"
anestesi,anaesthetics
analeptik,analeptics
