name_id,name_en
"tikar tali anyaman untuk lereng ski","mats of woven rope for ski slopes"
"mushiro [tikar jerami]","mushiro [straw mats]"
"keset lantai anti selip untuk digunakan di bawah peralatan","non-slip floor mats for use under apparatus"
"tikar tanpa selip","non-slip mats"
"tikar non-slip untuk mandi","non-slip mats for baths"
"tikar non-slip untuk mandi","non-slip mats for showers"
"selimut yoga non-slip","non-slip yoga blankets"
"handuk yoga non-slip","non-slip yoga towels"
"karpet oriental non-anyaman","non-woven oriental rugs"
"karpet oriental","oriental rugs"
"tikar latihan pribadi","personal exercise mats"
"tikar makan hewan peliharaan","pet feeding mats"
"penutup lantai plastik","plastic floor coverings"
sajadah,"prayer rugs"
"dukungan karpet utama","primary carpet backing"
"dicetak wallpaper dekoratif","printed decorative wallpaper"
"penutup lantai pelindung","protective floor coverings"
"tikar buluh","reed mats"
"penutup permukaan keras tangguh untuk lantai, dinding dan permukaan lainnya","resilient hard surface coverings for floors, walls and other surfaces"
"tikar dan bantalan pelatihan rumah yang dapat digunakan kembali untuk hewan peliharaan","reusable house training mats and pads of fabric for pets"
"penutup lantai karet","rubber floor coverings"
"tikar karet","rubber mats"
"karpet runner","runners [mats]"
"karpet kulit domba","sheepskin rugs"
"lembaran plastik untuk menutupi dinding","sheets of plastic for covering walls"
"keset kamar mandi","shower mats"
"tali untuk membawa tikar yoga","straps for carrying a yoga mat"
"hiasan dinding bergaya permadani, bukan dari tekstil","tapestry-style wall hangings, not of textile"
"tikar tatami","tatami mats"
"penutup lantai tekstil","textile floor coverings"
"pelapis dinding tekstil","textile wallcoverings"
"wallpaper tekstil","textile wallpaper"
"penutup lantai vinil","vinyl floor coverings"
"tikar lantai vinil untuk penggunaan dalam ruangan","vinyl floor mats for indoor use"
"tikar lantai vinil untuk penggunaan di luar ruangan","vinyl floor mats for outdoor use"
"penutup dinding vinil","vinyl wall coverings"
"wallpaper vinil","vinyl wallpaper"
"penutup dinding","wall coverings"
"penutup dinding, bukan dari tekstil","wall coverings, not of textile"
"penutup dinding dari kain","wall coverings of cloth"
"penutup dinding gabus","wall coverings of cork"
"penutup dinding dari kertas","wall coverings of paper"
"penutup dinding dari plastik","wall coverings of plastic"
"hiasan dinding [non-tekstil]","wall hangings [non-textile]"
wallpaper,wallpaper
"wallpaper dalam sifat penutup dinding perekat dekoratif ukuran kamar","wallpaper in the nature of room-size decorative adhesive wall coverings"
"wallpaper mural","wallpaper murals"
"wallpaper dengan penutup tekstil","wallpaper with a textile covering"
"tikar pintu kayu","wooden door mats"
"tikar anyaman jerami","woven straw mats"
"tikar gulat","wrestling mats"
"selimut yoga","yoga blankets"
"tikar yoga","yoga mats"
"tikar lantai anti-kelelahan","anti-fatigue floor mats"
"penutup lantai anti selip untuk digunakan pada tangga","anti-slip floor coverings for use on staircases"
"tikar anti selip","anti-slip floor mats"
"tikar anti-statis","anti-static floor mats"
"tikar antistatik untuk penggunaan yang tidak aman","antistatic mats for non-safety use"
"karpet area","area rugs"
"karpet bulu buatan","artificial fur rugs"
"rumput buatan","artificial turf"
"rumput buatan untuk meletakkan di permukaan area rekreasi","artificial turf for laying on the surfaces of recreational areas"
"tas untuk tikar yoga","bags for yoga mats"
"keset kamar mandi","bath mats"
"keset kamar mandi dari kertas","bath mats of paper"
"keset kamar mandi dari plastik","bath mats of plastic"
"keset kamar mandi dari karet","bath mats of rubber"
"keset kamar mandi","bath mats of textile"
"tikar pantai","beach mats"
"perbatasan menjadi hiasan dinding dalam sifat penutup dinding","borders being wall decorations in the nature of wall coverings"
"lapisan bawah karpet","carpet backing"
karpet,carpeting
"inlays karpet","carpet inlays"
karpet,carpets
"karpet untuk mobil","carpets for automobiles"
"karpet untuk kendaraan","carpets for vehicles"
"karpet, permadani, tikar dan anyaman, linoleum dan bahan lainnya untuk menutupi lantai yang ada","carpets, rugs, mats and matting, linoleum and other materials for covering existing floors"
"ubin karpet","carpet tiles"
"ubin karpet untuk menutupi lantai","carpet tiles for covering floors"
"ubin karpet yang terbuat dari tekstil","carpet tiles made of textile"
"tikar kursi [pelindung lantai bawah kursi]","chair mats [under-chair floor protector]"
"gabus untuk digunakan sebagai penutup lantai atau dinding","cork for use as a floor or wall covering"
"penutup lantai tahan slip dekoratif dalam bentuk lembaran","decorative slip-resistant floor coverings in sheet form"
"bantalan lantai penyerap sekali pakai","disposable absorbent floor pads"
"tikar pintu","door mats"
"tikar pintu karet India","door mats of India rubber"
"tikar pintu dari karet atau tekstil India","door mats of India rubber or textile"
"tikar pintu dari tekstil","door mats of textile"
"tikar latihan","exercise mats"
"penutup dinding kain","fabric wall coverings"
tikar,"floor mats"
"tikar lantai, tahan api, untuk perapian dan barbecue","floor mats, fire-resistant, for fireplaces and barbecues"
"tikar untuk mobil","floor mats for automobiles"
"tikar untuk aplikasi industri","floor mats for industrial applications"
"tikar lantai dari gabus","floor mats of cork"
"tikar kertas","floor mats of paper"
"tikar plastik","floor mats of plastic"
"tikar karet","floor mats of rubber"
"alas lantai dari tekstil untuk digunakan di rumah","floor mats of textile for use in the home"
"tikar lantai dari vinyl","floor mats of vinyl"
"karpet lantai","floor rugs"
"tikar busa untuk digunakan pada permukaan area bermain","foam mats for use on play area surfaces"
"karpet bulu","fur rugs"
"goza [tikar jerami]","goza [rush mats]"
"tikar latihan gimnasium","gymnasium exercise mats"
"penutup lantai gimnasium","gymnasium floor coverings"
"tikar gimnasium","gymnasium mats"
"hana-mushiro [tikar jerami dengan pola bunga]","hana-mushiro [rush mats with floral patterns]"
"penutup permukaan keras untuk lantai","hard surface coverings for floors"
"tikar lantai kios kuda","horse stall floor mats"
linolium,linoleum
"linoleum untuk digunakan di lantai","linoleum for use on floors"
tikar,mats
"tikar dan tikar, linoleum dan bahan lainnya untuk menutupi lantai yang ada","mats and matting, linoleum and other materials for covering existing floors"
"tikar menjadi penutup lantai","mats being floor coverings"
matras,mats
"permadani di lantai dasar","rugs in the nature of floor runners"
"tikar jerami","straw mats"
"wallpaper bergaris tekstil","textile lined wallpaper"
"penutup lantai","floor coverings"
"tikar untuk kendaraan","floor mats for vehicles"
"tikar tekstil","floor mats of textiles"
Gribig,-
"rumput buatan","Artificial grass"
Karpet-karpet,rugs
"Karpet untuk hewan ternak",-
"Karpet PVC (Polyvinyl chloride)",-
Permadani,-
"Matras dalam",undermats
"tikar bulu","floor mats of fur"
"keset karpet","Carpet mat"
"tikar duduk pribadi","personal sitting mats"
"lapisan karpet","carpet underlay"
"mosen [permadani oriental non-anyaman]","mosen [non-woven oriental rugs]"
Keset,-
"hiasan dinding dekoratif, bukan dari tekstil","decorative wall hangings, not of textile"
"tikar dan bantalan kain untuk pelatihan toilet [alat bantu pelatihan untuk hewan]","mats and pads of fabric for toilet training [training aids for animals]"
"Pelapis lantai untuk Olahraga",-
"tikar senam","gymnastic mats"
"karpet mobil","automobile carpets"
"ubin karpet yang terbuat dari tekstil","carpet tiles made of textiles"
"bantalan karpet","carpet padding"
"keset kamar mandi kain","fabric bath mats"
