name_id,name_en
"pelembab jari untuk membantu menghitung uang kertas serta menyusun dan menyortir kertas.","finger moisteners"
"alas kecil ditempatkan di bawah gelas untuk melindungi permukaan dari kondensasi","drip mats of card"
"alas kecil ditempatkan di bawah gelas dari dari kertas","drip mats of paper for glasses"
"pulpen untuk membuat sketsa","felt-tip pens"
"karya seni kardus","works of art of cardboard"
"karya seni kertas","works of art of paper"
"karya seni dari kertas atau karton","works of art of paper or cardboard"
"kertas pembungkus","wrapping paper"
"gelang untuk retensi alat tulis","wristbands for the retention of writing instruments"
"penghapus papan tulis","writing board erasers"
"buku tulis","writing books"
"kuas tulis","writing brushes"
"kuas untuk melukis kaligrafi","writing brushes for calligraphy"
"tempat kuas tulis","writing brush holders"
"Tempat alat tulis menulis [set]","writing cases [sets]"
"kotak alat tulis (alat tulis)","writing cases [stationery]"
"tinta tulis","writing ink"
"alat tulis","writing instruments"
"bahan untuk tulis menulis","writing materials"
"menulis atau menggambar buku","writing or drawing books"
"alas meja tulis","writing pads"
"kertas tulis","writing paper"
"kertas tulis dan amplop [alat tulis]","writing paper and envelopes [stationery]"
"pemegang kertas tulis","writing paper holders"
"alat kertas tulis","writing paper pads"
"pena untuk menulis","writing pens"
"menulis papan tulis","writing slates"
"peralatan menulis yang terbuat dari serat","writing utensils made of fibers"
"kertas xerografis","xerographic paper"
"perencana tahun","year planners"
"Iklan (Barang Cetakan)","Advertisement (Printed Matter)"
"Panduan (Barang Cetakan)","Guides (Printed Matter)"
"bahan kemasan dari karton atau kertas untuk es","packaging materials of cardboard or paper for ices"
"plakat kertas atau karton","placards of paper or cardboard"
"tabung karton untuk dokumen","mailing tubes of cardboard"
"kertas kado",-
"kantong plastik PP","PP plastic bags"
"kantong belanja dari plastik","shopping bags of plastic"
"kertas catatan berperekat","adhesive note paper"
"kupon diskon dicetak","printed discount coupons"
"kertas HVS","HVS paper"
"kartu-kartu terbuat dari kertas","cards of paper"
"kantong plastik PE","PE plastic bags"
"pedoman referensi perangkat keras komputer tercetak",-
"panji-panji kertas","paper pennants"
"paku payung","drawing pins"
"mural di alam decalcomanias","murals in the nature of decalcomanias"
