name_id,name_en
"pemasangan, pemeliharaan dan perbaikan alat dan instrumen veteriner","installation, maintenance and repair of veterinary apparatus and instruments"
"instalasi, pemeliharaan dan perbaikan peralatan pasokan air","installation, maintenance and repair of water supply apparatus"
"perbaikan peralatan dan instalasi untuk menghasilkan daya","repair of apparatus and installations for generating power"
"perbaikan peralatan untuk penerangan, pemanasan, penghasil uap, pemasakan, pendinginan, pengeringan, ventilasi, pasokan air dan keperluan sanitasi","repair of apparatus for lighting, heating, steam generating, cooking, refrigerating, drying, ventilating, water supply and sanitary purposes"
"perbaikan pengumpan ternak otomatis","repair of automatic livestock feeders"
"perbaikan mobil","repair of automobiles"
"perbaikan as roda untuk mesin","repair of axles for machines"
"perbaikan as roda untuk kendaraan","repair of axles for vehicles"
"perbaikan tas atau kantong","repair of bags or pouches"
"perbaikan tas atau kantong dan memberikan informasi yang berkaitan dengannya","repair of bags or pouches and providing information relating thereto"
"perbaikan alat mandi","repair of bathing apparatus"
"perbaikan bak mandi","repair of bath tubs"
"perbaikan sepeda","repair of bicycles"
"perbaikan sepeda dan memberikan informasi yang berkaitan dengannya","repair of bicycles and providing information relating thereto"
"perbaikan peralatan biliar","repair of billiard equipment"
"perbaikan peralatan biliar dan memberikan informasi yang berkaitan dengannya","repair of billiard equipment and providing information relating thereto"
"perbaikan teropong","repair of binoculars"
"perbaikan pabrik dan mesin biogas","repair of biogas plants and machines"
"perbaikan sistem rem untuk kendaraan","repair of brake systems for vehicles"
"perbaikan bangunan","repair of buildings"
"perbaikan kamera","repair of cameras"
"perbaikan mesin udara terkompresi","repair of compressed air machines"
"perbaikan perangkat keras komputer","repair of computer hardware"
"perbaikan komputer","repair of computers"
"perbaikan konstruksi dan mesin pertanian","repair of construction and agricultural machinery"
"perbaikan peralatan konstruksi","repair of construction equipment"
"perbaikan mesin konstruksi","repair of construction machines"
"perbaikan mesin konstruksi dan peralatan konstruksi","repair of construction machines and construction equipment"
"perbaikan peralatan listrik konsumen","repair of consumer electrical appliances"
"perbaikan elektronik konsumen","repair of consumer electronics"
"perbaikan peralatan memasak","repair of cooking apparatus"
"perbaikan kopling untuk kendaraan darat","repair of couplings for land vehicles"
"perbaikan komputer yang rusak","repair of damaged computers"
"perbaikan alat pengering","repair of drying apparatus"
"perbaikan peralatan listrik","repair of electrical equipment"
"perbaikan peralatan listrik dan instalasi elektroteknik","repair of electrical equipment and electrotechnical installations"
"perbaikan hot plate listrik","repair of electric hot plates"
"perbaikan peralatan elektronik","repair of electronic apparatus"
"perbaikan peralatan bisnis elektronik","repair of electronic business equipment"
"perbaikan sistem cash register elektronik","repair of electronic cash register systems"
"perbaikan lift","repair of elevators"
"perbaikan pabrik dan mesin produksi energi","repair of energy production plants and machines"
"perbaikan instalasi pasokan energi","repair of energy supply installations"
"perbaikan mesin faksimili","repair of facsimile machines"
"perbaikan filter dan bagiannya","repair of filters and parts thereof"
"pemasangan furnitur untuk toko","installation of furniture for stores"
"pemasangan pipa gas dan air","installation of gas and water pipelines"
"pemasangan sistem deteksi gas","installation of gas detection systems"
"instalasi pasokan gas dan peralatan distribusi","installation of gas supply and distribution apparatus"
"pemasangan kaca di konservatori, jendela, pintu dan rumah kaca","installation of glass in conservatories, windows, doors and greenhouses"
"pemasangan perangkat keras dan kabel untuk akses Internet","installation of hardware and cables for Internet access"
"pemasangan perangkat keras untuk jaringan komputer","installation of hardware for computer networks"
"pemasangan perangkat keras untuk sistem komputer","installation of hardware for computer systems"
"pemasangan perangkat keras untuk akses Internet","installation of hardware for Internet access"
"pemasangan alat pemanas dan pendingin","installation of heating and cooling apparatus"
"pemasangan alat pemanas","installation of heating apparatus"
