name_id,name_en
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang CSR & Humanitarian",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang konsultan jasa dan produk",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang Industri Emas dan Logam Mulia",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang Industri Perhotelan, Resort & Pariwisata",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri minyak dan gas (Oil & Gas) hulu hilir",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang Industri Pertambangan dan Mineral",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang Industri Pembangkit Listrik (Power Plant) Energi Baru dan Terbarukan",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang Industri Pengolahan Air",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri Rumah Sakit, Program Kesehatan dan  Farmasi;",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri Properti (Real Property)",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri Kawasan Industri dan Manufaktur (Manufacturing)",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri Kontraktor dan Pemasok (Supplier)",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri IT dan Telekomunikasi",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang Industri Agribisnis",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri Pendidikan",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri Maritim",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri Pasar Moderen",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri Media dan Penyiaran (Broadcasting)",-
"Penyimpanan dan perdagangan emas","Gold storage and Gold Trading"
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri Kawasan Kota Mandiri",-
"Investasi dan mengatur penyaluran keuangan untuk Sektor Bisnis perusahaan dan mitra bisnis yang bergerak di bidang industri Transportasi darat, laut dan udara",-
"memberikan informasi dan data mengenai bursa efek","providing information and data concerning stock exchanges"
"memberikan informasi dan penelitian di bidang keuangan dan investasi keuangan","providing information and research in the field of finance and financial investments"
"memberikan informasi, konsultasi dan saran di bidang keuangan","providing information, consultancy and advice in the field of finance"
"memberikan informasi, konsultasi dan saran di bidang penilaian keuangan","providing information, consultancy and advice in the field of financial valuation"
"memberikan informasi, konsultasi dan saran di bidang perbankan investasi","providing information, consultancy and advice in the field of investment banking"
"memberikan informasi di bidang keuangan pribadi","providing information in the field of personal finance"
"memberikan informasi di bidang real estat melalui Internet","providing information in the field of real estate via the Internet"
"memberikan informasi di bidang keuangan dan investasi","providing information in the fields of finance and investment"
"memberikan informasi tentang penjualan komoditas","providing information on commodity sales"
"memberikan informasi tentang pasar opsi melalui situs web","providing information on options markets via a web site"
"memberikan informasi, peringkat, ulasan, dan rekomendasi yang berkaitan dengan obligasi melalui situs web","providing information, ratings, reviews and recommendations relating to bonds via a web site"
"memberikan informasi, peringkat, ulasan, dan rekomendasi yang berkaitan dengan instrumen keuangan melalui web","providing information, ratings, reviews and recommendations relating to financial instruments via a web"
"memberikan informasi, peringkat, ulasan, dan rekomendasi yang berkaitan dengan reksa dana melalui situs web","providing information, ratings, reviews and recommendations relating to mutual funds via a web site"
"memberikan informasi, peringkat, ulasan, dan rekomendasi yang berkaitan dengan stok melalui situs web","providing information, ratings, reviews and recommendations relating to stocks via a web site"
"jasa jaminan keuangan untuk penggantian biaya yang terjadi akibat kecelakaan kendaraan","financial guarantee services for the reimbursement of expenses incurred as a result of vehicle accident"
"jasa jaminan keuangan untuk penggantian biaya yang terjadi sebagai akibat kerusakan kendaraan","financial guarantee services for the reimbursement of expenses incurred as a result of vehicle breakdown"
"jaminan keuangan [layanan jaminan]","financial guarantees [surety services]"
"informasi keuangan","financial information"
"jasa informasi dan konsultasi keuangan","financial information and advisory services"
"informasi keuangan di bidang cryptocurrency","financial information in the field of cryptocurrency"
"informasi keuangan, manajemen dan layanan analisis","financial information, management and analysis services"
"informasi keuangan disediakan secara online dari basis data komputer atau Internet","financial information provided on-line from a computer database or the Internet"
"layanan informasi keuangan yang berkaitan dengan cryptocurrency","financial information services relating to cryptocurrency"
"analisis investasi keuangan dan penelitian saham","financial investment analysis and stock research"
"investasi keuangan dan layanan konsultasi","financial investment and advisory services"
"jasa keuangan, investasi dan asuransi","financial, investment and insurance services"
"keuangan, investasi dan manajemen aset real estat","financial, investment and real estate asset management"
"investasi keuangan di bidang real estat","financial investment in the field of real estate"
"manajemen investasi keuangan","financial investment management"
"jasa investasi keuangan","financial investment services"
"jasa investasi keuangan dalam kaitannya dengan industri percetakan","financial investment services in relation to the printing industry"
"jasa investasi keuangan di bidang sekuritas, reksadana dan manajemen portofolio","financial investment services in the fields of securities, mutual funds and portfolio management"
"konsultasi pinjaman keuangan","financial loan consultancy"
"manajemen keuangan","financial management"
"manajemen keuangan, analisis dan layanan informasi","financial management, analysis and information services"
"manajemen keuangan dan broker dana berjangka","financial management and brokerage of futures funds"
"manajemen keuangan dan layanan broker di bidang ekuitas, futures, saham, obligasi dan sekuritas lainnya","financial management and brokerage services in the field of equities, futures, stocks, bonds and other securities"
"manajemen keuangan dan layanan konsultasi","financial management and consultancy services"
"manajemen keuangan dan layanan investasi yang berkaitan dengan ekuitas","financial management and investment services relating to equities"
"manajemen keuangan dan layanan investasi yang berkaitan dengan sekuritas","financial management and investment services relating to securities"
"manajemen keuangan dan layanan investasi yang berkaitan dengan sekuritas dan ekuitas","financial management and investment services relating to securities and equities"
"manajemen keuangan biaya hunian bangunan","financial management of building occupancy expenses"
"manajemen keuangan proyek bangunan","financial management of building projects"
"manajemen keuangan proyek renovasi bangunan","financial management of building renovation projects"
"pengelolaan keuangan skema investasi kolektif","financial management of collective investment schemes"
"pengelolaan keuangan modal pengembangan","financial management of development capital"
"manajemen keuangan dari program imbalan kerja mengenai asuransi dan keuangan","financial management of employee benefit plans concerning insurance and finance"
"pengelolaan keuangan program pensiun karyawan","financial management of employee pension plans"
"manajemen keuangan dari rencana stok karyawan","financial management of employee stock plans"
"manajemen keuangan dari program imbalan kesejahteraan karyawan","financial management of employee welfare benefit plans"
