name_id,name_en
simbal,cymbals
"bass ganda","double basses"
"drum bantalan penjaga kebisingan","drum noise guard pads"
dulcimer,dulcimers
"Sompret (Terompet)",-
Tanjidor,-
"Waditra (Instrumen Pengiring Tarian Topeng)",-
"papan tempat dudukan efek gitar/bass","pedal board"
"alat untuk menaikkan posisi efek pedal di pedal board","pedal riser"
"kotak kayu untuk instrumen/efek pedal",hardcase
"Aksesori untuk alat musik, yaitu, sandaran dagu, poros pin ujung","Accessories for musical instruments, namely, chin rests, endpin shafts"
"Aksesori untuk alat musik, yaitu, bantalan bahu, jangkar pin ujung, perhentian pin ujung, roda bass, rem untuk roda bass, kit rem untuk roda bass terutama terdiri dari rem, baut poros, dan mur pengunci","Accessories for musical instruments, namely, shoulder cushions, endpin anchors, endpin stops, bass wheels, brakes for bass wheels, brake kits for bass wheels primarily comprising brake, shaft bolt, and locknut"
Gedug,-
"Rebana Biang",-
"Rebana Lima",-
"ga-ya-geum [Sitar Korea dengan dua belas senar]","ga-ya-geum [Korean zither with twelve strings]"
"kecapi [alat musik]","lutes being musical instruments"
"gitar pedal baja","pedal steel guitars"
saksofon,saxophones
"string, buluh, pasak dan pedal untuk alat musik","strings, reeds, pegs and pedals for musical instruments"
"garpu tala","tuning forks"
"alat musik tiup","wind instruments"
"drum dan instrumen perkusi","drums and percussion instruments"
"huqin [Biola Tiongkok]","huqin [Chinese violins]"
marimba,marimbas
ocarinas,ocarinas
plektrum,plectrums
"gitar baja","steel guitars"
"lonceng tubular","tubular bells"
"pipa angin untuk organ","wind pipes for organs"
"Mangkuk bernyanyi (alat musik), terbuat dari logam, kuningan dan kristal","Singing bowl (musical instrument) made of metal, brass and crystal"
"Mangkuk bernyanyi piramida merkaba (alat musik), terbuat dari kristal dan tembaga","Singing bowl merkaba pyramid (musical instrument) made of crystal and copper"
"Koshi chimes (lonceng tubular dari kayu sebagai alat musik)","Koshi chimes (musical tubular bells made of wood being musical instruments)"
"Gendang tradisional","Traditional drums"
Tabla,Tabla
Jimbe,Djembe
"Gong tradisional","Traditional gongs"
"Drum lidah baja (alat musik)","Steel tongue drum (musical instrument)"
"Ting Sha (alat musik)","Ting Sha (musical instument)"
"Sukong (Alat Musik Dengan Senar Dawai)",-
"Penyangga lembar musik dan penyangga untuk alat musik","music stands and stands for musical instruments"
"organ elektronik","electronic organs"
"pick untuk alat musik","picks for musical instruments"
"tali gitar","guitar straps"
akordeon,accordions
"gitar bass akustik","acoustic bass guitars"
"gitar akustik","acoustic guitars"
"bachi [Plectrum Jepang]","bachi [Japanese plectrums]"
"tas khusus diadaptasi untuk memegang alat musik","bags specially adapted for holding musical instruments"
"balalaikas [alat musik petik]","balalaikas being stringed musical instruments"
"balalaikas alat musik petik","balalaikas [stringed musical instruments]"
"seruling bambu","bamboo flutes"
bandonion,bandonions
"barrel (alat musik)","barrel organs"
"pedal drum bass","bass drum beaters"
"bass drum","bass drums"
"stik drum bass","bass drumsticks"
"gitar bass","basses being musical instruments"
"bass [alat musik]","basses [musical instruments]"
"bass  alat musik","bass guitars"
bassoon,bassoons
"saluran angin untuk alat musik","bellows for musical instruments"
"biwa [kecapi Jepang]","biwa [Japanese lutes]"
"drum bongo","bongo drums"
"Alat penggesek untuk alat musik","bows for musical instruments"
"instrumen musik tiup logam","brass instruments"
"buccin [terompet]","buccins [trumpets]"
capo,capos
"carillon [alat musik]","carillons being musical instruments"
"alat musik carillons","carillons [musical instruments]"
