name_id,name_en
"pengumpulan dan pemilahan limbah dan sampah","collecting and sorting of waste and trash"
"perawatan dan pengolahan kain","treatment and processing of fabrics"
"jasa konsultasi untuk daur ulang botol plastik","consulting services for recycling of plastic bottles"
"penyediaan informasi tentang daur ulang botol plastik","provision of information on plastic bottle recycling"
"Jasa fabrikasi pembuatan keramik",-
"pembuatan kustom prosthetics","custom manufacture of prosthetics"
"pembuatan kustom selimut","custom manufacture of quilts"
"pembuatan alat khusus untuk orang lain","custom manufacture of tools for others"
"pembuatan wig kustom","custom manufacture of wigs"
"pembuatan kustom","custom manufacturing"
"pembuatan kustom signage iklan","custom manufacturing of advertising signage"
"pembuatan kustom kendaraan aeronautika dan luar angkasa untuk orang lain","custom manufacturing of aeronautical and space vehicles for others"
"pembuatan kustom kendaraan udara untuk orang lain","custom manufacturing of aircraft vehicles for others"
"pembuatan kustom spanduk dan bendera","custom manufacturing of banners and flags"
"pembuatan roti kustom","custom manufacturing of bread"
"pembuatan kustom tanda kepatuhan","custom manufacturing of compliance signs"
"pembuatan kustom decals dan label","custom manufacturing of decals and labels"
"pembuatan kustom pameran dan display","custom manufacturing of exhibits and displays"
"pembuatan kustom tanda dan gambar interaktif","custom manufacturing of interactive signs and graphics"
"pembuatan kustom produk desain interior","custom manufacturing of interior design products"
"pembuatan kustom tampilan titik pembelian","custom manufacturing of point of purchase displays"
"pembuatan kustom bungkus produk","custom manufacturing of product wraps"
"pembuatan kustom sistem propulsi untuk kendaraan luar angkasa untuk orang lain","custom manufacturing of propulsion systems for aerospace vehicles for others"
"pembuatan kustom sistem propulsi untuk pod mesin pesawat terbang untuk orang lain","custom manufacturing of propulsion systems for aircraft engine pods for others"
"pembuatan kustom sistem propulsi untuk motor dan mesin untuk orang lain","custom manufacturing of propulsion systems for motors and engines for others"
"pembuatan kustom sistem propulsi untuk unit pendorong untuk orang lain","custom manufacturing of propulsion systems for thruster units for others"
"pembuatan kustom sistem propulsi untuk pembalik dorong untuk orang lain","custom manufacturing of propulsion systems for thrust reversers for others"
