name_id,name_en
"layanan penyiaran video","video broadcasting services"
"transmisi data elektronik dengan penyiaran video","electronic transmission of data by video broadcasting"
"layanan panggilan yang diaktifkan suara","voice-activated dialling services"
"layanan pesan suara","voice mail services"
"layanan protokol suara melalui internet [VoIP]","voice over Internet Protocol [VoIP] services"
"layanan transmisi suara","voice transmission services"
"layanan konferensi web","web conferencing services"
"layanan olahpesan web","web messaging services"
"layanan komunikasi broadband nirkabel","wireless broadband communication services"
"penyiaran nirkabel","wireless broadcasting"
"layanan telepon seluler nirkabel","wireless cellular phone services"
"layanan pesan digital nirkabel","wireless digital messaging services"
"transmisi data elektronik nirkabel","wireless electronic transmission of data"
"transmisi elektronik nirkabel dari faksimili","wireless electronic transmission of facsimiles"
"transmisi gambar elektronik nirkabel","wireless electronic transmission of images"
"transmisi informasi elektronik nirkabel","wireless electronic transmission of information"
"transmisi elektronik nirkabel dari sinyal suara, data, faksimili, gambar dan informasi","wireless electronic transmission of voice signals, data, facsimiles, images and information"
"layanan Wireless Private Exchange Exchange [PBX]","wireless Private Branch Exchange [PBX] services"
"transfer data nirkabel melalui telepon seluler digital","wireless transfer of data via digital mobile telephony"
"transfer data nirkabel melalui Internet","wireless transfer of data via the Internet"
"layanan pesan suara nirkabel","wireless voice mail services"
"layanan kawat","wire service"
"penyewaan fasilitas penyiaran radio dan televisi","rental of radio and television broadcasting facilities"
"penyewaan peralatan siaran radio","rental of radio broadcasting equipment"
"penyewaan kapasitas transmisi satelit","rental of satellite transmission capacity"
"penyewaan smartphone","rental of smartphones"
"penyewaan alat dan instalasi telekomunikasi","rental of telecommunication apparatus and installations"
"penyewaan perangkat dan peralatan telekomunikasi yang memungkinkan koneksi ke jaringan","rental of telecommunication devices and equipment enabling connection to networks"
"penyewaan peralatan telekomunikasi","rental of telecommunication equipment"
"penyewaan peralatan telekomunikasi, termasuk telepon dan alat faksimili","rental of telecommunication equipment, including telephones and facsimile apparatus"
"penyewaan fasilitas telekomunikasi","rental of telecommunication facilities"
"penyewaan saluran telekomunikasi","rental of telecommunications lines"
"penyewaan alat telepon","rental of telephone apparatus"
"penyewaan bilik telepon","rental of telephone booths"
"persewaan telepon","rental of telephones"
"penyewaan set telepon, faksimili, dan peralatan komunikasi lainnya","rental of telephone sets, facsimile and other communication equipment"
"penyewaan alat dan instrumen teleprocessing dan komunikasi komputer","rental of teleprocessing and computer communication apparatus and instruments"
"penyewaan peralatan siaran televisi","rental of television broadcasting equipment"
"penyewaan peralatan konferensi video","rental of video conferencing equipment"
"penyewaan fasilitas konferensi video","rental of video conferencing facilities"
"transmisi suara, gambar, sinyal dan data satelit, kabel dan jaringan","satellite, cable and network transmission of sounds, images, signals and data"
