name_id,name_en
"Ubin lantai dari logam","floor tiles of metal"
"tangki penyimpanan cairan logam","fluid storage tanks of metal"
"foil logam untuk kemasan","foils of metal for packaging"
"foil logam untuk membungkus","foils of metal for wrapping"
"Kertas logam untuk pembungkusan dan pengepak","foils of metal for wrapping and packaging"
"pintu lipat logam","folding doors of metal"
"Cetakan besi dari logam","foundry molds of metal"
"rangka logam untuk bangunan","frames of metal for building"
"Kerangka dari logam untuk bangunan","framework of metal for building"
"selang bahan bakar minyak logam","fuel oil hoses of metal"
"Roda perabot dari logam","furniture casters of metal"
"gabions kawat baja","gabions of steel wire"
"Galena (bijih)","galena [ore]"
"lembaran baja galvanis","galvanized steel sheets"
"rol pintu garasi logam","garage door rollers of metal"
"pintu garasi logam","garage doors of metal"
"taman gudang logam","garden sheds of metal"
"taman saham logam","garden stakes of metal"
"botol gas dari logam","gas bottles of metal"
"tangki penyimpanan gas dari logam","gas storage tanks of metal"
"gerbang kait dan mata logam","gate hooks and eyes of metal"
"gerbang kait logam","gate latches of metal"
"Pintu gerbang dari logam","gates of metal"
"gerbang logam untuk fasilitas parkir mobil","gates of metal for car parking facilities"
"gerbang logam untuk taman mobil atau parkir","gates of metal for car parks or parking lots"
"penghenti gerbang dari logam","gate stops of metal"
"gazebo logam","gazebos of metal"
"tujuan umum penyimpanan sampah logam","general purpose metal storage bins"
"penyimpanan sampah tujuan umum dari logam","general purpose storage bins of metal"
"wadah penyimpanan tujuan umum dari logam","general purpose storage containers of metal"
germanium,germanium
"Alat pematri emas","gold solder"
"emblem tas golf dari logam","golf bag tags of metal"
"batang pencengkram dari logam","grab bars of metal"
"nisan makam non logam mulia","grave markers of non-precious metal"
"Lempengan batu nisan dari logam","grave slabs of metal"
"Rangka rumah kaca dari logam","greenhouse frames of metal"
"rumah kaca logam","greenhouses of metal"
"Rumah kaca dari logam yang dapat diangkut","greenhouses of metal, transportable"
"kisi-kisi logam","grilles of metal"
"Pelindung rel dari logam untuk rel kereta api","guard rails of metal for railways"
"panduan rel untuk mobil lift","guide rails for elevator cars"
"panduan rel logam","guide rails of metal"
"kurung selokan logam","gutter brackets of metal"
"talang logam","gutters of metal"
"Hafnium (seltium)","hafnium [celtium]"
borgol,handcuffs
"tiang bendera genggam logam","hand-held flagpoles of metal"
"keranjang belanja supermarket genggam logam","hand-held supermarket shopping baskets of metal"
"taman logam gulungan selang tangan dioperasikan","hand-operated metal garden hose reels"
"pegangan tangan logam","handrails of metal"
"pegangan tangan dari logam untuk tangga","handrails of metal for stairs"
"solder keras","hard solder"
"Kuningan, kasar atau setengah dikerjakan","brass, unwrought or semi-wrought"
"Batang logam untuk patri","brazing alloys"
"Kawat las alumunium","brazing rods"
"batang baja yang cerah","bright steel bars"
"Karya seni terbuat dari perunggu","bronzes [works of art]"
"gesper dari logam biasa [hardware]","buckles of common metal [hardware]"
"bahan bangunan dari logam","building materials of metal"
"panel bangunan dari logam","building panels of metal"
"cetakan peluru logam","bullet molds of metal"
