code,name,description
A,"Pertanian, Kehutanan dan Perikanan","Kategori ini mencakup semua kegiatan ekonomi/lapangan usaha, yang meliputi pertanian tanaman pangan, perkebunan, hortikultura, peternakan, pemanenan hasil hutan serta penangkapan dan budidaya ikan/biota air. Kategori ini juga mencakup jasa penunjang masing-masing kegiatan ekonomi tersebut."
B,"Pertambangan dan Penggalian","Kategori ini mencakup kegiatan ekonomi/lapangan usaha pengambilan mineral dalam bentuk alami, yaitu padat (batu bara dan bijih logam), cair (minyak bumi) atau gas (gas alam). Kegiatan ini dapat dilakukan dengan metode yang berbeda seperti pertambangan dan penggalian di permukaan tanah atau dibawah tanah, pengoperasian sumur pertambangan, penambangan di dasar laut dan lain-lain. Kategori ini juga mencakup kegiatan tambahan untuk penyiapan barang tambang dan galian mentah untuk dipasarkan seperti pemecahan, pengasahan, pembersihan, pengeringan, sortasi bijih logam, pencairan gas alam dan aglomerasi bahan bakar padat."
C,"Industri Pengolahan","Kategori ini meliputi kegiatan ekonomi/lapangan usaha di bidang perubahan secara kimia atau fisik dari bahan, unsur atau komponen menjadi produk baru. Bahan baku industri pengolahan berasal dari produk pertanian, kehutanan, perikanan, pertambangan atau penggalian seperti produk dari kegiatan industri pengolahan lainnya. Perubahan, pembaharuan atau rekonstruksi yang pokok dari barang secara umum diperlakukan sebagai industri pengolahan. Unit industri pengolahan digambarkan sebagai pabrik, mesin atau peralatan yang khusus digerakkan dengan mesin dan tangan. Termasuk kategori industri pengolahan di sini adalah unit yang mengubah bahan menjadi produk baru dengan menggunakan tangan, kegiatan maklon atau kegiatan penjualan produk yang dibuat di tempat yang sama di mana produk tersebut dijual dan unit yang melakukan pengolahan bahan-bahan dari pihak lain atas dasar kontrak."
D,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin","Kategori ini mencakup kegiatan ekonomi/lapangan usaha pengadaan tenaga listrik, gas alam, uap panas, air panas dan sejenisnya melalui jaringan, saluran atau pipa infrastruktur permanen. Dimensi jaringan/infrastruktur tidak dapat ditentukan dengan pasti, termasuk kegiatan pendistribusian listrik, gas, uap panas dan air panas serta sejenisnya dalam lokasi pabrik atau bangunan tempat tinggal. Kategori ini juga mencakup pengoperasian mesin pembangkit listrik dan gas, yang menghasilkan, mengontrol dan menyalurkan tenaga listrik atau gas. Juga mencakup pengadaan uap panas dan udara dingin/sistem tata udara. Termasuk kegiatan produksi es baik untuk kebutuhan konsumsi maupun kebutuhan lainnya. Kategori ini tidak mencakup pengoperasian sarana air bersih dan pembuangan limbah/kotoran, lihat golongan pokok 36 dan 37. Juga tidak mencakup (khususnya jarak jauh) angkutan gas melalui saluran pipa."
E,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi","Kategori ini mencakup kegiatan ekonomi/lapangan usaha yang berhubungan dengan treatment air. Kategori ini juga mencakup treatment berbagai bentuk limbah dan sampah, seperti limbah dan sampah padat atau bukan yang berasal dari rumah tangga dan industri, yang dapat mencemari lingkungan. Hasil dari proses pengolahan limbah dan sampah dapat dibuang atau menjadi input dalam proses produksi lainnya."
F,"Konstruksi","Kategori ini mencakup kegiatan ekonomi/lapangan usaha di bidang konstruksi, yaitu kegiatan konstruksi umum dan konstruksi khusus pekerjaan bangunan gedung dan bangunan sipil. Kegiatan konstruksi mencakup pekerjaan baru, perbaikan, penambahan dan perubahan, pendirian bangunan atau struktur prafabrikasi di lokasi proyek dan juga konstruksi yang bersifat sementara. Kegiatan konstruksi umum berupa konstruksi bangunan hunian, bangunan kantor, pertokoan, dan bangunan lainnya. Sedangkan konstruksi bangunan sipil seperti jalan kendaraan bermotor, jalan raya, jembatan, terowongan, jalan rel, lapangan udara, pelabuhan dan bangunan air lainnya, sistem irigasi, sistem limbah, fasilitas industri, jaringan pipa dan jaringan listrik, fasilitas olahraga, dan lain-lain. Kegiatan konstruksi khusus, seperti penyiapan lahan, instalasi gedung dan penyelesaian gedung dan lain-lain. Pekerjaan konstruksi dapat dilakukan atas nama sendiri atau atas dasar balas jasa/kontrak. Sebagian pekerjaan dan dimungkinkan keseluruhan pekerjaan konstruksi dapat disubkontrakan. Unit yang melakukan subkontrak kegiatan konstruksi diklasifikasikan di sini. Kategori ini mencakup juga kegiatan perbaikan bangunan gedung dan bangunan sipil. Kategori ini dibedakan menjadi konstruksi lengkap bangunan gedung (Golongan Pokok 41), konstruksi lengkap bangunan sipil (Golongan Pokok 42), dan juga kegiatan konstruksi khusus, jika hanya melakukan sebagian proses konstruksi (Golongan Pokok 43). Persewaan peralatan konstruksi dengan operatornya diklasifikasikan sebagai kegiatan konstruksi khusus (Golongan pokok 43). Kategori ini juga mencakup pengembangan proyek konstruksi untuk bangunan gedung atau bangunan sipil dengan menggabungkan semua unsur keuangan, teknik dan fisik untuk mewujudkan proyek konstruksi dengan tujuan untuk dijual. Jika proyek konstruksi dari kegiatan tersebut dilakukan tidak untuk dijual, tetapi untuk dioperasikan (yaitu ruangan dalam bangunan tersebut disewakan, kegiatan industri pengolahan dalam pabrik), maka diklasifikasikan sesuai dengan kegiatan operasionalnya, yaitu real estat atau industri pengolahan."
G,"Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor","Kategori ini meliputi kegiatan ekonomi/lapangan usaha di bidang perdagangan besar dan eceran (yaitu penjualan tanpa perubahan teknis) dari berbagai jenis barang, dan memberikan imbalan jasa yang mengiringi penjualan barang-barang tersebut. Baik penjualan secara grosir (perdagangan besar) maupun eceran merupakan tahap akhir dalam pendistribusian barang dagangan. Kategori ini juga mencakup reparasi mobil dan sepeda motor. Penjualan tanpa perubahan teknis juga mengikutkan kegiatan yang terkait dengan perdagangan, seperti penyortiran, pemisahan kualitas dan penyusunan barang, pencampuran, pembotolan, pengepakan, pembongkaran dari ukuran besar dan pengepakan ulang menjadi ukuran yang lebih kecil, penyimpanan, baik dengan pendingin maupun tidak, pembersihan dan pengeringan hasil pertanian, pemotongan lembaran kayu atau logam. Perdagangan besar adalah penjualan kembali (tanpa perubahan teknis) baik barang baru maupun barang bekas kepada pengecer, industri, komersial, institusi atau pengguna profesional, atau kepada pedagang besar lainnya, atau yang bertindak sebagai agen atau broker dalam pembelian atau penjualan barang, baik perorangan maupun perusahaan. Bentuk utama kegiatan ini mencakup pedagang atau saudagar perdagangan besar, yaitu pedagang perdagangan besar yang mendapatkan hak atas barang-barang yang dijualnya, seperti pedagang grosir, pemborong, distributor, eksportir, importir, asosiasi koperasi, kantor penjualan dan kantor cabang penjualan (tetapi bukan toko pengecer) yang dikelola oleh unit-unit perusahaan industri maupun pertambangan, terpisah dari lokasi industri atau penambangan dengan tujuan untuk memasarkan hasil, dengan demikian tidak hanya menerima pesanan yang harus dipenuhi melalui pengapalan langsung dari lokasi industri maupun penambangan. Termasuk juga broker barang dagangan, pedagang komisi dan agen serta pedagang pengumpul, pembeli dan asosiasi koperasi yang diikutsertakan dalam pemasaran hasil-hasil pertanian. Pedagang besar seringkali secara fisik mengumpulkan, menyortir dan memisahkan kualitas barang dalam ukuran besar, membongkar dari ukuran besar dan mengepak ulang menjadi ukuran yang lebih kecil, misalnya produk farmasi; menyimpan, mendinginkan, mengantar dan memasang barang-barang, terlibat dalam promosi penjualan untuk pelanggannya dan perancangan label. Perdagangan eceran adalah penjualan kembali (tanpa perubahan teknis), baik barang baru maupun bekas, utamanya kepada masyarakat umum untuk konsumsi atau penggunaan perorangan maupun rumah tangga, melalui toko, departement store, kios, mail-order houses, penjual dari pintu ke pintu, pedagang keliling, koperasi konsumsi, rumah pelelangan, dan lain-lain. Pada umumnya pedagang pengecer memperoleh hak atas barang-barang yang dijualnya, tetapi beberapa pedagang pengecer bertindak sebagai agen, dan menjual atas dasar konsinyasi atau komisi."
H,"Pengangkutan dan Pergudangan","Kategori ini mencakup penyediaan angkutan penumpang atau barang, baik yang berjadwal maupun tidak, dengan menggunakan jalan rel, saluran pipa, darat, perairan atau udara dan kegiatan yang berhubungan dengan itu seperti fasilitas terminal dan parkir, penanganan kargo/bongkar muat barang, pergudangan dan lain-lain. Termasuk dalam kategori ini penyewaan alat angkutan dengan pengemudi atau operator, juga kegiatan pos dan kurir. Kategori ini tidak mencakup pemeliharaan dan perbaikan kendaraan bermotor dan alat angkutan lainnya (lihat subgolongan 4520 dan 3315), konstruksi, pemeliharaan dan perbaikan jalan, rel, pelabuhan, lapangan udara (lihat subgolongan 4210 dan 4291), serta penyewaan alat angkutan tanpa pengemudi atau operator (lihat subgolongan 7710 dan 7731)."
I,"Penyediaan Akomodasi Dan Penyediaan Makan Minum","Kategori ini mencakup penyediaan akomodasi penginapan jangka pendek untuk pengunjung dan pelancong serta penyediaan makanan dan minuman untuk konsumsi segera. Jumlah dan jenis layanan tambahan yang disediakan dalam kategori ini sangat bervariasi. Tidak termasuk penyediaan akomodasi jangka panjang seperti tempat tinggal utama, penyiapan makanan atau minuman bukan untuk dikonsumsi segera atau yang dijual melalui kegiatan perdagangan besar dan eceran."
J,"Informasi Dan Komunikasi","Kategori ini mencakup produksi dan distribusi informasi dan produk kebudayaan, penyediaan sarana untuk mengirimkan atau mendistribusikan produk-produk tersebut, dan juga data atau kegiatan komunikasi, teknologi informasi dan pengolahan data serta kegiatan jasa informasi lainnya. Komponen utama dari kategori ini adalah kegiatan penerbitan (golongan pokok 58), termasuk penerbitan perangkat lunak (software), film dan kegiatan perekaman suara (golongan pokok 59), kegiatan pemrograman dan penyiaran radio dan TV (golongan pokok 60), kegiatan telekomunikasi (golongan pokok 61) dan kegiatan teknologi informasi (golongan pokok 62) dan kegiatan jasa informasi lainnya (golongan pokok 63). Penerbitan termasuk perolehan hak cipta untuk isi (produk informasi) dan membuat isi ini tersedia untuk masyarakat umum melalui kegiatan reproduksi dan distribusi isi ini dalam berbagai bentuk. Semua bentuk yang mungkin dari penerbitan (dalam bentuk cetak, elektronik atau audio; pemasangan di internet; sebagai produk multimedia seperti CD-ROM dari buku referensi; dan lain-lain) termasuk dalam kategori ini. Kegiatan yang berkaitan dengan produksi dan distribusi pemrograman TV meliputi golongan pokok 59, 60 dan 61, yang mencerminkan berbagai tahap dalam proses ini. Komponen individu, seperti film, film berseri di televisi, dan lain-lain diproduksi oleh kegiatan di golongan pokok 59, sementara penciptaan program saluran televisi lengkap, dari komponen yang diproduksi di golongan pokok 59 atau komponen lainnya (seperti pemrograman berita secara langsung/live) termasuk dalam golongan pokok 60 . Golongan pokok 60 juga mencakup penyiaran program ini oleh produser. Pendistribusian program televisi lengkap oleh pihak ketiga (tanpa perubahan isi) termasuk dalam golongan pokok 61. Pendistribusian dalam golongan pokok 61 ini dapat dilakukan melalui penyiaran, sistem satelit atau kabel."
