release,date,author,status,maturity,version,first,distribution,abstract
HTML-Validator-0.04,1999-01-01T02:42:52,SAIT,backpan,released,0.04,1,HTML-Validator,"HTML validator"
XML-Parser-2.19,1999-01-03T17:03:42,COOPERCL,backpan,released,2.19,,XML-Parser,"A perl module for parsing XML documents"
perl5.005_03-MAINT_TRIAL_2,1999-01-03T20:44:49,GBARR,backpan,developer,5.005_03,,perl,"converts a collection of POD pages to HTML format."
Apache-SSI-2.03,1999-01-04T09:46:22,KWILLIAMS,backpan,released,2.03,,Apache-SSI,"Implement Server Side Includes in Perl"
Text-Query-Simple-0.03,1999-01-04T11:23:19,EBOHLMAN,cpan,released,0.03,,Text-Query-Simple,"Match text against simple query expression and return relevance value for ranking"
Text-Query-Advanced-0.03,1999-01-04T11:27:45,EBOHLMAN,cpan,released,0.03,,Text-Query-Advanced,"Match text against Boolean expression"
Tk-Multi-0.80,1999-01-04T12:36:02,DDUMONT,backpan,released,0.80,,Tk-Multi,"Tk composite widget with a scroll window and more"
Audio-Tools-0.01,1999-01-04T17:12:14,NPESKETT,backpan,released,0.01,1,Audio-Tools,"Common Tools for Audio::Wav, Audio::Mix & Audio::CoolEdit"
Audio-Wav-0.01,1999-01-04T17:20:46,NPESKETT,backpan,released,0.01,1,Audio-Wav,"Modules for reading & writing Microsoft Wav files."
Audio-CoolEdit-0.01,1999-01-04T17:23:16,NPESKETT,backpan,released,0.01,1,Audio-CoolEdit,"Modules for reading & writing Syntrillium CoolEdit Pro .ses files."
Audio-Mix-0.01,1999-01-04T17:27:17,NPESKETT,backpan,released,0.01,1,Audio-Mix,"Module for fading cross-fading wav audio files."
Net_SSLeay.pm-1.03,1999-01-04T18:21:01,SAMPO,cpan,released,1.03,,Net_SSLeay,"Perl extension for using Eric Young's implementation of SSL"
Log-Handler-0.31,1999-01-04T20:12:25,PGRIMES,backpan,released,0.31,,Log-Handler,"Log Handler object"
elmtag-1.1.39,1999-01-05T03:06:40,AOCINAR,cpan,released,v1.1.39,,elmtag,
Puppet-LogBody-1.001,1999-01-05T16:25:48,DDUMONT,backpan,released,1.001,1,Puppet-LogBody,"Log facility"
Puppet-Log-1.010,1999-01-05T16:26:02,DDUMONT,backpan,released,1.010,,Puppet-Log,"Log facility with an optional Tk display"
PDL-NetCDF-0.50,1999-01-05T18:17:33,DHUNT,backpan,released,0.50,,PDL-NetCDF,
PDL-NetCDF-0.51,1999-01-05T19:31:42,DHUNT,backpan,released,0.51,,PDL-NetCDF,
w3mir-1.0.6,1999-01-05T22:41:52,JANL,backpan,released,v1.0.6,,w3mir,"all purpose HTTP-copying and mirroring tool"
Devel-Assert-0.03,1999-01-06T01:00:00,MSCHWERN,backpan,released,0.03,1,Devel-Assert,"stating the obvious to let the computer know"
Text-FillIn-0.05,1999-01-06T06:49:16,KWILLIAMS,latest,released,0.05,,Text-FillIn,"a class implementing a fill-in template"
Text-Metaphone-1.92,1999-01-06T08:03:33,MSCHWERN,backpan,released,1.92,,Text-Metaphone,"A modern soundex. Phonetic encoding of words."
HTML-Validator-0.05,1999-01-06T13:26:17,SAIT,backpan,released,0.05,,HTML-Validator,"HTML validator"
httpi-0.4,1999-01-06T15:58:51,CKAISER,backpan,released,0.4,1,httpi,
Apache-Roaming-0.1000,1999-01-06T17:02:39,JWIED,backpan,released,0.1000,1,Apache-Roaming,"A bundle to install Apache::Roaming and prerequisites"
HTML-Mason-0.4,1999-01-06T18:41:06,JSWARTZ,backpan,released,0.4,,HTML-Mason,"A bundle to install the HTML::Mason package"
Lingua-EN-Gender-0.02,1999-01-06T22:13:43,GOSSAMER,latest,released,0.02,,Lingua-EN-Gender,"Inflect pronouns for gender"
PDL-NetCDF-0.60,1999-01-06T22:14:00,DHUNT,backpan,released,0.60,,PDL-NetCDF,
nist-1.1.10,1999-01-06T23:20:03,AOCINAR,cpan,released,v1.1.10,1,nist,
elmtag-1.1.41,1999-01-07T03:28:10,AOCINAR,cpan,released,v1.1.41,,elmtag,
SecurID-ACEdb-0.90,1999-01-07T19:31:59,DCARRIGAN,latest,released,0.90,1,SecurID-ACEdb,"Perl extension to use the ACE/Server Administration Toolkit API"
cons-1.5,1999-01-08T04:53:06,BOBSIDE,cpan,released,1.5,,cons,"Cons: A Software Construction System"
Puppet-Body-1.012,1999-01-08T14:39:32,DDUMONT,backpan,released,1.012,1,Puppet-Body,"Utility class to handle permanent data, has-a relations and logs"
DBIx-XML_RDB-0.03,1999-01-08T15:14:13,MSERGEANT,backpan,released,0.03,,DBIx-XML_RDB,"Perl extension for creating XML from existing DBI datasources"
GetoptLong-2.19,1999-01-08T15:59:27,JV,backpan,released,2.19,,GetoptLong,"extended processing of command line options"
Puppet-Show-1.002,1999-01-08T16:40:11,DDUMONT,backpan,released,1.002,1,Puppet-Show,"Optional Tk Gui for Puppet::Body"
DProf-19990108,1999-01-08T20:09:00,ILYAZ,cpan,released,19990108,,DProf,"a Perl code profiler"
FAQ-OMatic-2.606,1999-01-08T20:29:39,JHOWELL,cpan,released,2.606,,FAQ-OMatic,
FAQ-OMatic-2.607,1999-01-08T20:29:55,JHOWELL,cpan,released,2.607,,FAQ-OMatic,
CPAN-1.44,1999-01-09T18:38:33,ANDK,backpan,released,1.44,,CPAN,"query, download and build perl modules from CPAN sites"
majarc-1.1.4,1999-01-10T00:45:53,AOCINAR,cpan,released,v1.1.4,1,majarc,
Archive-Tar-0.20,1999-01-10T02:22:23,SRZ,cpan,released,0.20,,Archive-Tar,"module for manipulation of tar archives."
tal-1.1.22,1999-01-10T04:04:57,AOCINAR,cpan,released,v1.1.22,1,tal,
Geo-METAR-1.10,1999-01-10T05:42:56,JZAWODNY,cpan,released,1.10,1,Geo-METAR,"Process routine aviation weather reports in the METAR format."
CDDB-0.07,1999-01-10T17:01:02,RCAPUTO,backpan,released,0.07,,CDDB,"a high-level interface to the Internet Compact Disc Database"
Win32-ASP-1.11,1999-01-10T19:10:47,MSERGEANT,backpan,released,1.11,,Win32-ASP,"a Module for ASP (PerlScript) Programming"
CPAN-1.44_51,1999-01-10T19:38:27,ANDK,backpan,developer,1.44_51,,CPAN,"query, download and build perl modules from CPAN sites"
MIDI-Perl-0.73,1999-01-10T20:16:32,SBURKE,backpan,released,0.73,,MIDI-Perl,"read, compose, modify, and write MIDI files."
WebFetch-0.01,1999-01-11T11:54:00,IKLUFT,backpan,released,0.01,1,WebFetch,"Perl module to download and save information from the Web"
IPC-ChildSafe-2.29,1999-01-11T15:20:57,DSB,backpan,released,2.29,,IPC-ChildSafe,
Time-Beat-1.00,1999-01-11T17:22:50,JDUNCAN,backpan,released,1.00,,Time-Beat,"Module to convert from standard time to swatch 'beat' time."
Business-ISBN-19990112,1999-01-11T22:13:55,BDFOY,backpan,released,19990112,,Business-ISBN,"work with International Standard Book Numbers"
PDL-2.0,1999-01-11T23:12:30,KGB,backpan,released,2.0,,PDL,"Simple shell for PDL"
AudioCD-Mac-0.25_51,1999-01-12T01:28:51,CNANDOR,backpan,developer,0.25_51,,AudioCD-Mac,"MacPerl extension for controlling Audio CDs"
DbFramework-1.06,1999-01-12T16:01:41,PSHARPE,backpan,released,1.06,,DbFramework,"Attribute class"
ObjStore-Lib-PDL-0.92,1999-01-12T16:24:23,JPRIT,latest,released,0.92,,ObjStore-Lib-PDL,"Persistent PDL-compatible matrices"
ObjStore-1.52,1999-01-12T16:25:56,JPRIT,backpan,released,1.52,,ObjStore,"Perl Extension For ObjectStore OODBMS"
ObjStore-REP-FatTree-1.01,1999-01-12T16:27:28,JPRIT,latest,released,1.01,1,ObjStore-REP-FatTree,
