State	Abbreviation	Region	2010 Population	2000 Population	1990 Population	1950 Population	1900 Population	1790 Population
Alabama	AL	SE	4779735	4447100	4040587	3061743	1828697	
Alaska	AK	WE	710231	626932	550043	128643	63592	
Arizona	AZ	WE	6329013	5130632	3665228	749587	122931	
Arkansas	AR	MW	2915921	2673400	2350725	1909511	1311564	
California	CA	WE	37253956	33871648	29760021	10586223	1485053	
Colorado	CO	WE	5029196	4301261	3294394	1325089	539700	
Connecticut	CT	NE	3574097	3405565	3287116	2007280	908420	237946
Delaware	DE	MA	897934	783600	666168	318085	184735	59096
DC	DC	MA	601723	572059	606900	802178	278718	
Florida	FL	SE	18801311	15982378	12937926	2771305	528542	
Georgia	GA	SE	9687653	8186453	6478216	3444578	2216331	82548
Hawaii	HI	WE	1360301	1211537	1108229	499794	154001	
Idaho	ID	WE	1567582	1293953	1006749	588637	161772	
Illinois	IL	MW	12830632	12419293	11430602	8712176	4821550	
Indiana	IN	MW	6483800	6080485	5544159	3934224	2516462	
Iowa	IA	MW	3046350	2926324	2776755	2621073	2231853	
Kansas	KS	MW	2853118	2688418	2477574	1905299	1470495	
Kentucky	KY	MW	4339362	4041769	3685296	2944806	2147174	73677
Louisiana	LA	SE	4533372	4468976	4219973	2683516	1381625	
Maine	ME	NE	1328361	1274923	1227928	913774	694466	96540
Maryland	MD	MA	5773552	5296486	4781468	2343001	1188044	319728
Massachusetts	MA	NE	6547629	6349097	6016425	4690514	2805346	378787
Michigan	MI	MW	9883635	9938444	9295297	6371766	2420982	
Minnesota	MN	MW	5303925	4919479	4375099	2982483	1751394	
Mississippi	MS	SE	2967297	2844658	2573216	2178914	1551270	
Missouri	MO	MW	5988927	5595211	5117073	3954653	3106665	
Montana	MT	WE	989415	902195	799065	591024	243329	
Nebraska	NE	MW	1826341	1711263	1578385	1325510	1066300	
Nevada	NV	WE	2700551	1998257	1201833	160083	42335	
New Hampshire	NH	NE	1316472	1235786	1109252	533242	411588	141885
New Jersey	NJ	MA	8791894	8414350	7730188	4835329	1883669	184139
New Mexico	NM	WE	2059180	1819046	1515069	681187	195310	
New York	NY	MA	19378104	18976457	17990455	14830192	7268894	340120
North Carolina	NC	SE	9535475	8049313	6628637	4061929	1893810	393751
North Dakota	ND	MW	672591	642200	638800	619636	319146	
Ohio	OH	MW	11536502	11353140	10847115	7946627	4157545	
Oklahoma	OK	MW	3751354	3450654	3145585	2233351	7903912	
Oregon	OR	WE	3831074	3421399	2842321	1521341	413536	
Pennsylvania	PA	MA	12702379	12281054	11881643	10498012	6302115	434373
Rhode Island	RI	NE	1052567	1048319	1003464	791896	428556	68825
South Carolina	SC	SE	4625364	4012012	3486703	2117027	1340316	249073
South Dakota	SD	MW	814180	754844	696004	652740	401570	
Tennessee	TN	SE	6346110	5689283	4877185	3291718	2020616	35691
Texas	TX	MW	25145561	20851820	16986510	7711194	3048710	
Utah	UT	WE	2763885	2233169	1722850	688862	276749	
Vermont	VT	NE	625741	608827	562758	377747	343641	85425
Virginia	VA	MA	8001024	7078515	6187358	3318680	1854184	7476103
Washington	WA	WE	6724540	5894121	4866692	2378963	518103	
West Virginia	WV	MA	1852996	1808344	1793477	2005552	958800	
Wisconsin	WI	MW	5686986	5363675	4891769	3434575	2069042	
Wyoming	WY	WE	563626	493782	453588	290529	92531	
