"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
study_id;ids;;text;Study-ID;;;;;;;;;;;;;
last_name;ids;;text;"Last Name";;;;;;y;;y;;;;;
first_name;ids;;text;"First Name";;;;;;y;;y;;;;;
dob;ids;;text;"Date of birth";;;date_dmy;;;y;;y;;;;;
consent;consents_and_demographics;;yesno;"Patient consented to BFU+/CED?";;;;;;;;y;;;;;
consent_date;consents_and_demographics;;text;"Date of consent";;;date_dmy;;;;"[consent] = '1'";y;;;;;
consent_noneu;consents_and_demographics;;yesno;"Patient consented to transfer of data/samples to non-EU countries?";;;;;;;"[consent] = '1'";y;;;;;
consent_devices;consents_and_demographics;;yesno;"Patient consented to device studies?";;;;;;;"[consent] = '1'";y;;;;;
consent_recontact;consents_and_demographics;;yesno;"Patient consented for the possibility to be recontacted for study purposes?";;;;;;;"[consent] = '1'";y;;;;;
consent_week2_endo;consents_and_demographics;;yesno;"Patient consented for endoscopy at week 2?";;;;;;;"[consent] = '1'";y;;;;;
diagnosis;consents_and_demographics;;radio;Diagnosis;"1, Crohn's Disease (CD) | 2, Ulcerative Colitis (UC) | 3, Indeterminate Colitis";"Definite Diagnosis > 3 months";;;;;;y;;;;;
diagnosis_year;consents_and_demographics;;text;"Year of diagnosis";;;;;;;;y;;;;;
used_drug;consents_and_demographics;;dropdown;"Drug in this study cycle";"1, Infliximab | 2, Adalimumab | 3, Certolizumab | 4, Golimumab | 5, Vedolizumab | 6, Ustekinumab | 7, Tofacitinib | 8, other | 9, Filgotinib | 10, Ozanimod";;autocomplete;;;;;y;;;;;
other_study_drug;consents_and_demographics;;text;"Please specify other drug in study";;;;;;;"[used_drug] = '8'";y;;;;;
sex;consents_and_demographics;;radio;"Biological Sex";"1, Female | 2, Male";;;;;;;y;;;;;
gender;consents_and_demographics;;radio;Gender;"1, Female|2, Male|3, Other|4, not available";;;;;;;y;;;;;
age;consents_and_demographics;;radio;"Current age";"1, 18-24|2, 25-29|3, 30-39|4, 40-49|5, 50-59|6, 60-69|7, 70+";;;;;;;y;;;;;
age_first_diagnosis;consents_and_demographics;;radio;"Age at first diagnosis";"0, 0-9|1, 10-16|2, 17-24|3, 25-39|4, 40-59|5, 60+";;;;;;;y;;;;;
ethnicity;consents_and_demographics;;radio;Ethnicity;"1, Caucasian | 2, Hispanic | 3, Asian | 4, African/African-American | 5, Indigenous American | 6, Mixed | 9, Other";;;;;;;y;;;;;
education;consents_and_demographics;;radio;"Highest level of education";"1, Less than a high-school diploma (below Fachhochschulreife/Abitur) | 2, high-school diploma (Fachhochschulreife/Abitur) | 3, University";;;;;;;;;;;;
zipcode;consents_and_demographics;;text;"ZIP code of residence";;;;;;;;y;;;;;
height;consents_and_demographics;;text;"Body height";;cm;integer;0;250;;;y;;;;;
comorb_asthma;anamnesis;;yesno;"Comorbidities - Asthma";;;;;;;;y;;;;;
comorb_copd;anamnesis;;yesno;"Comorbidities - COPD";;;;;;;;y;;;;;
comorb_ms;anamnesis;;yesno;"Comorbidities - demyelating disease/multiple sclerosis";;;;;;;;y;;;;;
comorb_sle;anamnesis;;yesno;"Comorbidities - systemic lupus erythematosus";;;;;;;;y;;;;;
comorb_ra;anamnesis;;yesno;"Comorbidities - rheumatoid arthritis";;;;;;;;y;;;;;
comorb_pso;anamnesis;;yesno;"Comorbidities - psoriasis";;;;;;;;y;;;;;
comorb_ad;anamnesis;;yesno;"Comorbidities - atopic dermatitis";;;;;;;;y;;;;;
comorb_cancer;anamnesis;;yesno;"Comorbidities - cancer";;;;;;;;y;;;;;
comorb_cancer_specified;anamnesis;;text;"Specify cancer entity";;;;;;;;;;;;;
comorb_hypertension;anamnesis;;yesno;"Comorbidities - hypertension";;;;;;;;y;;;;;
comorb_diabetes;anamnesis;;yesno;"Comorbidities - diabetes mellitus";;;;;;;;y;;;;;
comorb_lipids;anamnesis;;yesno;"Comorbidities - Hyper-/dyslipidemia";;;;;;;;y;;;;;
comorb_stroke;anamnesis;;yesno;"Comorbidities - Stroke";;;;;;;;y;;;;;
comorb_other_ai;anamnesis;;yesno;"Comorbidities - other autoimmune disease";;;;;;;;y;;;;;
comorb_other_ai_specified;anamnesis;;text;"Specify other autoimmune disease";;;;;;;"[comorb_other_ai] = '1'";;;;;;
diet;anamnesis;;radio;"Eating habits";"0, Meat-Eating | 1, Vegetarian | 2, Vegan | 3, Pescetarian | 4, Paleo | 9, Unknown";;;;;;;y;;;;;
food_intolerance;anamnesis;;checkbox;"Any food intolerances?";"1, Lactose|2, Fructose|3, Gluten/Wheat|4, Soy|5, Other|6, No intolerances";;;;;;;y;;;;;
allergies;anamnesis;;yesno;"Any allergies known?";;;;;;;;y;;;;;
allergies_detail;anamnesis;;text;"Allergies against:";;;;;;;"[allergies] = '1'";y;;;;;
smoking;anamnesis;;radio;"Smoking habits";"0, Never smoked | 1, Ex-smoker | 2, Current smoker";;;;;;;y;;;;;
cigarettes_days;anamnesis;;text;"On average, how many cigarettes do/did you smoke per day?";;;integer;0;300;;"[smoking] = '2' or [smoking] = '1'";;;;;;
cigarettes_years;anamnesis;;text;"For how many years have you been smoking/did you smoke?";;;integer;0;100;;"[smoking] = '2' or [smoking] = '1'";;;;;;
packyears;anamnesis;;text;"Pack Years";;;integer;0;300;;"[smoking] = '2' or [smoking] = '1'";;;;;;
smoking_quit;anamnesis;;text;"When did you quit smoking?";;year;integer;1980;2030;;"[smoking] = '2'";;;;;;
alcohol;anamnesis;;radio;"Alcohol drinking habits";"0, Non-drinker | 1, Ex-drinker | 2, occasional drinking | 3, regular drinking | 4, unknown";;;;;;;y;;;;;
recreational_drugs;anamnesis;;yesno;"Other recreational drugs?";;;;;;;;y;;;;;
drugs_detail;anamnesis;;text;"Which kind of recreational drugs?";;;;;;;"[recreational_drugs] = '1'";;;;;;
family_history;anamnesis;;radio;"Family history of IBD";"1, Yes|2, No|3, Unknown";;;;;;;y;;;;;
familymember;anamnesis;;checkbox;"Which family member positive for IBD?";"1, Father|2, Mother|3, Sibling|4, Child|5, Uncle/Aunt|6, Nephew/Niece|7, Grandfather/Grandmother|8, Grandchild|9, Other";;;;;;"[family_history] = '1'";y;;;;;
immunodeficiency;anamnesis;;yesno;"Primary immunodeficiency known?";;;;;;;;y;;;;;
past_surgery;anamnesis;;yesno;"Intestinal surgery known?";;;;;;;;y;;;;;
surgery_details;anamnesis;;checkbox;"Which kind of surgery?";"1, Ileal/ileocoecalr esection | 2, Colostoma | 3, Ileostoma | 4, Perianal fistula surgery | 5, Colectomy | 6, Hemicolectomy | 7, Colonic resection | 8, Strictureplasty | 99, other";;;;;;"[past_surgery] = '1'";y;;;;;
prev_endosc_dilatation;anamnesis;;yesno;"Previous endoscopic dilatation?";;;;;;;;y;;;;;
prev_endosc_dil_number;anamnesis;;text;"Number of previous endoscopic dilatation";;;integer;;;;;y;;;;;
extraintestinal;anamnesis;;yesno;"Are extraintestinal manifestations known?";;;;;;;;y;;;;;
extraintestinal_details;anamnesis;;checkbox;"Specify extraintestinal manifestations:";"1, Axial arthropathy | 2, peripheral arthropathy | 3, Cutaneous | 4, ocular | 5, Primary sclerosis cholangitis | 6, thrombosis";;;;;;"[extraintestinal] = '1'";y;;;;;
