jmkmod    58         0.0       10.0    jmkmod  add 0                  
fano      null       0.2       0.0     0.0     0.9999  1.      -0.01
polyah    null       1.2       1.0     1.0     1000.   1000.    -0.1
E_offset  keV        0.0      -100.   -100.    100.    100.     -0.1
i_pot     keV        2.8e-2    5.e-4   5.e-4   50.     50.    -0.001
gain      chan/pair  4.0       0.01    0.01    100.    100.      0.1
ch_off    chan       0.0      -100.   -100.    100.    100.     -0.1
broad     chan       0.0       0.0     0.0     500.    500.     -1.0
d_gain    chan       0.0       0.0     0.0     100.    100.     -0.1
nchan     null       512.      512.    512.    4096.   4096.     -1.
sestype   null       1.        1.      1.      3.      3.        -1.
contin    null       1.        0.      0.      2.      2.        -1.
econt     keV        10.       0.0     0.0     50.     50.      -0.1
contnorm  null       1.        0.0     0.0     1.e10   1.e10    -0.1
E_max     keV        10.       0.01    0.01    50.     50.      -0.1
E_min     keV        0.01      0.0     0.0     50.     50.      -0.1
E_char    keV        2.        0.0     0.0     50.     50.      -0.1
E_width   keV        0.1       0.0     0.0     50.     50.      -0.1
nInt      null       512.      1.      1.      1024.   1024.     -1.
temper    C          15.       0.0     0.0     100.    100.      -1.
pressure  torr       400.      10.     10.     1000.   1000.     -1.
argrat    null       0.9       0.0     0.0     1.      1.        -1.
shelfsw   null       0.        0.      0.      1.      1.        -1.
t1norm    null       0.        0.      0.      1.e10   1.e10   -0.01
t1par     null       0.999     1.e-10  1.e-10  1.e10   1.e10   -0.01
t2norm    null       0.        0.      0.      1.e10   1.e10   -0.01
t2par     null       1.001     1.e-10  1.e-10  1.e10   1.e10   -0.01
shelfnm   null       0.        0.      0.      1.e10   1.e10   -0.01
pulser    null       0         -20     -20     20      20         -1
pulsepos  chan       100.      0.0     0.0     4096.   4096.      -1
pulsesig  null       1.        0.      0.      1000.   1000.    -0.1
pulsenrm  null       1.        0.      0.      1.e10   1.e10    -0.1
numcomp   null       2.        2.      2.      2.      2.         -1
numfil    null       6.        6.      6.      6.      6.         -1
pileup    null       0         -10     -10     10      10         -1
pilepar   null       1.        0.      0.      1.      1.      -0.01
bfield    gauss      1.45e4    0.      0.      1.e10   1.e10     -1.
current   mA         1.        0.      0.      1.e10   1.e10   -0.01
incline   rad        0.        0.      0.      1.      1.       -0.1
abswitch  null       0.        0.      0.      1.      1.       -0.1
phi       deg        135.40    0.      0.      360.    360.     -0.1
theta     arcmin     40.20     0.      0.      999.    999.     -0.1
optconst  null       0.        0.      0.      9999.   9999.    -0.1
