German	DE
1	Wasserstoff	H
2	Helium	He
3	Lithium	Li
4	Beryllium	Be
5	Bor	B
6	Kohlenstoff	C
7	Stickstoff	N
8	Sauerstoff	O
9	Fluor	F
10	Neon	Ne
11	Natrium	Na
12	Magnesium	Mg
13	Aluminum	Al
14	Silizium	Si
15	Phosphor	P
16	Schwefel	S
17	Chlor	Cl
18	Argon	Ar
19	Kalium	K
20	Kalzium	Ca
21	Scandium	Sc
22	Titan	Ti
23	Vanadium	V
24	Chrom	Cr
25	Mangan	Mn
26	Eisen	Fe
27	Kobalt	Co
28	Nickel	Ni
29	Kupfer	Cu
30	Zink	Zn
31	Gallium	Ga
32	Germanium	Ge
33	Arsen	As
34	Selen	Se
35	Brom	Br
36	Krypton	Kr
37	Rubidium	Rb
38	Strontium	Sr
39	Yttrium	Y
40	Zirkonium	Zr
41	Nobium	Nb
42	Molybdan	Mo
43	Technetium	Tc
44	Ruthenium	Ru
45	Rhodium	Rh
46	Palladium	Pd
47	Silber	Ag
48	Kadmium	Cd
49	Indium	In
50	Zinn	Sn
51	Antimon	Sb
52	Tellur	Te
53	Jod	I
54	Xenon	Xe
55	Casium	Cs
56	Barium	Ba
57	Lanthan	La
58	Cer	Ce
59	Praseodym	Pr
60	Neodym	Nd
61	Promethium	Pm
62	Samarium	Sm
63	Europium	Eu
64	Gadolinium	Gd
65	Terbium	Tb
66	Dysprosium	Dy
67	Holmium	Ho
68	Erbium	Er
69	Thulium	Tm
70	Ytterbium	Yb
71	Lutetium	Lu
72	Hafnium	Hf
73	Tantal	Ta
74	Wolfram	W
75	Rhenium	Re
76	Osmium	Os
77	Iridium	Ir
78	Platin	Pt
79	Gold	Au
80	Quecksilber	Hg
81	Thallium	Tl
82	Blei	Pb
83	Wismut	Bi
84	Polonium	Po
85	Astat	At
86	Radon	Rn
87	Franzium	Fr
88	Radium	Ra
89	Aktinium	Ac
90	Thorium	Th
91	Protactinium	Pa
92	Uran	U
93	Neptunium	Np
94	Plutonium	Pu
95	Amerikium	Am
96	Curium	Cm
97	Berkelium	Bk
98	Kalifornium	Cf
99	Einsteinium	Es
100	Fermium	Fm
101	Mendelevium	Md
102	Nobelium	No
103	Lawrencium	Lr
104	Rutherfordium	Rf
105	Dubnium	Db
106	Seaborgium	Sg
107	Bohrium	Bh
108	Hassium	Hs
109	Meitnerium	Mt
110	Darmstadtium	Ds
111	Rontgenium	Rg
112	Ununbium	Uub
113	Ununtrium	Uut
114	Ununquadium	Uuq
115	Ununpentium	Uup
116	Ununhexium	Uuh
117	Ununseptium	Uus
118	Ununoctium	Uuo
