a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t
09:07:00 PM,,,,,,,,,,09:07:00,,,,,,,,,
12:00:00 AM,,,,,,,,,,23:59:59,,,,,,,,,
12:59:59 PM,,,,,,,,,,12:59:59,,,,,,,,,
00:00:00 PM,,,,,,,,,,00:00:00,,,,,,,,,
,01/01/2010 09:07:00 PM,,,,,,,,,,01/01/2010 09:07:00,,,,,,,,
,13/01/2010 12:00:00 AM,,,,,,,,,,13/01/2010 23:59:59,,,,,,,,
,31/12/9999 12:59:59 PM,,,,,,,,,,31/12/9999 12:59:59,,,,,,,,
,31/12/0001 00:00:00 PM,,,,,,,,,,31/12/0001 00:00:00,,,,,,,,
,,01/01/2010 09:07 PM,,,,,,,,,,01/01/2010 09:07,,,,,,,
,,13/01/2010 12:00 AM,,,,,,,,,,13/01/2010 12:00,,,,,,,
,,31/12/9999 12:59 PM,,,,,,,,,,31/12/9999 23:59,,,,,,,
,,31/12/0001 00:00 PM,,,,,,,,,,31/12/0001 00:00,,,,,,,
,,,01/01/10 09:07 PM,,,,,,,,,,01/01/10 09:07,,,,,,
,,,13/01/10 12:00 AM,,,,,,,,,,13/01/10 23:59,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,31/12/99 12:59 PM,,,,,,,,,,31/12/99 12:59,,,,,,
,,,31/12/01 00:00 PM,,,,,,,,,,31/12/01 00:00,,,,,,
,,,,01/01/10 09:07:00PM,,,,,,,,,,01/01/10 09:07:00,,,,,
,,,,13/01/10 12:00:00AM,,,,,,,,,,13/01/10 23:59:00,,,,,
,,,,31/12/99 12:59:59PM,,,,,,,,,,31/12/99 12:59:59,,,,,
,,,,31/12/01 00:00:00PM,,,,,,,,,,31/12/01 00:00:00,,,,,
,,,,,09:07:00 pm,,,,,,,,,,09:07:00,,,,
,,,,,12:00:00 am,,,,,,,,,,23:59:00,,,,
,,,,,12:59:59 pm,,,,,,,,,,12:59:59,,,,
,,,,,00:00:00 pm,,,,,,,,,,00:00:00,,,,
,,,,,,01/01/2010 09:07:00 pm,,,,,,,,,,01/01/2010 09:07:00,,,
,,,,,,13/01/2010 12:00:00 am,,,,,,,,,,13/01/2010 23:59:00,,,
,,,,,,31/12/9999 12:59:59 pm,,,,,,,,,,31/12/9999 12:59:59,,,
,,,,,,31/12/0001 00:00:00 pm,,,,,,,,,,31/12/0001 00:00:00,,,
,,,,,,,01/01/2010 09:07 pm,,,,,,,,,,01/01/2010 09:07,,
,,,,,,,13/01/2010 12:00 am,,,,,,,,,,13/01/2010 23:59,,
,,,,,,,31/12/9999 12:59 pm,,,,,,,,,,31/12/9999 12:59,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,31/12/0001 00:00 pm,,,,,,,,,,31/12/0001 00:00,,
,,,,,,,,01/01/10 09:07pm,,,,,,,,,,01/01/10 09:07,
,,,,,,,,13/01/10 12:00am,,,,,,,,,,13/01/10 23:59,
,,,,,,,,31/12/99 12:59pm,,,,,,,,,,31/12/99 12:59,
,,,,,,,,31/12/01 00:00pm,,,,,,,,,,31/12/01 00:00,
,,,,,,,,,01/01/10 09:07:00 pm,,,,,,,,,,01/01/10 09:07:00
,,,,,,,,,13/01/10 12:00:00 am,,,,,,,,,,13/01/10 23:59:00
,,,,,,,,,31/12/99 12:59:59 pm,,,,,,,,,,31/12/99 12:59:59
,,,,,,,,,31/12/01 00:00:00 pm,,,,,,,,,,31/12/01 00:00:00
