NB	mz	z	I	FWHM	SN	Res.	_MESURED_MONOISOTOPIC_MASS_	_PPM_ERROR_	_COMPUTED_MONOISOTOPIC_MASS_	_ANNOTATION_NAME_	_ANNOTATION_TYPE_	_ANNOTATION_IN_NEG_MODE_	_ANNOTATION_IN_POS_MODE_	_ANNOTATION_FORMULA_
"  1"	58.0651		15244	0.0031	134.7	18946	58.0651	0	0	NA	NA	NA	NA	NA
"  2"	61.0072		2284	0.0022	20.2	27666	61.0072	0	0	NA	NA	NA	NA	NA
"  3"	61.0647		25830	0.0027	228.4	22238	61.0647	1.63760732469004	61.0648	-(C8H7O4N5)	fragment	[(M-H)-C8H7O4N5]-	[(M+H)-C8H7O4N5]+	NA
"  4"	70.0126		9932	0.0026	87.9	26953	70.0126	391.358126965718	70.0400	-(C9H12O5N2)	fragment	[(M-H)-C9H12O5N2]-	[(M+H)-C9H12O5N2]+	NA
"  5"	71.5123		3154	0.0036	27.9	19679	71.5123	0	0	NA	NA	NA	NA	NA
"  6"	72.9369		2016	0.0026	17.8	28537	72.9369	0	0	NA	NA	NA	NA	NA
"  7"	75.0442		1882	0.0034	16.7	22078	75.0442	0	0	NA	NA	NA	NA	NA
"  8"	79.0180		5365	0.0023	47.4	34426	79.0180	0	0	NA	NA	NA	NA	NA
"  9"	80.0496		2460	0.0034	21.8	23363	80.0496	0	0	NA	NA	NA	NA	NA
" 10"	80.5180		3372	0.0042	29.8	19227	80.5180	0	0	NA	NA	NA	NA	NA
" 11"	81.5205		4768	0.0018	42.1	46480	81.5205	0	0	NA	NA	NA	NA	NA
" 12"	82.0260		2231	0.0036	19.7	22506	82.0260	49.9841513666398	82.0301	-(C6H16O8)	fragment	[(M-H)-C6H16O8]-	[(M+H)-C6H16O8]+	NA
" 13"	84.0809		22238	0.0031	196.2	27111	84.0809	0	0	NA	NA	NA	NA	NA
" 14"	84.9595		1435	0.0015	12.7	58544	84.9595	0	0	NA	NA	NA	NA	NA
" 15"	85.0267		1432	0.0046	12.6	18321	85.0267	0	0	NA	NA	NA	NA	NA
" 16"	85.0842		1873	0.0041	16.5	20911	85.0842	0	0	NA	NA	NA	NA	NA
" 17"	89.5236		3150	0.0044	27.8	20342	89.5236	0	0	NA	NA	NA	NA	NA
" 18"	90.5262		11567	0.0023	102.0	38857	90.5262	0	0	NA	NA	NA	NA	NA
" 19"	90.9767		20333	0.0043	179.2	21067	90.9767	0	0	NA	NA	NA	NA	NA
" 20"	91.0391		1439	0.0040	12.7	22539	91.0391	0	0	NA	NA	NA	NA	NA
" 21"	94.0657		1474	0.0035	12.9	26517	94.0657	0	0	NA	NA	NA	NA	NA
" 22"	97.0285		1240	0.0038	10.9	25641	97.0285	0	0	NA	NA	NA	NA	NA
" 23"	97.9690		1455	0.0034	12.7	28796	97.9690	0	0	NA	NA	NA	NA	NA
" 24"	99.5124		1259	0.0016	11.0	62085	99.5124	0	0	NA	NA	NA	NA	NA
" 25"	99.5319		3301	0.0029	28.9	34257	99.5319	0	0	NA	NA	NA	NA	NA
" 26"	102.0553		10043	0.0048	87.6	21258	102.0553	446.816578854797	102.1009	-(C5H9O6P)	fragment	[(M-H)-C5H9O6P]-	[(M+H)-C5H9O6P]+	NA
" 27"	104.0710		46313	0.0052	402.7	20015	104.0710	8.64794227018093	104.0719	-(C6H10O7)	fragment	[(M-H)-C6H10O7]-	[(M+H)-C6H10O7]+	NA
" 28"	105.0740		1993	0.0050	17.3	21161	105.0740	184.631783314616	105.0546	-(C7H7O2N5)	fragment	[(M-H)-C7H7O2N5]-	[(M+H)-C7H7O2N5]+	NA
" 29"	108.0813		5052	0.0051	43.6	21316	108.0813	249.811947117586	108.0543	-(C7H6ON6)	fragment	[(M-H)-C7H6ON6]-	[(M+H)-C7H6ON6]+	NA
" 30"	108.5111		1817	0.0020	15.7	55577	108.5111	0	0	NA	NA	NA	NA	NA
" 31"	113.9640		1913	0.0033	16.4	34177	113.9640	0	0	NA	NA	NA	NA	NA
" 32"	117.5183		3378	0.0051	28.8	23141	117.5183	0	0	NA	NA	NA	NA	NA
" 33"	119.0340		7226	0.0051	61.5	23202	119.0340	10.0811532839357	119.0352	-(C6H13O5N)	fragment	[(M-H)-C6H13O5N]-	[(M+H)-C6H13O5N]+	NA
" 34"	120.0204		3417	0.0047	29.1	25504	120.0204	0	0	NA	NA	NA	NA	NA
" 35"	122.0576		7964	0.0027	67.7	44438	122.0576	204.002044936161	122.0825	-(C6H8O6)	fragment	[(M-H)-C6H8O7]-	[(M+H)-C6H8O7]+	NA
" 36"	124.0371		1349	0.0044	11.4	28491	124.0371	0	0	NA	NA	NA	NA	NA
" 37"	127.0481		2426	0.0048	20.6	26544	127.0481	0	0	NA	NA	NA	NA	NA
" 38"	129.0260		5201	0.0054	44.0	24085	129.0260	221.660750546401	129.0546	-(C5H7O2N5)	fragment	[(M-H)-C5H7O2N5]-	[(M+H)-C5H7O2N5]+	NA
" 39"	130.1593		2698	0.0041	22.8	32020	130.1593	0	0	NA	NA	NA	NA	NA
" 40"	139.0500		2600	0.0039	22.1	35216	139.0500	0	0	NA	NA	NA	NA	NA
" 41"	140.0680		1467	0.0038	12.5	36444	140.0680	0	0	NA	NA	NA	NA	NA
" 42"	141.0157		5861	0.0055	49.8	25758	141.0157	0	0	NA	NA	NA	NA	NA
" 43"	152.0566		4319	0.0057	36.9	26573	152.0566	0.6576498488063	152.0567	-(C6H10O4)	fragment	[(M-H)-C6H10O4]-	[(M+H)-C6H10O4]+	NA
" 44"	155.0031		2366	0.0047	20.2	32675	155.0031	0	0	NA	NA	NA	NA	NA
" 45"	159.0266		2582	0.0061	22.1	25915	159.0266	0	0	NA	NA	NA	NA	NA
" 46"	164.0918		1379	0.0062	11.8	26482	164.0918	213.904655808517	164.0567	-(C5H10O4)	fragment	[(M-H)-C5H10O4]-	[(M+H)-C5H10O4]+	NA
" 47"	166.0725		120307	0.0060	1033.6	27765	166.0725	1.20429330563459	166.0723	-(C5H8O4)	fragment	[(M-H)-C5H8O4]-	[(M+H)-C5H8O4]+	NA
" 48"	167.0754		7308	0.0070	62.8	23808	167.0754	0	0	NA	NA	NA	NA	NA
" 49"	181.0085		1824	0.0063	15.8	28687	181.0085	0	0	NA	NA	NA	NA	NA
" 50"	182.0290		1495	0.0053	12.9	34474	182.0290	210.406034203341	182.0673	-(C5H8O3)	fragment	[(M-H)-C5H8O3]-	[(M+H)-C5H8O3]+	NA
" 51"	185.9852		1318	0.0025	11.4	75359	185.9852	0	0	NA	NA	NA	NA	NA
" 52"	187.0582		16970	0.0064	146.9	29023	187.0582	0	0	NA	NA	NA	NA	NA
" 53"	188.0562		1345	0.0099	11.6	19084	188.0562	71.2552949596982	188.0428	-(C5H8N3)	fragment	[(M-H)-C5H8N3]-	[(M+H)-C5H8N3]+	NA
" 54"	200.9719		1603	0.0044	13.8	45208	200.9719	0	0	NA	NA	NA	NA	NA
" 55"	201.0084		16265	0.0051	139.8	39566	201.0084	0	0	NA	NA	NA	NA	NA
" 56"	202.9875		3084	0.0062	26.4	32911	202.9875	0	0	NA	NA	NA	NA	NA
" 57"	211.0443		3211	0.0072	27.3	29424	211.0443	181.478485796584	211.0826	-(C3H5NO2)	fragment	[(M-H)-C3H5NO2]-	[(M+H)-C3H5NO2]+	NA
" 58"	215.0242		1420	0.0054	12.0	39754	215.0242	0	0	NA	NA	NA	NA	NA
" 59"	224.0761		4080	0.0060	34.4	37131	224.0761	0	0	NA	NA	NA	NA	NA
" 60"	226.9515		2718	0.0044	22.9	51567	226.9515	0	0	NA	NA	NA	NA	NA
" 61"	229.0551		3681	0.0070	30.9	32699	229.0551	0	0	NA	NA	NA	NA	NA
" 62"	235.9616		2739	0.0075	23.0	31473	235.9616	0	0	NA	NA	NA	NA	NA
" 63"	252.0711		6078	0.0051	51.0	49079	252.0711	150.751117442658	252.1091	-(HCOOH)	fragment	[(M-H)-HCOOH]-	[(M+H)-HCOOH]+	NA
" 64"	255.0120		9941	0.0080	83.4	31887	255.0120	189.794990039684	255.0604	-(C3H7.)	fragment	NA	NA	NA
" 65"	255.5139		1427	0.0083	12.0	30879	255.5139	0	0	NA	NA	NA	NA	NA
" 66"	258.9779		7152	0.0084	60.0	30688	258.9779	0	0	NA	NA	NA	NA	NA
" 67"	264.0177		2483	0.0077	20.8	34189	264.0177	165.897968204404	264.0615	-2(NH3)	fragment	[(M-H)-2(NH3)]-	[(M+H)-2(NH3)]+	NA
" 68"	266.0864		1664	0.0064	14.0	41573	266.0864	7.51635558976332	266.0884	-(CH3OH)	fragment	[(M-H)-CH3OH]-	[(M+H)-CH3OH]+	NA
" 69"	266.1233		4229	0.0067	35.5	39778	266.1233	131.142218663304	266.0884	-(CH3OH)	fragment	[(M-H)-CH3OH]-	[(M+H)-CH3OH]+	NA
" 70"	271.1027		1353	0.0074	11.4	36829	271.1027	3.68863902867806	271.1037	-(HCN)	fragment	[(M-H)-HCN]-	[(M+H)-HCN]+	NA
" 71"	294.9388		1374	0.0087	11.6	33956	294.9388	0	0	NA	NA	NA	NA	NA
" 72"	298.1145	1+	1234919	0.0079	10399.8	37590	298.1145	0	0	NA	NA	NA	NA	NA
" 73"	298.1370		18911	0.0094	159.3	31868	298.1370	0	0	NA	NA	NA	NA	NA
" 74"	298.6580		1762	0.0049	14.8	60949	298.6580	139.624587320614	298.6163	"13C db "	isotope	NA	NA	NA
" 75"	299.1178	1+	174935	0.0095	1474.6	31422	299.1178	13.7069743091183	299.1219	+H	fragment	[M+H]-_15N	[(M+H)]+	NA
" 76"	300.1198	1+	22120	0.0104	186.8	28879	300.1198	4.99800413035061	300.1213	13C2	isotope	[M+H]-_13C2	[M+H]+_13C2	NA
" 77"	301.1222	1+	1471	0.0121	12.5	24806	301.1222	27.8956516656693	301.1138	13C+34S	isotope	[M+H]-_13C_34S	[M+H]+_13C_34S	NA
" 78"	316.1254		2156	0.0091	18.9	34607	316.1254	0.632660330362571	316.1252	+(H2O)	adduct	[M+OH]-	[M+H3O]+	NA
" 79"	316.9403		1525	0.0091	13.4	34664	316.9403	0	0	NA	NA	NA	NA	NA
" 80"	316.9838		1665	0.0090	14.6	35173	316.9838	0	0	NA	NA	NA	NA	NA
" 81"	320.0969		90227	0.0093	799.2	34259	320.0969	1.24962159895957	320.0965	-H+Na	adduct	NA	[M+Na]+	NA
" 82"	321.0995		11791	0.0110	104.8	29288	321.0995	0	0	NA	NA	NA	NA	NA
" 83"	322.1006		1568	0.0122	14.0	26350	322.1006	0	0	NA	NA	NA	NA	NA
" 84"	336.0708		2535	0.0101	23.3	33131	336.0708	27.6727403868471	336.0615	"-2H+Ca "	adduct	[(M-H+Ca)-H]-	[M+K]+	NA
" 85"	351.1273		5832	0.0084	56.0	41555	351.1273	0	0	NA	NA	NA	NA	NA
" 86"	362.9273		2619	0.0100	25.7	36474	362.9273	0	0	NA	NA	NA	NA	NA
" 87"	365.1054		1323	0.0085	13.1	43037	365.1054	0	0	NA	NA	NA	NA	NA
" 88"	368.2596		5098	0.0046	50.8	79389	368.2596	0	0	NA	NA	NA	NA	NA
" 89"	369.2644		1848	0.0086	18.5	43016	369.2644	0	0	NA	NA	NA	NA	NA
" 90"	371.9696		1251	0.0122	12.6	30481	371.9696	0	0	NA	NA	NA	NA	NA
" 91"	388.0840		4331	0.0105	44.9	36949	388.0840	0	0	NA	NA	NA	NA	NA
" 92"	424.1559		1680	0.0131	18.5	32355	424.1559	0	0	NA	NA	NA	NA	NA
" 93"	430.9145		2582	0.0113	28.6	38236	430.9145	0	0	NA	NA	NA	NA	NA
" 94"	449.9795		1281	0.0154	14.4	29149	449.9795	92.0041913020482	449.9381	-4H+4K	adduct	[(M-3H+4K)-H]-	NA	NA
" 95"	456.0723		2077	0.0132	23.5	34619	456.0723	0	0	NA	NA	NA	NA	NA
" 96"	484.1661		8606	0.0128	99.4	37743	484.1661	0	0	NA	NA	NA	NA	NA
" 97"	485.1685		1822	0.0123	21.1	39358	485.1685	0	0	NA	NA	NA	NA	NA
" 98"	486.0005		11960	0.0129	138.3	37654	486.0005	0	0	NA	NA	NA	NA	NA
" 99"	487.0032		1877	0.0129	21.7	37659	487.0032	0	0	NA	NA	NA	NA	NA
100	498.9009		1669	0.0130	19.5	38272	498.9009	0	0	NA	NA	NA	NA	NA
101	513.9955		13548	0.0144	160.9	35756	513.9955	0	0	NA	NA	NA	NA	NA
102	514.9975		1764	0.0144	21.0	35698	514.9975	0	0	NA	NA	NA	NA	NA
103	524.0584		1607	0.0133	19.3	39312	524.0584	0	0	NA	NA	NA	NA	NA
104	532.0054		1905	0.0143	23.1	37234	532.0054	0	0	NA	NA	NA	NA	NA
105	535.9772		1717	0.0154	20.9	34747	535.9772	0	0	NA	NA	NA	NA	NA
106	595.2220	1+	138503	0.0151	1773.9	39384	595.2220	0	0	NA	NA	NA	NA	NA
107	596.2248	1+	37281	0.0168	478.3	35508	596.2248	0	0	NA	NA	NA	NA	NA
108	597.2272	1+	8291	0.0182	106.5	32832	597.2272	0	0	NA	NA	NA	NA	NA
109	617.2041		38069	0.0165	496.4	37510	617.2041	0	0	NA	NA	NA	NA	NA
110	618.2068		9790	0.0187	127.9	33103	618.2068	0	0	NA	NA	NA	NA	NA
111	619.2088		1481	0.0206	19.4	29998	619.2088	0	0	NA	NA	NA	NA	NA
112	665.3671		6303	0.0192	84.4	34702	665.3671	0	0	NA	NA	NA	NA	NA
113	666.3697		2298	0.0206	30.8	32389	666.3697	0	0	NA	NA	NA	NA	NA
114	685.1919		1610	0.0218	21.7	31408	685.1919	0	0	NA	NA	NA	NA	NA
