debian_pkg, CPAN_dist, CPAN_vers, N_bugs, N_patches
"eekboek", "http://www.eekboek.nl/dl/EekBoek-1.05.04.tar.gz", "1.04.04", "0", "0"
"jifty", "Jifty", "0.90519", "2", "0"
"libacme-bleach-perl", "Acme-Bleach", "1.12", "0", "0"
"libacme-damn-perl", "Acme-Damn", "0.04", "0", "0"
"libacme-poe-knee-perl", "Acme-POE-Knee", "1.10", "0", "0"
"libalgorithm-c3-perl", "Algorithm-C3", "0.08", "0", "0"
"libalgorithm-diff-perl", "Algorithm-Diff", "1.19.02", "0", "0"
"libalgorithm-diff-xs-perl", "Algorithm-Diff-XS", "not-uploaded", "0", "0"
"libalgorithm-merge-perl", "Algorithm-Merge", "0.08", "0", "0"
"libalgorithm-munkres-perl", "Algorithm-Munkres", "0.08", "0", "0"
"libalgorithm-permute-perl", "Algorithm-Permute", "0.12", "0", "0"
"libalias-perl", "Alias", "2.32", "0", "0"
"libaliased-perl", "aliased", "0.30", "0", "0"
"libalien-wxwidgets-perl", "Alien-wxWidgets", "0.46", "0", "0"
"libalzabo-perl", "Alzabo", "0.92", "0", "0"
"libany-moose-perl", "Any-Moose", "0.09", "0", "0"
"libanydata-perl", "AnyData", "0.10", "0", "1"
"libanyevent-irc-perl", "AnyEvent-IRC", "0.95", "0", "0"
"libanyevent-perl", "AnyEvent", "5.210", "0", "0"
"libapache-authenhook-perl", "Apache-AuthenHook", "2.00-04", "0", "0"
"libapache-authznetldap-perl", "Apache-AuthzNetLDAP", "0.07", "0", "0"
"libapache-configfile-perl", "Apache-ConfigFile", "1.18", "0", "0"
"libapache-db-perl", "Apache-DB", "0.14", "0", "0"
"libapache-dbi-perl", "Apache-DBI", "1.07", "0", "0"
"libapache-dbilogger-perl", "Apache-DBILogger", "0.93", "0", "0"
"libapache-session-perl", "Apache-Session", "1.87", "0", "0"
"libapache-session-wrapper-perl", "Apache-Session-Wrapper", "0.33", "0", "0"
"libapache-sessionx-perl", "Apache-SessionX", "2.01", "0", "0"
"libapache2-authcassimple-perl", "Apache2-AuthCASSimple", "0.10", "0", "0"
"libapache2-authenntlm-perl", "Apache2-AuthenNTLM", "0.02", "0", "0"
"libapache2-mod-perl2", "http://perl.apache.org/dist/mod_perl-2.0.4.tar.gz", "2.0.4", "9", "0"
"libapache2-reload-perl", "Apache-Reload", "0.10", "0", "0"
"libapp-cmd-perl", "App-Cmd", "0.300", "0", "0"
"libapp-control-perl", "App-Control", "1.02", "0", "0"
"libapp-daemon-perl", "App-Daemon", "0.08", "0", "0"
"libapp-nopaste-perl", "App-Nopaste", "0.17", "0", "0"
"libapp-options-perl", "App-Options", "1.07", "0", "0"
"libarchive-any-perl", "Archive-Any", "0.0932", "0", "0"
"libarchive-ar-perl", "Archive-Ar", "1.14", "0", "0"
"libarchive-zip-perl", "Archive-Zip", "1.30", "0", "0"
"libarray-compare-perl", "Array-Compare", "2.01", "0", "0"
"libarray-diff-perl", "Array-Diff", "0.05.002", "0", "0"
"libarray-printcols-perl", "Array-PrintCols", "2.1", "0", "0"
"libarray-unique-perl", "Array-Unique", "0.08", "0", "0"
"libasa-perl", "asa", "0.02", "0", "0"
"libaspect-perl", "Aspect", "0.21", "0", "0"
"libastro-fits-cfitsio-perl", "Astro-FITS-CFITSIO", "1.05", "2", "0"
"libastro-fits-header-perl", "Astro-FITS-Header", "3.01", "1", "0"
"libasync-interrupt-perl", "Async-Interrupt", "1.02", "0", "0"
"libasync-mergepoint-perl", "Async-MergePoint", "0.02", "0", "0"
"libaudio-cd-perl", "http://www.vanhemert.co.uk/disc-cover.html/files/Audio-CD-0.05.tar.gz", "not-uploaded", "0", "0"
"libaudio-file-perl", "Audio-File", "0.11", "1", "0"
"libaudio-flac-decoder-perl", "Audio-FLAC-Decoder", "0.3", "1", "0"
"libaudio-flac-header-perl", "Audio-FLAC-Header", "2.3", "0", "0"
"libaudio-moosic-perl", "Audio-Moosic", "0.10", "1", "0"
"libaudio-mpd-common-perl", "Audio-MPD-Common", "1.093170", "0", "0"
"libaudio-mpd-perl", "Audio-MPD", "0.19.7", "0", "0"
"libaudio-musepack-perl", "Audio-Musepack", "0.7", "0", "0"
"libaudio-wav-perl", "Audio-Wav", "0.06", "0", "0"
"libaudio-wma-perl", "Audio-WMA", "1.3", "0", "0"
"libauthen-bitcard-perl", "Authen-Bitcard", "0.86", "0", "0"
"libauthen-captcha-perl", "Authen-Captcha", "1.023", "0", "0"
"libauthen-cas-client-perl", "Authen-CAS-Client", "0.05", "0", "0"
"libauthen-krb5-admin-perl", "Authen-Krb5-Admin", "0.11", "0", "0"
"libauthen-krb5-perl", "Krb5", "1.8", "0", "0"
"libauthen-krb5-simple-perl", "Authen-Krb5-Simple", "0.42", "0", "0"
"libauthen-pam-perl", "Authen-PAM", "0.16", "0", "0"
"libauthen-radius-perl", "RadiusPerl", "0.15", "0", "0"
"libauthen-sasl-cyrus-perl", "Authen-SASL-Cyrus", "0.13-server", "0", "0"
"libauthen-sasl-perl", "Authen-SASL", "2.13", "0", "0"
"libauthen-simple-cdbi-perl", "Authen-Simple-CDBI", "0.2", "0", "0"
"libauthen-simple-dbi-perl", "Authen-Simple-DBI", "0.2", "0", "0"
"libauthen-simple-dbm-perl", "Authen-Simple-DBM", "0.2", "0", "0"
"libauthen-simple-http-perl", "Authen-Simple-HTTP", "0.2", "0", "0"
"libauthen-simple-kerberos-perl", "Authen-Simple-Kerberos", "0.1", "0", "0"
"libauthen-simple-ldap-perl", "Authen-Simple-LDAP", "0.2", "0", "0"
"libauthen-simple-net-perl", "Authen-Simple-Net", "0.2", "0", "0"
"libauthen-simple-pam-perl", "Authen-Simple-PAM", "0.2", "0", "0"
"libauthen-simple-passwd-perl", "Authen-Simple-Passwd", "0.6", "0", "0"
"libauthen-simple-perl", "Authen-Simple", "0.4", "0", "0"
"libauthen-simple-radius-perl", "Authen-Simple-RADIUS", "0.1", "0", "0"
"libauthen-simple-smb-perl", "Authen-Simple-SMB", "0.1", "0", "0"
"libauthen-smb-perl", "Authen-Smb", "0.91", "0", "0"
"libauthen-tacacsplus-perl", "Authen-TacacsPlus", "0.20", "0", "0"
"libautobox-perl", "autobox", "2.55", "0", "0"
"libautodie-perl", "autodie", "2.06.01", "1", "0"
"libb-hooks-endofscope-perl", "B-Hooks-EndOfScope", "0.08", "0", "0"
"libb-hooks-op-check-perl", "B-Hooks-OP-Check", "0.17", "0", "0"
"libb-hooks-op-ppaddr-perl", "B-Hooks-OP-PPAddr", "0.02", "0", "0"
"libb-hooks-parser-perl", "B-Hooks-Parser", "0.09", "0", "0"
"libb-keywords-perl", "B-Keywords", "1.09", "0", "0"
"libb-perlreq-perl", "rpm-build-perl", "0.71", "0", "0"
"libb-utils-perl", "B-Utils", "0.07", "1", "0"
"libbarcode-code128-perl", "Barcode-Code128", "2.01", "0", "0"
"libbenchmark-progressbar-perl", "Benchmark-ProgressBar", "0.00001", "0", "0"
"libbenchmark-timer-perl", "Benchmark-Timer", "0.7101", "0", "0"
"libbiblio-citation-parser-perl", "Biblio-Citation-Parser", "1.10", "0", "0"
"libbiblio-endnotestyle-perl", "Biblio-EndnoteStyle", "0.05", "0", "0"
"libbio-asn1-entrezgene-perl", "Bio-ASN1-EntrezGene", "1.091", "0", "0"
"libbio-primerdesigner-perl", "Bio-PrimerDesigner", "0.07", "0", "0"
"libbio-scf-perl", "Bio-SCF", "1.01", "0", "0"
"libbit-vector-minimal-perl", "Bit-Vector-Minimal", "1.3", "0", "0"
"libbit-vector-perl", "Bit-Vector", "7.1", "1", "0"
"libboolean-perl", "boolean", "0.20", "0", "0"
"libboulder-perl", "Boulder", "1.30", "0", "0"
"libbsd-resource-perl", "BSD-Resource", "1.2903", "0", "0"
"libbusiness-isbn-data-perl", "Business-ISBN-Data", "20081208", "0", "0"
"libbusiness-isbn-perl", "Business-ISBN", "2.05", "0", "0"
"libbusiness-onlinepayment-openecho-perl", "Business-OnlinePayment-OpenECHO", "0.03", "0", "0"
"libbusiness-tax-vat-validation-perl", "Business-Tax-VAT-Validation", "0.20", "0", "0"
"libcache-cache-perl", "Cache-Cache", "1.06", "0", "0"
"libcache-fastmmap-perl", "Cache-FastMmap", "1.34", "0", "0"
"libcache-memcached-perl", "Cache-Memcached", "1.28", "0", "0"
"libcache-mmap-perl", "Cache-Mmap", "0.11", "0", "0"
"libcache-simple-timedexpiry-perl", "Cache-Simple-TimedExpiry", "0.27", "0", "0"
"libcairo-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Cairo-1.061.tar.gz", "1.061", "0", "0"
"libcalendar-simple-perl", "Calendar-Simple", "1.20", "0", "0"
"libcapture-tiny-perl", "Capture-Tiny", "0.06", "0", "0"
"libcarp-always-perl", "Carp-Always", "0.09", "0", "0"
"libcarp-assert-more-perl", "Carp-Assert-More", "1.12", "0", "0"
"libcarp-assert-perl", "Carp-Assert", "0.20", "0", "0"
"libcarp-clan-perl", "Carp-Clan", "6.02", "0", "0"
"libcarp-clan-share-perl", "Carp-Clan-Share", "0.013", "0", "0"
"libcarp-datum-perl", "Carp-Datum", "0.1.3", "0", "0"
"libcatalyst-action-rest-perl", "Catalyst-Action-REST", "not-uploaded", "0", "0"
"libcatalyst-engine-apache-perl", "Catalyst-Engine-Apache", "1.12", "0", "0"
"libcatalyst-manual-perl", "Catalyst-Manual", "5.8002", "0", "0"
"libcatalyst-model-cdbi-perl", "Catalyst-Model-CDBI", "0.11", "0", "0"
"libcatalyst-perl", "Catalyst-Runtime", "5.80013", "1", "0"
"libcatalyst-plugin-server-perl", "Catalyst-Plugin-Server", "not-uploaded", "0", "0"
"libcatalyst-view-tt-perl", "Catalyst-View-TT", "0.30", "0", "0"
"libcddb-get-perl", "CDDB_get", "2.27", "0", "0"
"libcddb-perl", "CDDB", "1.21", "0", "0"
"libcdk-perl", "ftp://invisible-island.net/cdk/cdk-perl-20031210.tgz", "4.9.10", "0", "0"
"libcgi-ajax-perl", "CGI-Ajax", "0.707", "0", "0"
"libcgi-application-perl", "CGI-Application", "4.31", "0", "0"
"libcgi-application-server-perl", "CGI-Application-Server", "0.061", "0", "0"
"libcgi-cookie-splitter-perl", "CGI-Cookie-Splitter", "0.02", "1", "0"
"libcgi-formalware-perl", "CGI-Formalware", "1.13", "0", "0"
"libcgi-formbuilder-source-yaml-perl", "CGI-FormBuilder-Source-YAML", "1.0.8", "0", "0"
"libcgi-pm-perl", "CGI.pm", "3.48", "0", "0"
"libcgi-session-expiresessions-perl", "CGI-Session-ExpireSessions", "1.09", "1", "0"
"libcgi-session-perl", "CGI-Session", "4.41", "1", "0"
"libcgi-session-serialize-yaml-perl", "CGI-Session-Serialize-yaml", "4.24", "0", "0"
"libcgi-simple-perl", "CGI-Simple", "1.111", "0", "0"
"libcgi-ssi-perl", "CGI-SSI", "0.92", "0", "0"
"libcgi-untaint-date-perl", "CGI-Untaint-date", "1.00", "0", "0"
"libcgi-untaint-email-perl", "CGI-Untaint-email", "0.03", "0", "0"
"libcgi-untaint-perl", "CGI-Untaint", "1.26", "0", "0"
"libcgi-uploader-perl", "CGI-Uploader", "2.17", "0", "0"
"libcgi-xml-perl", "CGI-XML", "0.1", "0", "0"
"libcgi-xmlapplication-perl", "CGI-XMLApplication", "1.1.3", "0", "0"
"libcgi-xmlform-perl", "CGI-XMLForm", "0.10", "0", "0"
"libchamplain-perl", "Champlain", "not-uploaded", "0", "0"
"libchart-gnuplot-perl", "Chart-Gnuplot", "0.11", "0", "0"
"libchart-perl", "Chart", "2.4.1", "2", "0"
"libcheck-isa-perl", "Check-ISA", "0.04", "0", "0"
"libchemistry-elements-perl", "Chemistry-Elements", "1.07", "0", "0"
"libclass-accessor-children-perl", "Class-Accessor-Children", "0.02", "0", "0"
"libclass-accessor-classy-perl", "Class-Accessor-Classy", "0.9.1", "0", "0"
"libclass-accessor-grouped-perl", "Class-Accessor-Grouped", "0.09000", "0", "0"
"libclass-accessor-lvalue-perl", "Class-Accessor-Lvalue", "0.11", "0", "0"
"libclass-accessor-named-perl", "Class-Accessor-Named", "0.008", "0", "0"
"libclass-accessor-perl", "Class-Accessor", "0.34", "0", "0"
"libclass-adapter-perl", "Class-Adapter", "1.05", "0", "0"
"libclass-autouse-perl", "Class-Autouse", "1.29", "0", "0"
"libclass-base-perl", "Class-Base", "0.03", "0", "0"
"libclass-c3-adopt-next-perl", "Class-C3-Adopt-NEXT", "0.12", "0", "0"
"libclass-c3-componentised-perl", "Class-C3-Componentised", "1.0006", "0", "0"
"libclass-c3-perl", "Class-C3", "0.21", "1", "0"
"libclass-c3-xs-perl", "Class-C3-XS", "0.13", "0", "0"
"libclass-data-accessor-perl", "Class-Data-Accessor", "0.04004", "0", "0"
