Id;CustomerId;OrderDate;Freight;ProductName;QuantityPerUnit;UnitPriceProduct;Discount;UnitPriceOrder;Quantity;Amount
10248/11;VINET;2012-07-04;32.38;Queso Cabrales;1 kg pkg.;21;0;14;12;168
10248/42;VINET;2012-07-04;32.38;Singaporean Hokkien Fried Mee;32 - 1 kg pkgs.;14;0;9.8;10;98
10248/72;VINET;2012-07-04;32.38;Mozzarella di Giovanni;24 - 200 g pkgs.;34.8;0;34.8;5;174
10249/14;TOMSP;2012-07-05;11.61;Tofu;40 - 100 g pkgs.;23.25;0;18.6;9;167.4
10249/51;TOMSP;2012-07-05;11.61;Manjimup Dried Apples;50 - 300 g pkgs.;53;0;42.4;40;1696
10250/41;HANAR;2012-07-08;65.83;Jack's New England Clam Chowder;12 - 12 oz cans;9.65;0;7.7;10;77
10250/51;HANAR;2012-07-08;65.83;Manjimup Dried Apples;50 - 300 g pkgs.;53;0.15;42.4;35;1484
10250/65;HANAR;2012-07-08;65.83;Louisiana Fiery Hot Pepper Sauce;32 - 8 oz bottles;21.05;0.15;16.8;15;252
10251/22;VICTE;2012-07-08;41.34;Gustaf's Knäckebröd;24 - 500 g pkgs.;21;0.05;16.8;6;100.80000000000001
10251/57;VICTE;2012-07-08;41.34;Ravioli Angelo;24 - 250 g pkgs.;19.5;0.05;15.6;15;234
10251/65;VICTE;2012-07-08;41.34;Louisiana Fiery Hot Pepper Sauce;32 - 8 oz bottles;21.05;0;16.8;20;336
10252/20;SUPRD;2012-07-09;51.3;Sir Rodney's Marmalade;30 gift boxes;81;0.05;64.8;40;2592
10252/33;SUPRD;2012-07-09;51.3;Geitost;500 g;2.5;0.05;2;25;50
10252/60;SUPRD;2012-07-09;51.3;Camembert Pierrot;15 - 300 g rounds;34;0;27.2;40;1088
10253/31;HANAR;2012-07-10;58.17;Gorgonzola Telino;12 - 100 g pkgs;12.5;0;10;20;200
10253/39;HANAR;2012-07-10;58.17;Chartreuse verte;750 cc per bottle;18;0;14.4;42;604.8000000000001
10253/49;HANAR;2012-07-10;58.17;Maxilaku;24 - 50 g pkgs.;20;0;16;40;640
10254/24;CHOPS;2012-07-11;22.98;Guaraná Fantástica;12 - 355 ml cans;4.5;0.15;3.6;15;54
10254/55;CHOPS;2012-07-11;22.98;Pâté chinois;24 boxes x 2 pies;24;0.15;19.2;21;403.2
10254/74;CHOPS;2012-07-11;22.98;Longlife Tofu;5 kg pkg.;10;0;8;21;168
10255/2;RICSU;2012-07-12;148.33;Chang;24 - 12 oz bottles;19;0;15.2;20;304
10255/16;RICSU;2012-07-12;148.33;Pavlova;32 - 500 g boxes;17.45;0;13.9;35;486.5
10255/36;RICSU;2012-07-12;148.33;Inlagd Sill;24 - 250 g  jars;19;0;15.2;25;380
10255/59;RICSU;2012-07-12;148.33;Raclette Courdavault;5 kg pkg.;55;0;44;30;1320
10256/53;WELLI;2012-07-15;13.97;Perth Pasties;48 pieces;32.8;0;26.2;15;393
10256/77;WELLI;2012-07-15;13.97;Original Frankfurter grüne Soße;12 boxes;13;0;10.4;12;124.80000000000001
10257/27;HILAA;2012-07-16;81.91;Schoggi Schokolade;100 - 100 g pieces;43.9;0;35.1;25;877.5
10257/39;HILAA;2012-07-16;81.91;Chartreuse verte;750 cc per bottle;18;0;14.4;6;86.4
10257/77;HILAA;2012-07-16;81.91;Original Frankfurter grüne Soße;12 boxes;13;0;10.4;15;156
10258/2;ERNSH;2012-07-17;140.51;Chang;24 - 12 oz bottles;19;0.2;15.2;50;760
10258/5;ERNSH;2012-07-17;140.51;Chef Anton's Gumbo Mix;36 boxes;21.35;0.2;17;65;1105
10258/32;ERNSH;2012-07-17;140.51;Mascarpone Fabioli;24 - 200 g pkgs.;32;0.2;25.6;6;153.60000000000002
10259/21;CENTC;2012-07-18;3.25;Sir Rodney's Scones;24 pkgs. x 4 pieces;10;0;8;10;80
10259/37;CENTC;2012-07-18;3.25;Gravad lax;12 - 500 g pkgs.;26;0;20.8;1;20.8
10260/41;OTTIK;2012-07-19;55.09;Jack's New England Clam Chowder;12 - 12 oz cans;9.65;0.25;7.7;16;123.2
